V1,V5,V6,V20,V21,V8,V14,V15,V17,V18,V19,V22,label
193.0,32.0,39.0,108.0,2.0,2,2,0,2,1,1,19,1
91.0,1.0,25.0,346.0,7.0,2,0,0,2,1,1,19,1
214.0,11.0,16.0,35.0,31.0,2,0,0,2,0,0,19,0
103.0,4.0,12.0,328.0,31.0,2,2,0,0,0,0,19,1
255.0,9.0,38.0,174.0,16.0,2,0,0,1,0,0,19,1
285.0,1.0,9.0,55.0,2.0,2,2,0,2,0,0,19,1
260.0,1.0,4.0,20.0,9.0,2,2,0,1,1,1,19,1
294.0,2.0,9.0,59.0,22.0,2,2,0,0,1,1,19,1
91.0,7.0,39.0,332.0,2.0,2,2,0,2,1,1,19,1
276.0,36.0,39.0,238.0,284.0,2,2,0,2,1,0,19,0
237.0,1.0,27.0,123.0,27.0,2,0,0,2,0,0,19,1
1369.0,22.0,23.0,120.0,163.0,0,1,0,2,1,1,19,0
298.0,2.0,8.0,183.0,54.0,2,2,0,2,1,0,19,1
285.0,7.0,8.0,86.0,17.0,2,2,0,1,1,0,19,0
85.0,10.0,38.0,381.0,206.0,2,2,0,2,1,1,19,0
295.0,4.0,13.0,220.0,44.0,2,2,0,2,1,1,19,1
514.0,4.0,7.0,35.0,108.0,0,1,0,1,1,0,19,1
225.0,0.0,11.0,5.0,7.0,2,2,0,2,1,1,19,0
355.0,5.0,6.0,279.0,56.0,2,2,0,0,0,0,19,0
295.0,18.0,22.0,10.0,1.0,2,0,0,2,1,0,19,1
123.0,6.0,12.0,394.0,29.0,2,2,0,2,0,0,19,0
226.0,11.0,16.0,285.0,80.0,2,0,0,2,1,0,19,1
180.0,3.0,39.0,245.0,4.0,2,0,0,1,0,0,19,1
283.0,2.0,31.0,32.0,303.0,2,2,0,1,1,0,19,1
312.0,9.0,17.0,124.0,42.0,2,2,0,2,1,0,19,0
239.0,2.0,5.0,5.0,335.0,2,1,0,1,1,0,19,1
107.0,3.0,13.0,337.0,30.0,2,2,0,2,1,0,19,1
211.0,8.0,9.0,14.0,2.0,2,0,0,0,0,0,19,0
72.0,8.0,19.0,329.0,16.0,2,0,0,1,0,0,19,1
238.0,8.0,12.0,297.0,15.0,2,2,0,2,0,0,19,0
259.0,2.0,4.0,77.0,358.0,2,2,0,2,1,1,19,0
110.0,19.0,24.0,377.0,2.0,2,2,0,2,1,1,19,1
199.0,2.0,17.0,7.0,229.0,2,0,0,1,0,0,19,1
225.0,12.0,24.0,5.0,2.0,2,2,0,2,1,1,19,1
262.0,4.0,17.0,21.0,35.0,2,0,0,2,0,0,19,1
168.0,2.0,13.0,402.0,16.0,2,2,0,2,1,0,19,1
267.0,0.0,8.0,178.0,33.0,2,2,0,0,1,1,19,1
89.0,10.0,22.0,372.0,38.0,2,2,0,2,0,0,19,0
89.0,8.0,15.0,358.0,38.0,2,0,0,0,1,1,19,0
265.0,2.0,28.0,108.0,26.0,2,2,0,2,0,0,19,0
262.0,3.0,9.0,18.0,38.0,2,0,0,1,0,0,19,0
549.0,1.0,5.0,372.0,285.0,2,1,0,1,1,1,19,1
277.0,0.0,16.0,68.0,9.0,2,0,0,2,0,0,19,0
301.0,1.0,8.0,55.0,6.0,2,2,0,2,1,0,3,1
512.0,0.0,10.0,202.0,333.0,2,2,0,1,0,0,19,0
243.0,0.0,12.0,8.0,1.0,2,2,0,2,0,0,19,1
83.0,5.0,14.0,380.0,20.0,2,0,0,2,0,0,19,1
555.0,8.0,13.0,51.0,16.0,0,1,0,2,1,1,19,1
295.0,7.0,14.0,12.0,14.0,2,0,0,0,0,0,19,1
271.0,3.0,26.0,137.0,30.0,2,0,0,2,0,0,19,1
220.0,31.0,47.0,81.0,303.0,2,2,0,1,1,0,19,1
87.0,0.0,6.0,333.0,22.0,2,1,0,2,1,1,19,0
268.0,0.0,4.0,44.0,11.0,2,0,0,2,0,0,19,1
211.0,12.0,15.0,163.0,49.0,2,0,0,2,0,0,19,0
79.0,10.0,14.0,322.0,32.0,2,2,0,1,0,0,19,1
241.0,3.0,11.0,1.0,3.0,2,2,0,1,0,0,19,0
216.0,15.0,17.0,79.0,8.0,2,0,0,2,1,0,7,0
103.0,5.0,8.0,327.0,7.0,2,2,0,1,0,0,19,1
96.0,2.0,10.0,343.0,86.0,2,0,0,1,0,0,19,1
192.0,2.0,13.0,221.0,36.0,2,0,0,2,1,0,19,0
82.0,8.0,12.0,364.0,9.0,2,0,0,0,0,0,19,0
253.0,0.0,10.0,5.0,115.0,2,0,0,2,1,0,19,0
277.0,1.0,27.0,300.0,303.0,2,0,0,2,1,1,15,0
316.0,9.0,17.0,19.0,58.0,2,0,0,1,0,0,19,1
133.0,6.0,41.0,293.0,292.0,2,0,0,1,0,0,19,1
293.0,2.0,22.0,176.0,68.0,2,2,0,2,0,0,19,1
328.0,5.0,15.0,182.0,30.0,2,0,0,2,0,0,19,1
257.0,0.0,8.0,1.0,1.0,2,2,0,2,0,0,19,1
92.0,17.0,46.0,321.0,205.0,2,2,0,2,1,1,19,0
194.0,0.0,9.0,42.0,48.0,2,2,0,1,0,0,19,0
250.0,18.0,31.0,16.0,299.0,2,2,0,1,1,0,19,1
180.0,4.0,41.0,236.0,9.0,2,0,0,2,1,1,19,0
237.0,3.0,7.0,36.0,179.0,2,2,0,1,1,1,19,0
313.0,3.0,7.0,97.0,25.0,2,2,0,2,1,1,19,0
193.0,1.0,9.0,27.0,55.0,2,0,0,1,0,0,19,0
167.0,2.0,7.0,60.0,61.0,2,0,0,2,1,1,19,1
224.0,1.0,8.0,57.0,16.0,2,0,0,2,0,0,19,1
343.0,0.0,17.0,53.0,1.0,2,2,0,2,1,1,14,1
253.0,18.0,28.0,165.0,28.0,2,0,0,2,0,0,19,1
270.0,4.0,16.0,32.0,50.0,2,0,0,2,1,0,19,1
240.0,0.0,30.0,30.0,105.0,2,0,0,2,0,0,19,0
202.0,0.0,9.0,18.0,41.0,2,2,0,2,1,0,19,0
257.0,3.0,6.0,99.0,1.0,2,0,0,2,0,0,19,0
74.0,11.0,15.0,329.0,58.0,2,0,0,0,1,0,19,1
351.0,0.0,8.0,219.0,210.0,2,0,0,1,0,0,13,1
283.0,6.0,9.0,30.0,243.0,2,2,0,1,1,1,19,1
243.0,10.0,16.0,51.0,157.0,2,2,0,2,1,0,19,1
224.0,4.0,32.0,27.0,27.0,2,0,0,0,1,0,19,1
212.0,5.0,8.0,26.0,235.0,2,0,0,1,0,0,19,1
239.0,1.0,12.0,3.0,328.0,2,1,0,1,0,0,19,1
341.0,4.0,16.0,138.0,44.0,2,2,0,2,1,0,19,0
223.0,3.0,37.0,141.0,284.0,2,0,0,2,1,0,19,0
355.0,5.0,8.0,282.0,210.0,2,2,0,1,0,0,13,1
168.0,3.0,6.0,402.0,1.0,2,2,0,2,0,0,19,1
95.0,4.0,15.0,352.0,45.0,2,2,0,2,0,0,19,0
304.0,2.0,8.0,12.0,40.0,2,2,0,2,1,1,19,1
98.0,6.0,10.0,370.0,86.0,2,2,0,1,0,0,19,1
280.0,1.0,4.0,65.0,16.0,2,2,0,1,0,0,19,1
394.0,10.0,12.0,189.0,67.0,2,0,0,2,1,1,19,0
240.0,2.0,8.0,17.0,5.0,2,2,0,2,1,0,19,1
269.0,1.0,8.0,23.0,28.0,2,2,0,0,0,0,18,1
236.0,1.0,6.0,1.0,229.0,2,0,0,1,0,0,19,0
230.0,0.0,7.0,2.0,33.0,2,2,0,2,1,0,19,0
116.0,7.0,11.0,347.0,291.0,2,2,0,1,0,0,19,0
83.0,12.0,26.0,374.0,31.0,2,0,0,1,0,0,19,1
231.0,2.0,32.0,64.0,281.0,2,2,0,2,1,0,19,0
82.0,7.0,26.0,364.0,137.0,2,0,0,2,0,0,19,0
233.0,1.0,9.0,69.0,5.0,2,2,0,2,1,0,8,0
257.0,2.0,11.0,1.0,3.0,2,2,0,1,0,0,19,0
101.0,6.0,14.0,371.0,251.0,2,0,0,1,1,0,19,1
232.0,29.0,39.0,169.0,2.0,2,2,0,2,1,1,19,1
98.0,4.0,13.0,398.0,55.0,2,0,0,1,0,0,19,0
296.0,7.0,15.0,161.0,54.0,2,0,0,2,1,0,19,0
251.0,16.0,31.0,58.0,6.0,2,0,0,0,1,1,19,1
207.0,23.0,31.0,22.0,33.0,2,2,0,0,1,0,19,1
245.0,5.0,15.0,13.0,64.0,2,0,0,2,1,0,19,0
102.0,1.0,15.0,352.0,58.0,2,1,0,0,1,0,19,1
88.0,1.0,41.0,382.0,292.0,2,0,0,1,0,0,19,1
212.0,0.0,8.0,124.0,31.0,2,0,0,2,1,0,19,0
322.0,6.0,8.0,79.0,280.0,2,0,0,1,1,0,19,0
311.0,1.0,16.0,111.0,157.0,2,2,0,2,1,0,19,1
98.0,5.0,62.0,387.0,172.0,2,0,0,1,1,0,19,0
103.0,28.0,38.0,358.0,207.0,2,2,0,2,1,1,19,0
219.0,4.0,17.0,53.0,98.0,2,2,0,2,1,0,19,1
263.0,17.0,22.0,223.0,1.0,2,2,0,2,1,0,19,1
256.0,6.0,13.0,4.0,36.0,2,0,0,2,1,1,19,0
241.0,8.0,12.0,130.0,291.0,2,2,0,1,0,0,19,0
186.0,2.0,9.0,30.0,97.0,2,2,0,2,1,1,19,1
215.0,1.0,9.0,27.0,12.0,2,0,0,2,1,0,19,0
210.0,6.0,13.0,294.0,214.0,2,2,0,2,1,0,19,0
243.0,1.0,5.0,11.0,87.0,2,2,0,2,0,0,19,1
100.0,8.0,10.0,388.0,72.0,2,2,0,0,1,0,19,0
329.0,2.0,22.0,56.0,65.0,2,0,0,1,1,1,19,1
235.0,23.0,30.0,45.0,42.0,2,0,0,2,1,1,19,1
91.0,6.0,18.0,347.0,338.0,2,0,0,1,1,0,19,1
240.0,2.0,8.0,176.0,34.0,2,2,0,2,0,0,19,0
285.0,8.0,14.0,167.0,313.0,2,0,0,1,0,0,19,0
294.0,0.0,9.0,97.0,35.0,2,0,0,2,0,0,19,0
168.0,6.0,24.0,402.0,264.0,2,2,0,1,0,0,19,0
238.0,0.0,7.0,5.0,18.0,2,0,0,2,0,0,19,1
212.0,11.0,31.0,51.0,281.0,2,2,0,2,1,0,19,0
63.0,5.0,6.0,399.0,23.0,2,0,0,1,0,0,19,0
259.0,16.0,43.0,5.0,87.0,2,0,0,2,0,0,19,0
230.0,25.0,30.0,8.0,42.0,2,0,0,2,1,1,19,1
308.0,8.0,15.0,189.0,35.0,2,0,0,0,1,1,19,0
193.0,1.0,10.0,31.0,493.0,2,0,0,1,0,0,19,1
274.0,2.0,4.0,86.0,27.0,2,2,0,2,1,1,19,0
277.0,4.0,8.0,280.0,50.0,2,2,0,2,1,0,19,0
82.0,10.0,11.0,364.0,111.0,2,0,0,1,1,0,19,0
217.0,6.0,22.0,31.0,65.0,2,2,0,1,1,1,19,1
206.0,5.0,8.0,33.0,6.0,2,1,0,2,1,0,3,1
270.0,5.0,9.0,76.0,288.0,2,2,0,1,1,0,19,0
65.0,41.0,61.0,376.0,171.0,2,0,0,1,1,0,19,0
239.0,3.0,11.0,6.0,7.0,2,1,0,0,0,0,19,0
229.0,7.0,15.0,19.0,61.0,2,0,0,0,1,1,19,1
74.0,3.0,4.0,332.0,169.0,2,0,0,2,1,1,19,0
103.0,6.0,13.0,329.0,44.0,2,2,0,2,1,1,19,1
328.0,6.0,8.0,114.0,40.0,2,2,0,2,1,1,19,1
296.0,2.0,9.0,52.0,243.0,2,2,0,1,1,0,19,1
86.0,6.0,12.0,362.0,16.0,2,0,0,1,0,0,19,1
304.0,1.0,38.0,277.0,206.0,2,2,0,2,1,1,19,0
288.0,2.0,4.0,6.0,370.0,2,2,0,1,1,1,19,0
110.0,19.0,22.0,378.0,1.0,2,2,0,2,1,0,19,1
637.0,0.0,5.0,1.0,175.0,0,1,0,1,1,1,19,1
241.0,0.0,62.0,1.0,176.0,2,2,0,1,1,0,19,0
180.0,1.0,22.0,239.0,14.0,2,0,0,2,0,0,19,1
309.0,6.0,28.0,162.0,49.0,2,1,0,2,1,0,19,1
253.0,0.0,11.0,3.0,307.0,2,0,0,1,1,0,19,1
108.0,41.0,47.0,391.0,303.0,2,0,0,1,1,0,19,1
192.0,1.0,11.0,40.0,16.0,2,0,0,2,1,1,19,0
101.0,13.0,17.0,329.0,206.0,2,2,0,2,0,0,19,0
106.0,9.0,24.0,377.0,388.0,2,0,0,2,0,0,19,0
182.0,3.0,8.0,2.0,6.0,2,0,0,0,1,1,19,1
206.0,0.0,9.0,36.0,2.0,2,2,0,0,0,0,19,1
398.0,7.0,20.0,192.0,517.0,2,2,0,1,1,0,19,0
101.0,10.0,26.0,352.0,151.0,2,2,0,2,0,0,19,0
223.0,9.0,35.0,237.0,208.0,2,0,0,2,1,1,19,0
405.0,3.0,12.0,67.0,366.0,0,1,0,1,1,1,19,1
307.0,28.0,30.0,53.0,281.0,2,0,0,2,1,0,19,1
525.0,0.0,7.0,255.0,46.0,2,2,0,2,1,0,19,0
78.0,8.0,23.0,397.0,35.0,2,2,0,2,0,0,19,0
245.0,5.0,8.0,104.0,61.0,2,0,0,1,0,0,19,1
83.0,3.0,8.0,378.0,7.0,2,0,0,0,0,0,19,0
296.0,7.0,15.0,156.0,27.0,2,0,0,2,0,0,19,1
295.0,6.0,24.0,220.0,55.0,2,2,0,2,0,0,19,0
98.0,3.0,13.0,394.0,220.0,2,0,0,1,0,0,19,0
288.0,3.0,11.0,9.0,140.0,2,2,0,2,1,0,19,0
243.0,0.0,12.0,9.0,32.0,2,2,0,2,1,1,19,1
243.0,0.0,8.0,3.0,7.0,2,2,0,1,0,0,19,1
207.0,0.0,8.0,35.0,61.0,2,2,0,0,1,1,19,1
892.0,4.0,21.0,2.0,382.0,0,1,0,1,1,1,19,0
276.0,2.0,8.0,132.0,165.0,2,0,0,2,0,0,19,0
315.0,30.0,35.0,226.0,211.0,2,2,0,2,1,1,19,0
199.0,6.0,10.0,14.0,35.0,2,2,0,0,0,0,19,1
245.0,10.0,15.0,92.0,35.0,2,0,0,0,1,1,19,0
109.0,2.0,10.0,362.0,34.0,2,2,0,2,0,0,19,0
236.0,3.0,10.0,2.0,132.0,2,0,0,2,1,0,19,0
82.0,0.0,7.0,364.0,33.0,2,0,0,2,1,0,19,0
95.0,5.0,21.0,403.0,53.0,2,2,0,1,0,0,19,1
257.0,3.0,10.0,2.0,13.0,2,2,0,1,0,0,19,1
236.0,5.0,9.0,12.0,1.0,2,0,0,2,0,0,19,1
148.0,8.0,12.0,309.0,292.0,2,2,0,1,0,0,19,1
351.0,1.0,21.0,214.0,38.0,2,0,0,2,1,1,19,0
63.0,10.0,13.0,395.0,131.0,2,0,0,2,0,0,19,0
192.0,5.0,27.0,292.0,303.0,2,0,0,2,1,1,15,1
299.0,0.0,22.0,184.0,14.0,2,0,0,2,0,0,19,1
217.0,2.0,9.0,86.0,131.0,2,0,0,2,1,0,19,0
238.0,4.0,42.0,290.0,18.0,2,2,0,0,1,1,19,0
207.0,2.0,8.0,35.0,271.0,2,2,0,1,0,0,19,1
295.0,7.0,12.0,225.0,10.0,2,2,0,1,0,0,19,1
76.0,44.0,47.0,337.0,303.0,2,1,0,1,1,0,19,1
173.0,3.0,16.0,246.0,80.0,2,2,0,2,1,0,19,1
78.0,8.0,10.0,398.0,295.0,2,2,0,1,1,0,19,0
247.0,0.0,10.0,202.0,66.0,2,2,0,0,0,0,19,0
90.0,6.0,14.0,190.0,20.0,2,0,0,2,0,0,19,1
230.0,10.0,16.0,4.0,547.0,2,0,0,1,0,0,19,0
330.0,26.0,31.0,88.0,6.0,2,2,0,0,1,1,19,1
449.0,13.0,27.0,146.0,27.0,2,0,0,2,0,0,19,1
253.0,10.0,30.0,3.0,42.0,2,0,0,2,1,1,19,1
296.0,2.0,9.0,23.0,27.0,2,0,0,2,1,1,19,1
243.0,0.0,24.0,5.0,55.0,2,2,0,2,0,0,19,0
235.0,8.0,16.0,77.0,13.0,2,0,0,2,1,0,19,0
260.0,0.0,6.0,1.0,87.0,2,0,0,1,0,0,19,0
231.0,7.0,16.0,22.0,45.0,2,0,0,2,1,0,19,0
243.0,0.0,11.0,4.0,219.0,2,2,0,1,1,1,19,1
240.0,2.0,4.0,31.0,333.0,2,0,0,2,0,0,19,1
223.0,21.0,31.0,64.0,33.0,2,2,0,0,1,0,19,1
288.0,9.0,17.0,29.0,228.0,2,0,0,1,0,0,19,1
89.0,7.0,10.0,352.0,28.0,2,2,0,2,1,1,19,1
229.0,1.0,12.0,1.0,10.0,2,0,0,2,1,0,19,0
433.0,0.0,14.0,138.0,43.0,2,0,0,2,1,0,19,1
229.0,7.0,33.0,18.0,62.0,2,0,0,0,1,1,19,0
351.0,15.0,24.0,214.0,294.0,2,0,0,1,1,0,19,0
238.0,8.0,10.0,298.0,13.0,2,2,0,1,0,0,19,0
257.0,5.0,11.0,2.0,404.0,2,2,0,2,1,1,19,1
76.0,5.0,6.0,402.0,15.0,2,2,0,0,1,1,19,0
180.0,4.0,24.0,238.0,297.0,2,0,0,1,1,1,19,1
316.0,10.0,16.0,65.0,6.0,2,0,0,0,1,1,19,1
243.0,0.0,25.0,3.0,7.0,2,2,0,2,1,1,19,1
232.0,7.0,43.0,173.0,91.0,2,2,0,2,0,0,19,0
167.0,6.0,9.0,49.0,7.0,2,2,0,2,1,0,19,0
188.0,0.0,10.0,64.0,245.0,2,2,0,1,0,0,19,0
295.0,2.0,5.0,225.0,1.0,2,2,0,0,0,0,17,0
246.0,8.0,10.0,6.0,1.0,2,2,0,0,0,0,19,0
215.0,5.0,31.0,63.0,6.0,2,0,0,2,1,1,19,1
261.0,2.0,17.0,46.0,11.0,2,2,0,2,0,0,19,1
428.0,5.0,7.0,176.0,60.0,2,2,0,0,1,1,3,0
303.0,2.0,4.0,4.0,1.0,2,2,0,0,1,0,19,0
98.0,2.0,39.0,370.0,2.0,2,2,0,2,1,1,19,1
63.0,2.0,8.0,393.0,7.0,2,0,0,1,0,0,19,1
275.0,24.0,38.0,167.0,314.0,2,2,0,1,0,0,19,0
212.0,1.0,9.0,25.0,135.0,2,2,0,2,1,0,19,0
237.0,2.0,8.0,203.0,160.0,2,2,0,2,0,0,19,0
168.0,2.0,12.0,402.0,169.0,2,2,0,1,1,0,19,0
82.0,7.0,11.0,362.0,281.0,2,0,0,1,1,0,19,1
249.0,2.0,8.0,101.0,66.0,2,0,0,2,1,1,19,0
256.0,2.0,12.0,4.0,4.0,2,0,0,2,1,0,19,0
275.0,15.0,19.0,171.0,337.0,2,0,0,1,0,0,19,0
280.0,8.0,31.0,54.0,267.0,2,2,0,1,0,0,19,0
248.0,13.0,17.0,22.0,58.0,2,0,0,1,0,0,19,1
295.0,1.0,7.0,221.0,5.0,2,2,0,2,1,1,19,0
192.0,15.0,24.0,220.0,173.0,2,0,0,1,1,1,19,0
283.0,1.0,4.0,39.0,135.0,2,0,0,2,0,0,19,1
91.0,6.0,12.0,398.0,26.0,2,1,0,2,1,1,19,1
312.0,16.0,38.0,249.0,8.0,2,2,0,2,1,1,19,1
168.0,4.0,6.0,402.0,291.0,2,2,0,1,0,0,19,1
305.0,0.0,4.0,52.0,6.0,2,0,0,2,0,0,19,1
194.0,3.0,9.0,11.0,41.0,2,0,0,0,0,0,19,0
217.0,0.0,9.0,26.0,25.0,2,2,0,2,0,0,19,0
248.0,3.0,4.0,26.0,262.0,2,2,0,1,1,0,19,0
133.0,9.0,38.0,299.0,4.0,2,0,0,1,0,0,19,0
240.0,7.0,9.0,43.0,2.0,2,2,0,1,1,1,19,1
253.0,11.0,17.0,104.0,114.0,2,2,0,2,1,1,19,0
369.0,0.0,8.0,12.0,105.0,0,1,0,2,1,0,19,0
243.0,1.0,40.0,11.0,15.0,2,2,0,2,0,0,19,1
226.0,17.0,31.0,75.0,282.0,2,0,0,2,1,0,19,0
95.0,2.0,6.0,402.0,373.0,2,2,0,1,1,0,19,1
254.0,32.0,35.0,210.0,211.0,2,0,0,2,1,1,19,0
248.0,4.0,10.0,5.0,6.0,2,2,0,1,0,0,19,0
206.0,2.0,5.0,32.0,2.0,2,1,0,2,1,1,19,0
260.0,1.0,15.0,67.0,40.0,2,1,0,2,1,0,19,1
220.0,1.0,4.0,63.0,510.0,2,0,0,1,1,0,19,0
303.0,8.0,11.0,6.0,404.0,2,2,0,2,1,1,19,1
398.0,7.0,11.0,192.0,43.0,2,2,0,1,0,0,19,0
265.0,2.0,6.0,8.0,68.0,2,2,0,2,1,1,19,1
246.0,3.0,17.0,19.0,229.0,2,2,0,1,0,0,19,1
101.0,0.0,12.0,381.0,31.0,2,0,0,0,0,0,19,1
227.0,9.0,16.0,57.0,333.0,2,2,0,1,1,0,19,0
108.0,28.0,44.0,392.0,362.0,2,0,0,1,0,0,19,0
248.0,6.0,8.0,3.0,210.0,2,2,0,1,0,0,13,1
90.0,0.0,6.0,184.0,16.0,2,0,0,2,0,0,19,1
79.0,7.0,13.0,402.0,71.0,2,2,0,0,1,0,19,0
83.0,2.0,22.0,382.0,11.0,2,0,0,2,0,0,19,0
93.0,40.0,70.0,387.0,176.0,2,0,0,1,1,0,19,0
260.0,6.0,10.0,1.0,1.0,2,0,0,1,1,0,9,1
302.0,7.0,12.0,234.0,31.0,2,2,0,2,1,1,19,0
168.0,4.0,10.0,403.0,6.0,2,2,0,2,1,1,19,1
202.0,6.0,12.0,276.0,26.0,2,0,0,2,1,1,19,1
121.0,21.0,47.0,313.0,303.0,2,0,0,1,1,0,19,1
89.0,5.0,11.0,358.0,5.0,2,0,0,0,1,1,19,0
76.0,8.0,12.0,351.0,26.0,2,2,0,2,1,1,19,1
89.0,9.0,11.0,357.0,32.0,2,0,0,0,0,0,19,1
213.0,0.0,17.0,40.0,2.0,2,2,0,2,1,1,19,1
263.0,11.0,15.0,225.0,176.0,2,2,0,1,1,0,19,0
240.0,4.0,9.0,64.0,299.0,2,2,0,1,1,0,19,1
253.0,5.0,9.0,88.0,9.0,2,2,0,2,0,0,19,1
106.0,9.0,10.0,329.0,68.0,2,2,0,0,0,0,19,0
96.0,3.0,6.0,333.0,27.0,2,2,0,2,0,0,19,0
194.0,13.0,39.0,14.0,2.0,2,0,0,2,1,1,19,1
293.0,1.0,10.0,177.0,137.0,2,2,0,2,1,1,19,1
238.0,7.0,9.0,6.0,5.0,2,0,0,0,1,0,19,1
423.0,1.0,9.0,229.0,52.0,2,1,0,2,1,0,19,1
101.0,1.0,12.0,352.0,7.0,2,2,0,2,0,0,19,1
