N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,label
58.0,2646.0,26.0,25.0,2.0,0.0,0.0,4.0,0.0,10.0,0.0,40.0,0.800528377424059,1
2398.0,1148.0,362.0,195.0,22.0,0.0,0.0,7.0,2.0,0.0,3.0,2333.0,1.00522694513289,1
640.0,2415.0,67.0,25.0,0.0,0.0,0.0,553.0,0.0,4.0,22.0,60.0,1.20440316450483,0
51.0,1570.0,16.0,19.0,0.0,0.0,0.0,6.0,0.0,4.0,10.0,31.0,1.05714931610548,1
1649.0,3928.0,334.0,400.0,114.0,0.0,0.0,9.0,13.0,37.0,26.0,1542.0,1.00522694513289,1
418.0,3089.0,107.0,128.0,16.0,0.0,0.0,109.0,23.0,11.0,23.0,249.0,0.915024129447388,1
124.0,2529.0,37.0,68.0,4.0,0.0,0.0,12.0,14.0,28.0,4.0,60.0,0.594368207936839,1
171.0,1329.0,16.0,16.0,3.0,0.0,0.0,5.0,0.0,3.0,27.0,135.0,0.997535302103113,1
59.0,86.0,10.0,21.0,1.0,0.0,0.0,30.0,0.0,6.0,4.0,11.0,0.800528377424059,1
57.0,132.0,10.0,5.0,0.0,0.0,0.0,54.0,0.0,0.0,3.0,0.0,1.05714931610548,2
84.0,127.0,29.0,27.0,2.0,0.0,0.0,4.0,2.0,0.0,2.0,66.0,1.05714931610548,2
595.0,2138.0,55.0,30.0,8.0,0.0,0.0,520.0,19.0,2.0,6.0,36.0,0.982449108801872,0
517.0,1893.0,104.0,162.0,7.0,0.0,0.0,1.0,42.0,34.0,18.0,420.0,0.982449108801872,1
56.0,295.0,10.0,12.0,4.0,0.0,0.0,20.0,0.0,0.0,2.0,34.0,0.800528377424059,1
1088.0,798.0,61.0,891.0,0.0,0.0,0.0,2.0,4.0,3.0,495.0,567.0,0.865617488080534,1
1014.0,3518.0,105.0,38.0,4.0,0.0,0.0,12.0,0.0,155.0,0.0,847.0,0.865617488080534,1
8395.0,2436.0,1051.0,134.0,13.0,0.0,0.0,38.0,1.0,2.0,51.0,8299.0,1.00522694513289,1
70.0,2861.0,47.0,48.0,0.0,0.0,0.0,9.0,11.0,0.0,10.0,33.0,0.411985187306913,2
574.0,3664.0,215.0,157.0,35.0,0.0,0.0,15.0,1.0,10.0,9.0,525.0,0.831953524648453,1
63.0,1397.0,9.0,21.0,1.0,0.0,0.0,15.0,0.0,1.0,3.0,44.0,0.800528377424059,1
240.0,1876.0,70.0,128.0,18.0,0.0,0.0,14.0,4.0,4.0,4.0,187.0,0.982449108801872,1
85.0,2582.0,37.0,42.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,78.0,1.86500803160946,1
83.0,40.0,14.0,26.0,1.0,0.0,25.0,29.0,0.0,0.0,25.0,4.0,1.05714931610548,2
309.0,1854.0,68.0,86.0,1.0,0.0,0.0,36.0,5.0,0.0,34.0,85.0,0.915024129447388,1
3432.0,3867.0,355.0,611.0,56.0,0.0,0.0,1194.0,39.0,34.0,285.0,1827.0,0.865617488080534,0
179.0,3512.0,55.0,79.0,4.0,0.0,0.0,71.0,12.0,8.0,11.0,73.0,0.594368207936839,1
849.0,3337.0,147.0,191.0,12.0,4.0,0.0,88.0,6.0,16.0,9.0,719.0,1.00522694513289,1
452.0,1336.0,110.0,176.0,37.0,0.0,0.0,51.0,6.0,29.0,11.0,282.0,0.831953524648453,1
71.0,3239.0,48.0,44.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,57.0,1.05714931610548,1
443.0,3636.0,135.0,109.0,5.0,0.0,0.0,14.0,8.0,3.0,5.0,261.0,0.915024129447388,0
118.0,4117.0,41.0,58.0,3.0,0.0,0.0,8.0,0.0,27.0,8.0,73.0,1.02771709743701,0
425.0,1553.0,69.0,112.0,22.0,0.0,0.0,90.0,11.0,0.0,13.0,262.0,0.831953524648453,1
287.0,1910.0,76.0,52.0,8.0,0.0,0.0,38.0,0.0,4.0,3.0,228.0,0.915024129447388,0
21180.0,2869.0,1686.0,2489.0,231.0,0.0,0.0,949.0,32.0,312.0,98.0,18768.0,0.661673179614133,0
203.0,4239.0,31.0,49.0,14.0,0.0,0.0,51.0,0.0,0.0,8.0,120.0,1.02771709743701,1
453.0,3358.0,84.0,289.0,1.0,0.0,0.0,8.0,3.0,0.0,2.0,395.0,0.982449108801872,2
63.0,2166.0,15.0,26.0,2.0,0.0,0.0,7.0,2.0,9.0,4.0,41.0,0.800528377424059,2
1131.0,525.0,137.0,485.0,0.0,0.0,0.0,139.0,119.0,21.0,288.0,492.0,0.661673179614133,1
213.0,1862.0,39.0,36.0,5.0,0.0,0.0,58.0,0.0,0.0,0.0,147.0,1.02771709743701,1
354.0,1806.0,149.0,78.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,164.0,1.20440316450483,1
186.0,92.0,17.0,37.0,1.0,0.0,0.0,131.0,1.0,5.0,0.0,49.0,0.997535302103113,0
412.0,1577.0,106.0,65.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,312.0,1.20440316450483,1
71.0,1272.0,20.0,20.0,4.0,0.0,0.0,27.0,0.0,8.0,4.0,31.0,0.411985187306913,1
904.0,2192.0,179.0,404.0,66.0,0.0,0.0,5.0,13.0,48.0,7.0,823.0,0.865617488080534,0
64.0,2233.0,22.0,38.0,4.0,0.0,0.0,7.0,0.0,7.0,0.0,48.0,0.800528377424059,0
432.0,2716.0,67.0,27.0,6.0,0.0,0.0,2.0,39.0,3.0,8.0,377.0,1.20440316450483,1
54.0,19.0,5.0,51.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,50.0,1.86500803160946,1
144.0,2486.0,29.0,71.0,6.0,0.0,0.0,19.0,7.0,0.0,2.0,109.0,1.02771709743701,1
88.0,16.0,13.0,7.0,1.0,0.0,0.0,75.0,0.0,0.0,10.0,3.0,1.86500803160946,2
228.0,833.0,78.0,107.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,217.0,1.20440316450483,0
750.0,2510.0,67.0,267.0,53.0,0.0,0.0,2.0,5.0,19.0,6.0,666.0,0.831953524648453,1
88.0,239.0,13.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,1.86500803160946,1
1698.0,3032.0,269.0,254.0,27.0,0.0,0.0,157.0,17.0,42.0,91.0,1331.0,1.48165413798567,0
152.0,93.0,16.0,11.0,8.0,0.0,0.0,1.0,0.0,0.0,4.0,147.0,1.29126262950745,2
68.0,4099.0,41.0,28.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,52.0,1.86500803160946,1
126.0,827.0,39.0,45.0,6.0,0.0,0.0,48.0,1.0,3.0,4.0,67.0,0.594368207936839,1
54.0,117.0,9.0,5.0,0.0,0.0,0.0,50.0,1.0,0.0,3.0,0.0,0.411985187306913,0
80.0,2814.0,34.0,30.0,1.0,0.0,0.0,16.0,0.0,1.0,19.0,38.0,0.800528377424059,1
79.0,1961.0,67.0,69.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,72.0,1.05714931610548,1
88.0,2558.0,18.0,23.0,0.0,0.0,0.0,21.0,1.0,2.0,2.0,62.0,1.86500803160946,0
188.0,436.0,28.0,46.0,0.0,0.0,0.0,29.0,12.0,10.0,68.0,63.0,1.02771709743701,1
612.0,2435.0,210.0,88.0,48.0,0.0,0.0,1.0,0.0,0.0,0.0,608.0,0.982449108801872,1
818.0,1915.0,59.0,568.0,38.0,0.0,0.0,44.0,1.0,9.0,4.0,685.0,0.915024129447388,0
119.0,3400.0,65.0,32.0,8.0,0.0,0.0,1.0,0.0,7.0,2.0,108.0,1.29126262950745,1
50.0,204.0,8.0,10.0,1.0,0.0,0.0,22.0,0.0,0.0,4.0,23.0,0.800528377424059,1
150.0,1440.0,35.0,69.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,147.0,1.29126262950745,0
115.0,103.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,31.0,0.0,81.0,1.29126262950745,1
179.0,2253.0,37.0,37.0,2.0,0.0,0.0,92.0,5.0,17.0,16.0,41.0,0.594368207936839,2
1398.0,857.0,398.0,116.0,27.0,0.0,0.0,1.0,0.0,7.0,9.0,1339.0,0.661673179614133,1
20538.0,3373.0,1921.0,1345.0,135.0,0.0,0.0,233.0,96.0,54.0,138.0,19747.0,1.48165413798567,1
400.0,2639.0,63.0,138.0,21.0,0.0,0.0,92.0,1.0,0.0,20.0,283.0,0.831953524648453,1
1960.0,925.0,266.0,416.0,4.0,0.0,0.0,393.0,62.0,229.0,95.0,1036.0,0.865617488080534,0
52.0,509.0,10.0,17.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,50.0,1.86500803160946,1
51.0,3881.0,31.0,32.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,44.0,1.86500803160946,0
1060.0,658.0,95.0,272.0,1.0,0.0,0.0,389.0,122.0,6.0,76.0,96.0,0.865617488080534,1
120.0,57.0,23.0,25.0,0.0,0.0,0.0,43.0,5.0,1.0,35.0,34.0,0.594368207936839,1
395.0,37.0,28.0,98.0,10.0,0.0,0.0,70.0,9.0,7.0,21.0,210.0,0.831953524648453,1
99.0,5010.0,23.0,60.0,20.0,0.0,0.0,6.0,4.0,5.0,8.0,76.0,1.02771709743701,1
74.0,1867.0,32.0,31.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,65.0,0.411985187306913,1
67.0,2950.0,24.0,26.0,0.0,0.0,0.0,1.0,0.0,42.0,7.0,17.0,0.800528377424059,1
55.0,3145.0,42.0,46.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,40.0,1.86500803160946,0
398.0,2351.0,166.0,70.0,0.0,0.0,0.0,3.0,2.0,65.0,55.0,272.0,1.20440316450483,1
57.0,3380.0,19.0,24.0,1.0,0.0,0.0,7.0,3.0,1.0,6.0,39.0,1.05714931610548,1
13043.0,2399.0,1076.0,205.0,13.0,0.0,0.0,5.0,1.0,10.0,65.0,7068.0,1.00522694513289,1
2130.0,3748.0,656.0,514.0,16.0,0.0,0.0,110.0,33.0,215.0,167.0,1501.0,1.48165413798567,0
98.0,2522.0,17.0,25.0,0.0,0.0,0.0,7.0,5.0,17.0,3.0,66.0,1.02771709743701,1
146.0,4189.0,19.0,46.0,10.0,1.0,0.0,11.0,12.0,2.0,7.0,112.0,1.02771709743701,0
219.0,2480.0,122.0,190.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,206.0,0.997535302103113,0
155.0,1412.0,27.0,22.0,3.0,0.0,0.0,111.0,4.0,1.0,0.0,39.0,0.997535302103113,1
1014.0,114.0,50.0,860.0,0.0,0.0,1.0,33.0,8.0,617.0,3.0,192.0,0.661673179614133,1
222.0,1834.0,84.0,131.0,0.0,0.0,0.0,1.0,9.0,6.0,5.0,185.0,1.29126262950745,1
34723.0,1783.0,1385.0,14756.0,513.0,0.0,0.0,723.0,879.0,1507.0,445.0,22716.0,1.48165413798567,1
172.0,3691.0,45.0,55.0,11.0,0.0,0.0,37.0,0.0,9.0,0.0,126.0,0.594368207936839,1
361.0,2083.0,47.0,47.0,3.0,0.0,0.0,27.0,2.0,70.0,31.0,215.0,0.831953524648453,0
246.0,545.0,83.0,47.0,2.0,0.0,0.0,36.0,0.0,6.0,47.0,139.0,0.831953524648453,1
261.0,1442.0,101.0,57.0,7.0,0.0,0.0,54.0,3.0,8.0,25.0,166.0,0.831953524648453,1
822.0,2958.0,83.0,629.0,0.0,0.0,0.0,38.0,35.0,5.0,65.0,657.0,0.915024129447388,0
81.0,2100.0,39.0,45.0,3.0,0.0,0.0,2.0,4.0,14.0,1.0,56.0,1.05714931610548,1
75.0,2925.0,41.0,67.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,70.0,1.86500803160946,0
78.0,91.0,13.0,32.0,3.0,0.0,0.0,9.0,0.0,3.0,1.0,61.0,0.800528377424059,1
386.0,3595.0,57.0,145.0,4.0,0.0,0.0,11.0,26.0,29.0,19.0,298.0,0.982449108801872,0
332.0,1939.0,21.0,14.0,1.0,0.0,0.0,54.0,0.0,3.0,0.0,275.0,0.831953524648453,0
230.0,22.0,16.0,130.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,200.0,0.982449108801872,2
12205.0,2293.0,838.0,2202.0,53.0,3.0,5.0,2497.0,785.0,514.0,1781.0,3789.0,0.865617488080534,1
52.0,519.0,32.0,36.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,44.0,1.86500803160946,0
1997.0,2169.0,337.0,152.0,10.0,0.0,0.0,259.0,0.0,2.0,0.0,1525.0,0.865617488080534,0
163.0,238.0,21.0,40.0,9.0,0.0,0.0,14.0,11.0,0.0,1.0,125.0,0.997535302103113,1
140.0,1304.0,26.0,23.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,128.0,0.997535302103113,0
411.0,2263.0,68.0,108.0,6.0,0.0,0.0,31.0,0.0,88.0,5.0,287.0,0.831953524648453,1
231.0,4030.0,111.0,107.0,5.0,0.0,0.0,14.0,9.0,53.0,21.0,133.0,0.915024129447388,1
120.0,1963.0,12.0,71.0,0.0,0.0,0.0,42.0,4.0,1.0,3.0,65.0,0.594368207936839,1
8025.0,2863.0,1177.0,933.0,327.0,0.0,0.0,510.0,29.0,31.0,140.0,6294.0,1.48165413798567,1
4842.0,1026.0,509.0,450.0,7.0,0.0,0.0,1362.0,0.0,1.0,5.0,1213.0,0.661673179614133,1
857.0,3630.0,185.0,489.0,5.0,0.0,0.0,9.0,7.0,59.0,24.0,735.0,1.00522694513289,0
1389.0,2640.0,214.0,445.0,22.0,0.0,0.0,289.0,123.0,155.0,209.0,517.0,0.661673179614133,0
293.0,348.0,16.0,38.0,6.0,0.0,0.0,10.0,0.0,3.0,5.0,260.0,0.831953524648453,0
101.0,4391.0,41.0,53.0,5.0,0.0,0.0,5.0,2.0,2.0,3.0,80.0,0.997535302103113,0
877.0,871.0,161.0,375.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,851.0,0.865617488080534,0
4367.0,4290.0,616.0,1316.0,138.0,0.0,0.0,76.0,599.0,341.0,345.0,2909.0,1.48165413798567,1
173.0,3593.0,41.0,70.0,18.0,0.0,0.0,4.0,0.0,0.0,13.0,118.0,0.997535302103113,1
88.0,2253.0,80.0,85.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,82.0,0.800528377424059,0
10965.0,2278.0,1274.0,1347.0,114.0,0.0,0.0,3924.0,80.0,85.0,314.0,5105.0,0.661673179614133,1
63.0,4718.0,23.0,13.0,3.0,0.0,0.0,1.0,1.0,0.0,5.0,56.0,1.05714931610548,0
50.0,3.0,3.0,13.0,0.0,0.0,0.0,32.0,0.0,0.0,4.0,12.0,0.411985187306913,1
284.0,469.0,60.0,71.0,12.0,0.0,4.0,10.0,1.0,11.0,5.0,245.0,1.20440316450483,1
214.0,1383.0,28.0,38.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,210.0,1.29126262950745,0
97.0,31.0,6.0,12.0,0.0,0.0,0.0,8.0,89.0,0.0,0.0,0.0,0.594368207936839,0
3086.0,1471.0,376.0,495.0,10.0,0.0,0.0,2.0,0.0,2.0,2.0,810.0,0.865617488080534,1
419.0,1510.0,60.0,85.0,0.0,0.0,0.0,67.0,16.0,11.0,89.0,226.0,0.915024129447388,0
56.0,1455.0,23.0,17.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,42.0,1.05714931610548,1
381.0,2426.0,105.0,78.0,4.0,0.0,0.0,1.0,6.0,0.0,4.0,370.0,0.982449108801872,1
1100.0,3571.0,180.0,229.0,63.0,0.0,0.0,30.0,12.0,100.0,70.0,881.0,1.48165413798567,0
805.0,1964.0,192.0,478.0,9.0,0.0,0.0,53.0,43.0,15.0,338.0,323.0,0.915024129447388,1
59.0,659.0,18.0,26.0,0.0,0.0,0.0,22.0,0.0,1.0,5.0,24.0,1.05714931610548,1
110.0,118.0,23.0,25.0,0.0,0.0,0.0,31.0,1.0,0.0,1.0,58.0,0.594368207936839,1
22943.0,1822.0,1175.0,10284.0,81.0,1.0,0.0,75.0,49.0,59.0,127.0,14669.0,0.661673179614133,1
72.0,2710.0,14.0,7.0,2.0,0.0,0.0,1.0,0.0,4.0,2.0,65.0,0.800528377424059,0
9044.0,2938.0,1130.0,2481.0,8.0,0.0,0.0,201.0,23.0,45.0,198.0,8389.0,1.48165413798567,0
235.0,1335.0,36.0,127.0,7.0,0.0,0.0,15.0,6.0,4.0,45.0,161.0,0.915024129447388,1
195.0,4059.0,95.0,144.0,0.0,0.0,0.0,13.0,1.0,4.0,12.0,163.0,1.02771709743701,1
160.0,1808.0,54.0,138.0,0.0,0.0,0.0,3.0,3.0,29.0,7.0,115.0,1.29126262950745,1
92.0,2885.0,33.0,51.0,2.0,0.0,0.0,3.0,0.0,18.0,0.0,68.0,1.86500803160946,1
398.0,3308.0,124.0,105.0,17.0,0.0,0.0,19.0,2.0,28.0,11.0,284.0,0.831953524648453,1
73.0,3362.0,30.0,37.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,72.0,1.86500803160946,0
233.0,4244.0,84.0,111.0,1.0,0.0,0.0,1.0,0.0,59.0,0.0,170.0,1.20440316450483,1
2429.0,2486.0,155.0,1412.0,10.0,1.0,0.0,56.0,6.0,16.0,81.0,1551.0,1.00522694513289,1
55.0,8.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,52.0,1.86500803160946,0
307.0,2905.0,65.0,20.0,1.0,0.0,0.0,6.0,7.0,9.0,6.0,276.0,1.20440316450483,0
166.0,366.0,11.0,106.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,157.0,0.997535302103113,0
4274.0,3444.0,448.0,783.0,16.0,0.0,0.0,104.0,28.0,32.0,19.0,3695.0,1.00522694513289,1
109.0,710.0,34.0,29.0,2.0,0.0,0.0,50.0,3.0,0.0,0.0,40.0,0.594368207936839,0
280.0,2086.0,136.0,173.0,0.0,0.0,0.0,100.0,0.0,0.0,2.0,113.0,0.915024129447388,0
61.0,4002.0,29.0,33.0,0.0,0.0,0.0,4.0,0.0,13.0,1.0,41.0,0.411985187306913,1
57.0,1315.0,18.0,32.0,0.0,0.0,0.0,8.0,0.0,10.0,9.0,29.0,1.05714931610548,1
308.0,186.0,26.0,42.0,18.0,0.0,0.0,1.0,4.0,1.0,1.0,284.0,1.20440316450483,0
142.0,59.0,13.0,5.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,1.29126262950745,0
11542.0,4081.0,1613.0,4014.0,256.0,0.0,0.0,631.0,45.0,122.0,31.0,8695.0,1.00522694513289,1
52.0,2430.0,18.0,5.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,45.0,1.86500803160946,0
81.0,1749.0,38.0,34.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,30.0,0.800528377424059,0
346.0,755.0,44.0,50.0,1.0,0.0,0.0,234.0,0.0,8.0,1.0,103.0,0.915024129447388,0
394.0,1140.0,190.0,156.0,3.0,0.0,0.0,15.0,0.0,0.0,1.0,180.0,0.831953524648453,0
135.0,939.0,25.0,62.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,128.0,0.997535302103113,1
148.0,4015.0,56.0,87.0,6.0,0.0,0.0,13.0,1.0,3.0,0.0,131.0,0.594368207936839,0
557.0,2834.0,132.0,202.0,35.0,0.0,0.0,45.0,3.0,3.0,16.0,485.0,0.915024129447388,1
64.0,3266.0,22.0,52.0,0.0,0.0,0.0,8.0,3.0,1.0,9.0,42.0,0.800528377424059,1
332.0,3305.0,52.0,244.0,4.0,0.0,0.0,31.0,3.0,5.0,1.0,291.0,0.915024129447388,1
150.0,3026.0,24.0,99.0,0.0,0.0,0.0,30.0,20.0,4.0,19.0,75.0,1.02771709743701,1
820.0,1771.0,71.0,139.0,9.0,0.0,0.0,84.0,20.0,14.0,95.0,591.0,0.831953524648453,1
3285.0,1349.0,184.0,2166.0,12.0,4.0,0.0,66.0,147.0,99.0,284.0,2634.0,0.661673179614133,0
447.0,3546.0,76.0,89.0,4.0,0.0,0.0,20.0,0.0,16.0,11.0,399.0,0.915024129447388,2
113.0,178.0,19.0,29.0,3.0,0.0,0.0,22.0,0.0,2.0,2.0,83.0,0.594368207936839,1
518.0,971.0,155.0,163.0,5.0,0.0,0.0,94.0,0.0,0.0,14.0,397.0,0.831953524648453,0
103.0,160.0,17.0,15.0,1.0,0.0,0.0,34.0,18.0,3.0,0.0,48.0,1.29126262950745,1
284.0,3704.0,44.0,207.0,0.0,0.0,0.0,34.0,171.0,0.0,20.0,40.0,1.20440316450483,1
373.0,2962.0,162.0,313.0,0.0,0.0,0.0,8.0,0.0,2.0,3.0,95.0,0.831953524648453,1
50.0,3149.0,12.0,18.0,1.0,0.0,0.0,4.0,0.0,7.0,1.0,38.0,1.05714931610548,1
89.0,20.0,15.0,31.0,0.0,0.0,0.0,7.0,6.0,16.0,10.0,48.0,0.411985187306913,2
1323.0,2940.0,190.0,114.0,1.0,0.0,0.0,11.0,2.0,3.0,59.0,974.0,1.48165413798567,1
5071.0,100.0,96.0,3104.0,71.0,0.0,0.0,3.0,16.0,20.0,112.0,4573.0,0.865617488080534,1
552.0,2763.0,136.0,123.0,10.0,0.0,0.0,153.0,51.0,51.0,68.0,216.0,0.915024129447388,2
281.0,3531.0,35.0,128.0,5.0,0.0,0.0,8.0,2.0,1.0,0.0,268.0,0.982449108801872,1
75.0,2580.0,37.0,22.0,0.0,0.0,0.0,8.0,0.0,12.0,1.0,54.0,0.411985187306913,1
211.0,2148.0,26.0,67.0,13.0,0.0,0.0,60.0,0.0,7.0,4.0,130.0,0.594368207936839,0
60.0,200.0,8.0,4.0,0.0,0.0,0.0,6.0,0.0,8.0,0.0,46.0,0.800528377424059,1
133.0,2398.0,34.0,30.0,1.0,0.0,0.0,41.0,0.0,15.0,8.0,66.0,0.594368207936839,0
5803.0,3942.0,546.0,4050.0,16.0,4.0,0.0,122.0,353.0,80.0,1477.0,3472.0,0.661673179614133,1
84.0,1628.0,12.0,18.0,3.0,0.0,0.0,1.0,0.0,4.0,2.0,77.0,1.86500803160946,0
354.0,1715.0,29.0,340.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,258.0,0.831953524648453,1
84.0,345.0,20.0,15.0,2.0,0.0,0.0,19.0,4.0,6.0,1.0,54.0,1.05714931610548,1
954.0,2613.0,303.0,660.0,25.0,0.0,0.0,12.0,10.0,38.0,10.0,878.0,0.661673179614133,1
280.0,2689.0,43.0,73.0,9.0,0.0,0.0,43.0,0.0,16.0,14.0,197.0,0.831953524648453,0
19751.0,3917.0,1545.0,1377.0,101.0,0.0,0.0,3239.0,1164.0,585.0,2157.0,10439.0,1.48165413798567,0
232.0,3384.0,84.0,116.0,22.0,0.0,0.0,57.0,3.0,8.0,4.0,146.0,0.915024129447388,1
60.0,477.0,10.0,11.0,0.0,0.0,0.0,21.0,0.0,8.0,8.0,23.0,1.05714931610548,2
136.0,1781.0,60.0,51.0,1.0,0.0,0.0,11.0,1.0,15.0,6.0,103.0,1.29126262950745,1
65.0,4027.0,27.0,36.0,6.0,0.0,0.0,1.0,0.0,14.0,0.0,50.0,1.86500803160946,1
673.0,3963.0,142.0,134.0,33.0,0.0,0.0,31.0,17.0,29.0,45.0,496.0,0.831953524648453,1
132.0,4161.0,76.0,68.0,5.0,0.0,0.0,3.0,11.0,2.0,19.0,97.0,0.997535302103113,0
2000.0,4074.0,318.0,1132.0,27.0,0.0,0.0,28.0,55.0,38.0,46.0,1332.0,1.48165413798567,1
5547.0,4163.0,765.0,1719.0,7.0,1.0,0.0,25.0,159.0,191.0,807.0,4221.0,0.865617488080534,0
440.0,169.0,36.0,162.0,52.0,0.0,0.0,29.0,0.0,53.0,31.0,326.0,0.831953524648453,1
51.0,18.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,48.0,1.86500803160946,0
122.0,1197.0,71.0,43.0,0.0,0.0,0.0,2.0,2.0,7.0,14.0,95.0,1.29126262950745,0
4700.0,506.0,190.0,4444.0,9.0,0.0,0.0,1.0,0.0,0.0,3.0,4336.0,0.865617488080534,0
