N1,N2,N3,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,label
10318.0,0.68,46.0,city_131,Male,Has relevent experience,Part time course,Graduate,STEM,4,,,1,1
15070.0,0.847,152.0,city_1,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,0
21570.0,0.624,52.0,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,1
32423.0,0.624,23.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,,2,0
11636.0,0.926,18.0,city_114,,No relevent experience,no_enrollment,Masters,STEM,11,,,never,1
13394.0,0.897,79.0,city_136,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,0
14819.0,0.698,45.0,city_26,Male,Has relevent experience,no_enrollment,High School,,4,100-500,Pvt Ltd,2,1
3840.0,0.91,62.0,city_16,Other,No relevent experience,Full time course,Graduate,STEM,4,,,2,1
9681.0,0.92,21.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,0
20479.0,0.624,13.0,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,3,10/49,,2,1
20062.0,0.92,124.0,city_103,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,4,0
31171.0,0.5579999999999999,5.0,city_101,Male,No relevent experience,Part time course,Graduate,STEM,1,10/49,,1,0
19427.0,0.624,48.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,1,0
30301.0,0.91,92.0,city_16,,Has relevent experience,no_enrollment,Graduate,STEM,1,5000-9999,Pvt Ltd,1,0
812.0,0.762,31.0,city_46,Male,Has relevent experience,Part time course,Masters,STEM,19,,,1,1
29103.0,0.92,13.0,city_103,Male,No relevent experience,Part time course,Phd,Humanities,11,10/49,Other,3,0
6690.0,0.804,52.0,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,,,1,0
28081.0,0.92,4.0,city_160,Male,No relevent experience,Full time course,Graduate,STEM,>20,100-500,Pvt Ltd,1,0
23266.0,0.887,121.0,city_100,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,1
17802.0,0.624,6.0,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,>4,1
2134.0,0.8270000000000001,29.0,city_13,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,>4,0
15873.0,0.8270000000000001,34.0,city_13,Male,Has relevent experience,no_enrollment,Masters,,>20,10/49,Pvt Ltd,4,0
28611.0,0.92,61.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,1
1652.0,0.789,156.0,city_115,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,1
14769.0,0.804,188.0,city_102,Male,No relevent experience,no_enrollment,Phd,STEM,20,10/49,Pvt Ltd,2,0
22565.0,0.624,35.0,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,16,100-500,Pvt Ltd,2,0
16248.0,0.92,66.0,city_103,Male,Has relevent experience,no_enrollment,Primary School,,8,50-99,,never,0
17009.0,0.92,43.0,city_103,,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,3,0
32714.0,0.624,9.0,city_21,Male,Has relevent experience,Full time course,Graduate,Other,5,10/49,Early Stage Startup,1,1
19062.0,0.682,224.0,city_19,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,2,0
24932.0,0.903,112.0,city_165,Male,No relevent experience,Full time course,Masters,Humanities,<1,,,never,1
30227.0,0.91,99.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,2,0
14996.0,0.924,39.0,city_104,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,0
29687.0,0.915,124.0,city_99,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,5000-9999,Pvt Ltd,2,0
11993.0,0.7959999999999999,54.0,city_20,,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,2,0
25359.0,0.624,12.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Other,2,1
19595.0,0.897,96.0,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10/49,Funded Startup,1,0
29005.0,0.698,180.0,city_90,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,,1,1
11194.0,0.92,314.0,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,2,0
11732.0,0.939,133.0,city_28,Male,Has relevent experience,no_enrollment,Phd,STEM,11,<10,Pvt Ltd,1,0
31055.0,0.92,50.0,city_103,Male,No relevent experience,Full time course,High School,,7,,,2,1
6755.0,0.624,51.0,city_21,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,Pvt Ltd,3,1
3537.0,0.897,98.0,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,Pvt Ltd,1,0
1170.0,0.91,20.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,>4,0
27849.0,0.884,134.0,city_71,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Pvt Ltd,1,1
31138.0,0.884,28.0,city_71,Male,Has relevent experience,no_enrollment,Graduate,Other,5,<10,Pvt Ltd,1,0
20136.0,0.893,48.0,city_36,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10/49,Pvt Ltd,1,0
16561.0,0.91,56.0,city_16,,Has relevent experience,no_enrollment,High School,,4,,,never,0
18170.0,0.91,50.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,0
26696.0,0.624,23.0,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,>4,0
13804.0,0.913,9.0,city_61,Male,Has relevent experience,no_enrollment,Primary School,,7,100-500,Pvt Ltd,1,0
15495.0,0.926,62.0,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,0
8415.0,0.92,101.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,,,0
13206.0,0.92,11.0,city_103,Female,No relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,1,0
27527.0,0.92,22.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Funded Startup,1,0
7757.0,0.624,198.0,city_21,Male,Has relevent experience,,Graduate,STEM,3,,,1,0
28104.0,0.92,82.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,11,50-99,Pvt Ltd,2,0
17611.0,0.92,47.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,6,,,2,1
22299.0,0.926,70.0,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,0
7039.0,0.91,79.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,0
23487.0,0.92,42.0,city_103,Male,Has relevent experience,no_enrollment,Masters,Humanities,>20,,,never,0
10963.0,0.855,20.0,city_67,Male,No relevent experience,Full time course,High School,,11,,,1,1
32082.0,0.887,218.0,city_100,Female,No relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,0
11526.0,0.926,7.0,city_114,Male,Has relevent experience,no_enrollment,Graduate,Humanities,16,500-999,,3,0
10998.0,0.897,146.0,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Funded Startup,2,0
17521.0,0.92,12.0,city_103,Male,No relevent experience,no_enrollment,Masters,Business Degree,11,10000+,Pvt Ltd,>4,0
7502.0,0.913,22.0,city_61,Male,No relevent experience,Full time course,High School,,2,,,never,0
10529.0,0.92,102.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,<10,Pvt Ltd,1,0
28215.0,0.897,46.0,city_136,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Funded Startup,2,0
9989.0,0.92,106.0,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,14,100-500,Funded Startup,1,0
17288.0,0.624,34.0,city_21,Female,Has relevent experience,no_enrollment,Masters,STEM,3,<10,Funded Startup,2,1
13482.0,0.926,34.0,city_114,,No relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,never,0
4792.0,0.926,20.0,city_114,Male,No relevent experience,Full time course,Graduate,STEM,6,,,1,0
8908.0,0.92,36.0,city_160,Male,No relevent experience,Full time course,Masters,STEM,14,,,4,0
26565.0,0.804,21.0,city_102,Male,Has relevent experience,no_enrollment,Masters,STEM,13,100-500,Pvt Ltd,1,0
31993.0,0.92,35.0,city_103,Female,No relevent experience,no_enrollment,Graduate,Arts,16,,,>4,1
26639.0,0.624,13.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,100-500,NGO,1,0
16666.0,0.897,20.0,city_136,,Has relevent experience,Part time course,Graduate,STEM,3,5000-9999,Pvt Ltd,never,0
17101.0,0.91,23.0,city_16,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,0
23358.0,0.698,31.0,city_90,Male,Has relevent experience,,,,9,,,1,0
6655.0,0.855,81.0,city_67,,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Early Stage Startup,3,0
3119.0,0.802,19.0,city_65,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Early Stage Startup,1,0
30922.0,0.92,84.0,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,2,0
32848.0,0.939,97.0,city_28,Male,No relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,0
30870.0,0.926,36.0,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,>4,0
24504.0,0.754,7.0,city_73,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,500-999,NGO,1,0
16682.0,0.743,34.0,city_116,,No relevent experience,no_enrollment,Masters,Humanities,3,,,2,1
19589.0,0.754,222.0,city_73,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,,1,0
24425.0,0.624,2.0,city_21,,No relevent experience,Full time course,Graduate,STEM,1,,,never,0
11647.0,0.91,37.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,0
26314.0,0.698,4.0,city_90,Male,No relevent experience,Full time course,Graduate,STEM,3,,,1,1
17577.0,0.802,59.0,city_65,Male,Has relevent experience,,Graduate,STEM,8,50-99,Pvt Ltd,1,0
22666.0,0.91,8.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,Humanities,7,10/49,Pvt Ltd,1,0
3144.0,0.92,34.0,city_160,Male,No relevent experience,no_enrollment,Masters,Other,>20,100-500,Public Sector,>4,0
23658.0,0.789,107.0,city_115,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,,,2,1
14843.0,0.926,38.0,city_114,Female,Has relevent experience,,Masters,STEM,10,10/49,Funded Startup,1,0
14465.0,0.926,12.0,city_114,Male,Has relevent experience,no_enrollment,High School,,>20,<10,Pvt Ltd,never,0
26471.0,0.848,91.0,city_27,Male,Has relevent experience,Full time course,High School,,2,100-500,Pvt Ltd,1,0
28942.0,0.804,34.0,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,0
3792.0,0.92,24.0,city_160,Male,No relevent experience,no_enrollment,Graduate,STEM,9,500-999,Pvt Ltd,2,1
13752.0,0.884,15.0,city_71,,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,1,0
31860.0,0.92,25.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,NGO,2,0
581.0,0.92,108.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,3,0
2385.0,0.939,114.0,city_75,Male,No relevent experience,no_enrollment,Graduate,STEM,15,<10,Pvt Ltd,>4,0
16236.0,0.763,55.0,city_141,Male,Has relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,>4,0
18777.0,0.91,100.0,city_16,Male,No relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,>4,0
12785.0,0.8959999999999999,11.0,city_50,Male,No relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,1,0
31120.0,0.624,4.0,city_21,Male,Has relevent experience,Full time course,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,0
31667.0,0.92,24.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,1,,,1,1
1326.0,0.884,39.0,city_71,,Has relevent experience,no_enrollment,Graduate,No Major,4,10/49,Early Stage Startup,1,0
12389.0,0.624,14.0,city_21,Male,Has relevent experience,,Graduate,STEM,1,,,1,0
5234.0,0.624,11.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Funded Startup,1,1
13320.0,0.92,174.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,No Major,15,,,>4,1
8706.0,0.92,6.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,>4,0
28433.0,0.855,96.0,city_67,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,500-999,Pvt Ltd,1,0
10307.0,0.92,11.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,5000-9999,Pvt Ltd,2,0
27747.0,0.92,13.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,2,0
8845.0,0.939,14.0,city_75,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,0
18636.0,0.55,107.0,city_11,Male,Has relevent experience,no_enrollment,Masters,STEM,17,1000-4999,Public Sector,>4,0
30488.0,0.55,20.0,city_11,,No relevent experience,Full time course,Graduate,STEM,2,,,1,0
14721.0,0.926,32.0,city_114,,Has relevent experience,no_enrollment,Masters,STEM,>20,500-999,Pvt Ltd,,0
2946.0,0.624,50.0,city_21,,No relevent experience,Full time course,Graduate,,2,,Pvt Ltd,1,1
26426.0,0.794,25.0,city_105,Other,Has relevent experience,no_enrollment,High School,,7,,,2,0
5052.0,0.949,24.0,city_98,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,,>4,0
25448.0,0.727,24.0,city_142,Male,Has relevent experience,Full time course,Graduate,STEM,7,,,>4,0
31713.0,0.624,2.0,city_21,Male,No relevent experience,no_enrollment,Graduate,STEM,3,,,1,1
4556.0,0.624,107.0,city_21,,No relevent experience,Full time course,High School,,2,,,,0
22356.0,0.939,53.0,city_75,Male,Has relevent experience,no_enrollment,Masters,STEM,1,<10,Funded Startup,1,1
20601.0,0.6659999999999999,44.0,city_64,,No relevent experience,no_enrollment,Graduate,STEM,3,,,3,0
16783.0,0.92,92.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,1,0
21484.0,0.55,10.0,city_11,,Has relevent experience,no_enrollment,Graduate,STEM,14,,,1,0
221.0,0.843,12.0,city_159,Male,No relevent experience,Full time course,Masters,STEM,15,,Pvt Ltd,never,0
3182.0,0.794,133.0,city_105,,Has relevent experience,Part time course,High School,,3,50-99,Funded Startup,1,0
1297.0,0.92,86.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,5000-9999,Pvt Ltd,4,0
22589.0,0.794,6.0,city_105,Male,Has relevent experience,no_enrollment,Masters,Other,13,<10,Early Stage Startup,1,0
27374.0,0.7959999999999999,53.0,city_20,Male,No relevent experience,Full time course,High School,,4,1000-4999,,1,0
2688.0,0.754,7.0,city_73,Male,Has relevent experience,Full time course,Graduate,STEM,4,,,never,1
17656.0,0.926,21.0,city_114,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,0
8142.0,0.89,20.0,city_45,,No relevent experience,Full time course,Graduate,STEM,8,,,1,0
32782.0,0.624,26.0,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,17,10000+,Other,1,1
23772.0,0.939,6.0,city_28,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,4,0
11068.0,0.624,100.0,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,9,,,never,1
19548.0,0.794,21.0,city_105,,Has relevent experience,no_enrollment,Graduate,Other,1,100-500,NGO,1,0
8323.0,0.855,56.0,city_67,,Has relevent experience,no_enrollment,Masters,STEM,20,100-500,Pvt Ltd,2,0
4687.0,0.698,44.0,city_14,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,1,0
18762.0,0.92,6.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,,,3,1
21762.0,0.92,108.0,city_160,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,0
10254.0,0.92,70.0,city_160,,No relevent experience,no_enrollment,High School,,6,10/49,Pvt Ltd,2,0
5784.0,0.887,23.0,city_100,,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,,>4,1
19454.0,0.624,172.0,city_21,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Funded Startup,1,1
7533.0,0.92,80.0,city_103,Female,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Funded Startup,1,0
3217.0,0.92,111.0,city_103,,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,1,0
26399.0,0.624,76.0,city_21,,Has relevent experience,no_enrollment,Graduate,STEM,7,,,2,1
30089.0,0.479,26.0,city_126,,No relevent experience,no_enrollment,,,>20,,,2,1
7309.0,0.92,100.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,1
6251.0,0.92,192.0,city_103,Male,No relevent experience,no_enrollment,Masters,STEM,7,500-999,Pvt Ltd,1,0
21697.0,0.926,11.0,city_114,Male,No relevent experience,no_enrollment,Graduate,STEM,13,,,3,0
30243.0,0.887,43.0,city_100,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,never,1
21768.0,0.624,22.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,>4,1
1487.0,0.91,15.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,3,0
22644.0,0.624,53.0,city_21,,Has relevent experience,Full time course,Graduate,STEM,11,500-999,Pvt Ltd,3,1
1048.0,0.92,48.0,city_160,Male,No relevent experience,no_enrollment,Graduate,STEM,7,1000-4999,Public Sector,2,0
27594.0,0.624,28.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,,0
28539.0,0.7759999999999999,111.0,city_175,Female,No relevent experience,Full time course,Graduate,STEM,4,5000-9999,,1,0
19802.0,0.802,4.0,city_65,Male,Has relevent experience,no_enrollment,High School,,12,100-500,Pvt Ltd,1,0
25779.0,0.926,20.0,city_114,Male,No relevent experience,Full time course,Graduate,STEM,17,,Public Sector,4,0
18601.0,0.624,17.0,city_21,,No relevent experience,Part time course,Masters,STEM,14,,,1,0
24364.0,0.926,64.0,city_114,,No relevent experience,Full time course,Graduate,STEM,8,,,never,0
23463.0,0.92,109.0,city_160,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,0
9467.0,0.926,60.0,city_114,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,0
22144.0,0.804,112.0,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,0
668.0,0.55,41.0,city_11,Male,Has relevent experience,Part time course,Graduate,STEM,2,10/49,Early Stage Startup,1,0
3827.0,0.92,9.0,city_103,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10/49,Pvt Ltd,>4,0
3604.0,0.91,95.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,No Major,16,,,>4,1
30077.0,0.855,30.0,city_67,Male,Has relevent experience,Full time course,Graduate,STEM,4,10000+,Pvt Ltd,3,0
30322.0,0.91,29.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,0
3763.0,0.794,36.0,city_105,Female,Has relevent experience,Full time course,Graduate,STEM,10,50-99,,>4,0
1234.0,0.762,67.0,city_46,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,2,0
1973.0,0.479,22.0,city_126,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Public Sector,1,0
17649.0,0.92,28.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,0
114.0,0.91,82.0,city_16,Male,Has relevent experience,no_enrollment,,,>20,50-99,Funded Startup,1,0
31189.0,0.55,42.0,city_11,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Public Sector,1,1
13258.0,0.698,3.0,city_76,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,Pvt Ltd,>4,0
22725.0,0.624,12.0,city_21,Male,No relevent experience,Full time course,Masters,STEM,4,,,never,0
16105.0,0.92,57.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,1,1
3301.0,0.91,146.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,0
6974.0,0.897,51.0,city_136,,No relevent experience,Full time course,Masters,STEM,8,,,1,0
26172.0,0.8959999999999999,44.0,city_50,,Has relevent experience,no_enrollment,Masters,STEM,17,,,never,0
12527.0,0.923,178.0,city_83,Other,Has relevent experience,no_enrollment,Masters,STEM,5,100-500,Pvt Ltd,1,0
24920.0,0.913,72.0,city_61,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,0
9107.0,0.743,30.0,city_116,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,0
18702.0,0.847,162.0,city_80,Male,No relevent experience,,,,2,,,never,0
31740.0,0.479,134.0,city_126,,Has relevent experience,Full time course,Masters,Other,>20,10/49,Funded Startup,2,0
15621.0,0.92,76.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,0
2391.0,0.92,32.0,city_160,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,2,0
24139.0,0.624,155.0,city_21,Male,Has relevent experience,no_enrollment,Masters,STEM,6,500-999,Pvt Ltd,2,1
13692.0,0.804,79.0,city_102,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,0
8577.0,0.878,102.0,city_173,,Has relevent experience,Part time course,Masters,STEM,17,1000-4999,Pvt Ltd,1,0
2893.0,0.925,47.0,city_89,Male,No relevent experience,Full time course,High School,,7,,Pvt Ltd,never,0
8640.0,0.92,136.0,city_103,,Has relevent experience,Part time course,Graduate,STEM,9,1000-4999,NGO,,1
13796.0,0.6659999999999999,86.0,city_64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,0
24179.0,0.624,34.0,city_21,Male,No relevent experience,Part time course,Phd,STEM,8,10/49,Pvt Ltd,4,0
33271.0,0.887,102.0,city_100,Male,Has relevent experience,no_enrollment,High School,,>20,,,1,1
4522.0,0.92,46.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,>4,0
29631.0,0.91,21.0,city_16,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,0
33065.0,0.624,102.0,city_21,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Pvt Ltd,never,1
17152.0,0.92,26.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10000+,Pvt Ltd,2,0
24183.0,0.923,61.0,city_83,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,,1,1
3485.0,0.92,178.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,100-500,Pvt Ltd,2,0
31803.0,0.92,112.0,city_103,,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,1
23079.0,0.91,67.0,city_16,Male,No relevent experience,no_enrollment,Masters,STEM,10,,,>4,0
31390.0,0.92,266.0,city_103,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,>4,0
