N1,N2,N3,N4,N5,N6,N7,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,label
24,2058.0,4,2,33,2,1,3,1,7,2,0,1,2,3,1,1,1,1,1,1
36,7855.0,4,2,25,2,1,3,1,4,2,0,0,2,3,2,1,1,1,1,0
12,7865.0,4,4,53,1,1,1,3,3,2,3,3,2,2,1,0,0,1,1,0
27,4526.0,4,2,32,2,2,3,1,3,3,2,3,2,3,2,1,3,1,1,1
24,4591.0,2,3,54,3,1,3,3,0,3,0,3,2,1,1,1,0,1,1,0
15,3029.0,2,2,33,1,1,3,3,9,2,1,3,2,0,1,1,1,0,1,1
24,4351.0,1,4,48,1,1,0,3,3,4,0,0,2,1,1,1,3,1,1,1
24,1024.0,4,4,48,1,1,1,2,6,2,2,2,2,3,2,1,1,0,1,0
9,1236.0,1,4,23,1,1,3,3,1,2,2,0,2,3,1,2,1,1,1,1
20,7057.0,3,4,36,2,2,0,2,9,4,1,3,2,1,0,2,0,1,1,1
27,2570.0,3,3,21,1,1,3,3,4,2,0,0,2,3,1,2,1,0,1,0
21,5003.0,1,4,29,2,1,3,4,4,4,0,0,2,1,0,1,1,1,1,0
30,6742.0,2,3,36,2,1,3,1,6,4,1,3,2,1,1,1,1,0,1,1
36,2323.0,4,4,24,1,1,0,3,6,2,1,3,2,0,1,2,1,0,1,1
24,1275.0,2,4,36,2,1,2,1,0,3,0,1,2,3,1,1,1,1,1,1
18,2238.0,2,1,25,2,1,3,1,6,2,0,0,2,0,1,1,1,0,1,1
24,2022.0,4,4,37,1,1,3,1,4,2,0,0,2,0,1,1,1,1,1,1
12,1922.0,4,2,37,1,1,0,3,3,2,0,3,2,1,1,1,3,0,1,0
24,3660.0,2,4,28,1,1,1,3,6,2,0,0,2,0,1,1,1,0,1,1
24,1851.0,4,2,33,2,1,3,1,6,2,1,2,1,0,1,1,1,1,1,1
6,1169.0,4,4,67,2,1,1,1,6,4,3,3,2,3,1,1,1,1,1,1
48,3566.0,4,2,30,1,1,0,0,0,0,1,3,2,0,1,1,1,0,1,1
30,6187.0,1,4,24,2,1,1,1,9,0,1,2,2,0,1,2,1,0,1,1
33,2764.0,2,2,26,2,1,3,2,0,2,0,0,2,0,1,1,1,1,1,1
12,1424.0,4,3,26,1,1,0,1,1,2,1,3,2,1,1,1,1,0,1,1
18,2622.0,4,4,34,1,1,0,3,0,0,0,3,2,0,1,1,1,0,1,1
12,2141.0,3,1,35,1,1,3,3,6,0,1,3,2,2,1,1,1,0,1,1
30,4811.0,2,4,24,1,1,3,3,9,4,1,0,2,1,2,2,3,0,1,1
13,882.0,4,4,23,2,1,0,1,6,2,2,3,1,3,1,1,1,0,1,1
15,1459.0,4,2,43,1,1,3,1,6,2,0,0,2,0,1,1,3,0,1,1
12,1155.0,3,3,40,2,1,0,3,6,2,3,2,1,3,0,1,3,0,1,1
24,1393.0,2,2,31,1,1,3,3,4,2,0,3,1,3,1,1,1,1,1,1
21,3976.0,2,3,35,1,1,0,3,3,4,1,3,2,0,1,1,1,1,1,1
15,2511.0,1,4,23,1,1,1,3,4,2,4,0,2,0,1,2,1,0,1,1
12,763.0,4,1,26,1,1,3,3,3,2,0,0,2,3,1,1,1,1,1,1
24,2333.0,4,2,29,1,1,0,2,3,4,2,3,2,1,0,1,3,0,1,1
24,1755.0,4,4,58,1,1,1,3,5,2,3,0,1,3,1,1,3,1,1,1
48,10961.0,1,2,27,2,1,0,3,6,3,1,3,0,2,0,1,1,1,1,0
12,1295.0,3,1,25,1,1,0,3,4,2,2,0,2,0,1,2,1,0,1,0
30,3077.0,3,2,40,2,2,3,1,6,4,3,3,2,0,1,1,1,1,1,1
18,1533.0,4,1,43,1,2,3,3,3,2,2,2,0,1,1,1,3,0,1,0
12,939.0,4,2,28,3,1,2,1,4,1,1,2,2,3,1,1,1,1,1,0
7,2415.0,3,2,34,1,1,0,3,6,2,0,3,1,3,1,1,1,0,1,1
24,915.0,4,2,29,1,1,1,3,4,4,3,0,2,0,0,1,1,0,1,0
48,12204.0,2,2,48,1,1,0,4,0,4,0,3,2,0,0,1,0,1,1,1
24,2303.0,4,1,45,1,1,1,3,4,2,3,3,0,3,1,1,1,0,1,0
18,1568.0,3,4,24,1,1,3,3,0,0,0,0,2,1,1,2,3,0,1,1
9,1199.0,4,4,67,2,1,0,3,2,2,1,0,2,1,1,1,0,1,1,1
9,1501.0,2,3,34,2,1,0,1,2,2,3,0,2,0,1,1,0,1,1,0
12,1884.0,4,4,39,1,1,3,3,4,2,3,3,2,0,1,1,0,1,1,1
6,4716.0,1,3,44,2,2,1,1,4,4,2,3,2,3,1,1,3,0,1,1
12,2331.0,1,4,49,1,1,3,1,6,4,3,3,0,3,1,1,1,1,1,1
36,3595.0,4,2,28,1,1,3,3,6,2,3,3,2,0,1,1,1,0,1,1
12,691.0,4,3,35,2,1,1,1,4,2,3,3,2,1,1,1,1,0,1,0
36,8086.0,2,4,42,4,1,0,2,4,0,3,3,2,0,1,1,0,1,1,0
30,4280.0,4,4,26,2,1,0,4,0,0,0,0,2,0,1,2,3,0,1,0
30,8386.0,2,2,49,1,1,0,1,3,2,1,3,2,1,1,1,1,0,1,0
9,654.0,4,3,28,1,1,1,3,4,2,0,3,2,0,1,1,3,0,1,0
12,900.0,4,2,23,1,1,1,3,4,4,0,2,2,0,1,1,1,0,1,0
18,3001.0,2,4,40,1,1,0,3,3,2,1,0,2,3,1,2,1,0,1,1
18,1795.0,3,4,48,2,1,0,1,6,2,3,0,1,3,0,2,3,1,1,1
36,2746.0,4,4,31,1,1,1,0,3,2,3,3,2,0,0,1,1,0,1,0
12,1484.0,2,1,25,1,1,0,3,6,4,0,2,2,3,1,1,1,1,1,0
12,3590.0,2,2,29,1,2,1,3,3,2,0,3,0,1,1,1,3,0,1,1
6,4611.0,1,4,32,1,1,3,3,3,2,2,0,2,1,1,1,1,0,1,0
18,1882.0,4,4,25,2,1,1,3,6,2,0,0,2,0,0,2,1,0,1,0
18,2051.0,4,1,33,1,1,3,3,6,2,2,3,2,3,1,1,1,0,1,1
9,959.0,1,2,29,1,1,0,3,3,2,0,0,2,0,1,1,1,0,0,0
9,1224.0,3,1,30,2,1,3,1,4,2,0,3,2,3,1,1,1,0,1,1
48,4308.0,3,4,24,1,1,1,3,0,2,2,0,2,1,1,2,1,0,1,0
14,802.0,4,2,27,2,1,3,2,4,2,0,3,2,0,1,1,3,0,1,1
15,3343.0,4,2,28,1,1,3,1,3,2,0,3,2,2,1,0,1,1,1,1
18,1113.0,4,4,26,1,2,0,3,6,2,0,0,1,3,1,1,3,0,1,1
6,860.0,1,4,39,2,1,1,1,4,2,3,0,2,2,1,1,1,1,1,1
27,2520.0,4,2,23,2,1,0,1,6,1,0,3,2,1,1,1,3,0,1,0
18,6458.0,2,4,39,2,2,3,0,4,2,3,3,2,2,0,1,0,1,1,0
45,1845.0,4,4,23,1,1,1,3,6,2,0,3,2,2,1,0,1,1,1,0
20,3485.0,2,4,44,2,1,3,1,4,4,2,1,2,3,1,1,1,1,1,1
12,1804.0,3,4,44,1,1,0,1,9,0,2,3,2,1,1,1,1,0,1,1
30,11998.0,1,1,34,1,1,1,3,7,2,2,1,2,2,1,1,3,1,1,0
24,7721.0,1,2,30,1,1,1,3,3,4,2,0,2,1,1,1,1,1,0,1
15,1300.0,4,4,45,1,2,3,3,9,4,3,3,2,2,0,0,1,0,1,1
24,1377.0,4,2,47,1,1,2,3,6,0,3,0,2,2,1,0,1,1,1,1
24,1381.0,4,2,35,1,1,1,3,4,4,0,0,2,1,1,1,1,0,1,0
12,1200.0,4,4,23,1,1,1,3,2,4,0,0,2,1,0,2,1,1,1,1
9,3577.0,1,2,26,1,2,3,3,4,0,0,3,1,3,1,2,1,0,0,1
18,3213.0,1,3,25,1,1,0,3,6,1,2,2,2,3,1,2,1,0,1,1
24,937.0,4,3,27,2,1,3,3,8,2,2,2,2,0,1,1,3,0,1,1
24,7814.0,3,3,38,1,1,3,3,9,2,1,3,2,0,1,1,0,1,1,1
9,5129.0,2,4,74,1,2,0,0,9,2,3,0,2,2,0,0,0,1,1,0
11,3905.0,2,2,36,2,2,1,1,4,2,0,3,2,3,1,2,1,0,1,1
18,3509.0,4,1,25,1,1,1,3,6,2,1,0,1,3,1,1,1,0,1,1
21,1188.0,2,4,39,1,2,0,3,0,2,3,0,2,1,1,1,1,0,1,0
30,5234.0,4,2,28,2,1,0,1,4,2,4,2,2,0,1,1,0,0,1,0
18,2775.0,2,2,31,2,1,3,1,4,2,1,3,2,1,0,1,1,0,1,0
18,6361.0,2,1,41,1,1,0,1,3,2,3,3,2,2,1,1,1,1,1,1
48,8858.0,2,1,35,2,1,3,1,9,4,1,3,2,2,1,0,1,1,1,1
24,2384.0,4,4,64,1,1,1,3,6,2,3,3,2,3,0,2,3,0,1,1
12,1037.0,3,4,39,1,1,0,3,0,0,1,3,2,3,1,1,3,0,1,1
30,3622.0,4,4,57,2,1,1,3,3,3,3,0,2,1,1,2,1,1,1,1
12,3331.0,2,4,42,1,1,3,1,3,2,3,3,2,1,2,1,1,0,1,1
10,1287.0,4,2,45,1,1,3,3,4,4,3,3,0,1,1,1,3,0,0,1
12,836.0,4,2,23,1,1,0,3,4,0,2,0,2,1,0,1,3,0,1,0
24,2255.0,4,1,54,1,1,3,3,4,4,2,3,2,1,1,1,1,0,1,1
15,1778.0,2,1,26,2,1,0,4,4,2,2,0,2,3,1,2,2,0,1,0
48,10127.0,2,2,44,1,1,3,1,4,1,0,3,2,2,0,0,1,0,1,0
24,2603.0,2,4,28,1,1,3,3,9,3,0,0,2,0,1,2,1,1,1,1
12,4675.0,1,4,20,1,1,3,3,9,4,2,0,2,0,1,2,1,0,1,1
21,2993.0,3,2,28,2,1,3,2,9,2,0,3,2,3,2,1,3,0,1,1
12,6468.0,2,1,52,1,1,0,3,6,4,4,3,2,2,1,1,0,1,1,0
12,4843.0,3,4,43,2,1,1,1,4,2,3,3,0,1,1,2,1,1,1,0
18,1984.0,4,4,47,2,1,3,3,3,2,0,3,2,2,0,0,1,0,1,1
18,2278.0,3,3,28,2,1,0,4,4,0,2,0,2,0,1,1,1,0,1,0
15,874.0,4,1,24,1,1,3,3,1,4,2,0,2,3,1,1,1,0,1,1
24,1246.0,4,2,23,1,1,0,3,4,2,2,3,2,3,2,1,3,0,1,0
18,3966.0,1,4,33,3,1,1,1,4,2,3,0,2,3,0,2,1,1,1,0
15,960.0,3,2,30,2,1,3,2,3,3,1,0,2,1,1,1,1,0,1,1
15,2631.0,3,2,25,1,1,0,3,7,0,0,0,2,3,1,1,3,0,1,1
15,1271.0,3,4,39,2,1,2,1,6,4,0,3,2,2,1,0,1,1,1,0
36,2337.0,4,4,36,1,1,0,1,6,2,3,3,2,3,1,1,1,0,1,1
10,1364.0,2,4,64,1,1,3,3,4,2,0,0,2,0,1,1,1,1,1,1
9,2753.0,3,4,35,1,1,3,3,6,0,3,3,0,0,1,1,1,1,1,1
24,2910.0,2,1,34,1,1,1,3,9,2,1,3,2,2,1,0,0,1,1,1
9,1391.0,2,1,27,1,1,0,3,0,2,0,2,2,3,0,1,1,1,1,1
24,5507.0,3,4,44,2,1,3,1,7,2,3,3,2,2,1,0,1,0,1,1
12,1574.0,4,2,50,1,1,3,3,3,2,0,3,2,3,1,1,1,0,1,1
24,2325.0,2,3,32,1,1,1,0,4,0,1,3,2,0,0,1,1,0,1,1
30,1908.0,4,4,66,1,1,2,2,0,2,3,3,2,3,1,1,0,1,1,0
24,2996.0,2,4,20,1,1,1,3,3,4,0,2,2,0,1,1,1,0,1,0
24,1546.0,4,4,24,1,1,1,0,6,2,1,3,1,0,0,2,3,0,1,0
24,2439.0,4,4,35,1,1,1,3,6,2,2,0,2,3,1,1,1,1,1,0
24,6842.0,2,4,46,2,2,3,1,9,4,0,3,2,1,1,1,0,1,1,1
24,2039.0,1,1,22,1,1,0,3,6,2,2,2,2,1,1,1,1,1,1,0
9,1288.0,3,4,48,2,2,1,1,7,0,3,3,1,3,1,1,1,0,0,1
5,3448.0,1,4,74,1,1,3,3,0,2,1,3,2,3,1,1,3,0,1,1
12,1386.0,2,2,26,1,1,3,3,4,1,0,0,2,1,1,1,1,0,1,0
18,1190.0,2,4,55,3,2,1,1,7,2,4,0,2,2,1,0,2,0,1,0
12,2292.0,4,2,42,2,1,3,1,0,2,4,3,2,0,2,1,0,1,1,0
24,5152.0,4,2,25,1,1,2,3,6,2,1,3,2,0,0,1,1,0,1,1
18,4380.0,3,4,35,1,2,1,3,4,0,0,3,2,0,1,1,3,1,1,1
12,1592.0,3,2,35,1,1,3,1,3,3,1,0,2,1,1,1,1,0,0,1
24,7393.0,1,4,43,1,2,3,3,4,2,0,3,2,1,1,1,3,0,1,1
12,618.0,4,4,56,1,1,3,1,6,2,3,3,2,3,1,1,1,0,1,1
12,1163.0,4,4,44,1,1,3,1,4,1,0,3,2,3,1,1,1,1,1,1
18,2462.0,2,2,22,1,1,1,3,3,2,0,3,2,0,1,1,1,0,1,0
21,1647.0,4,2,40,2,2,1,0,4,4,0,3,2,1,1,1,3,0,1,0
6,932.0,3,2,24,1,1,3,2,6,2,0,0,2,3,1,1,1,0,1,1
24,6314.0,4,2,27,2,1,3,1,5,2,4,3,0,2,0,1,0,1,1,1
11,1322.0,4,4,40,2,1,0,1,4,3,0,0,2,0,1,1,1,0,1,1
12,1258.0,2,4,22,2,1,3,1,3,2,2,0,2,1,1,2,3,0,1,1
12,2859.0,4,4,38,1,1,3,3,4,4,4,3,2,2,1,1,0,1,1,1
18,1056.0,3,3,30,2,1,0,1,4,2,3,3,1,3,0,1,1,0,1,0
24,5103.0,3,3,47,3,1,3,1,6,2,2,2,2,2,1,0,1,1,1,1
24,3552.0,3,4,27,1,1,1,0,3,2,1,3,2,0,0,1,1,0,1,0
36,3620.0,1,2,37,1,2,1,3,3,2,0,3,1,1,1,1,1,0,1,1
9,936.0,4,2,52,2,1,3,1,2,1,3,3,2,0,1,1,1,1,1,1
6,2116.0,2,2,41,1,1,2,3,3,2,0,3,2,3,1,1,1,1,1,1
6,1323.0,2,4,28,2,2,2,1,4,0,3,1,2,0,1,1,1,1,1,1
18,1098.0,4,4,65,2,1,3,1,6,2,4,0,2,0,1,1,2,0,1,1
48,6143.0,4,4,58,2,1,1,1,9,2,3,0,2,2,2,0,3,0,1,0
6,338.0,4,4,52,2,1,1,1,6,1,3,3,2,0,1,1,1,0,1,1
15,1444.0,4,1,23,1,1,0,3,6,4,2,3,2,1,1,1,1,0,1,1
24,3149.0,4,1,22,1,1,1,3,3,2,2,3,2,2,0,0,1,0,1,1
12,1274.0,3,1,37,1,1,1,3,4,2,2,0,2,3,1,1,3,0,1,0
24,2718.0,3,4,20,1,1,0,3,4,2,0,0,2,1,1,2,3,1,1,0
18,1049.0,4,4,21,1,1,1,1,3,2,2,0,2,1,1,2,1,0,1,1
18,1169.0,4,3,29,2,1,3,1,6,4,0,3,2,1,1,1,1,1,1,1
24,1474.0,4,3,33,1,1,3,3,4,0,2,2,2,3,1,1,1,1,1,1
12,3499.0,3,2,29,2,1,1,1,4,2,0,0,0,3,1,1,1,0,1,0
12,1228.0,4,2,24,1,1,1,3,4,2,0,0,2,3,1,1,3,0,1,0
30,2503.0,4,2,41,2,1,0,2,0,0,3,3,2,1,2,1,1,0,1,1
10,2146.0,1,3,23,2,1,3,1,3,2,2,0,2,3,1,2,1,0,1,1
12,1409.0,4,3,54,1,1,1,1,9,2,3,3,2,3,1,1,1,0,1,1
6,662.0,3,4,41,1,2,1,3,4,2,2,3,2,3,1,1,3,1,1,1
21,12680.0,4,4,30,1,1,3,1,4,4,3,3,2,2,1,0,0,1,1,0
36,1953.0,4,4,61,1,1,0,4,0,2,3,3,2,2,1,0,0,1,1,0
30,3017.0,4,4,47,1,1,2,1,6,2,3,3,2,1,1,1,1,0,1,1
24,1837.0,4,4,34,1,1,0,0,2,2,1,0,2,2,0,0,3,0,1,0
6,932.0,1,3,39,2,1,0,1,8,4,1,0,2,1,1,1,3,0,1,1
24,1559.0,4,4,50,1,1,3,0,0,2,1,3,2,0,0,1,1,1,1,1
48,4844.0,3,2,33,1,1,3,3,0,2,4,3,2,0,0,2,0,1,1,0
72,5595.0,2,2,24,1,1,0,3,6,0,0,2,2,0,1,1,1,0,1,0
12,1495.0,4,1,38,2,2,3,1,4,2,3,3,2,3,1,1,3,0,1,1
27,5117.0,3,4,26,2,1,3,2,0,2,1,3,2,0,1,1,1,0,1,1
18,3190.0,2,2,24,1,1,1,3,6,2,0,0,2,3,1,1,1,0,1,0
48,6224.0,4,4,50,1,1,0,2,2,2,3,3,2,2,1,0,1,0,1,0
33,4281.0,1,4,23,2,1,1,1,3,1,0,0,2,0,1,1,1,0,1,0
12,1680.0,3,1,35,1,1,1,3,6,1,3,2,2,3,1,1,1,0,1,1
10,1048.0,4,4,23,1,1,0,0,6,2,0,3,2,3,2,1,3,0,1,1
30,8072.0,2,3,25,3,1,1,4,0,4,2,3,2,0,0,1,1,0,1,1
6,1374.0,1,2,36,1,1,1,3,3,2,0,3,2,3,0,1,3,1,1,1
21,2353.0,1,4,47,2,1,0,2,4,2,0,1,2,1,1,1,1,0,1,1
36,3446.0,4,2,42,1,2,1,3,3,2,3,3,2,0,1,1,1,0,1,0
18,2473.0,4,1,25,1,1,1,3,3,2,4,3,2,0,1,1,2,0,1,0
15,3556.0,3,2,29,1,1,3,3,4,4,0,3,2,2,1,1,1,0,1,1
6,1374.0,4,3,75,1,1,1,3,4,4,4,0,2,1,1,1,0,1,1,1
24,1925.0,2,2,26,1,1,2,3,3,2,0,3,2,3,1,1,1,0,1,1
48,8487.0,1,2,24,1,1,0,3,4,4,1,0,2,0,1,1,1,0,1,1
11,3939.0,1,2,40,2,2,1,1,4,2,0,3,2,3,1,1,3,0,1,1
36,3535.0,4,4,37,2,1,3,1,4,2,1,3,2,0,1,1,1,1,1,1
21,571.0,4,4,65,2,1,1,1,4,2,3,3,2,3,1,1,1,0,1,1
18,3780.0,3,2,35,2,1,3,1,3,2,2,1,2,0,1,1,0,1,1,1
21,3160.0,4,3,41,1,1,3,3,6,4,3,3,2,1,1,1,1,1,1,1
24,2538.0,4,4,47,2,2,3,2,4,2,3,3,2,0,1,1,3,0,1,0
24,6579.0,4,2,29,1,1,1,3,9,2,4,3,2,2,1,0,0,1,1,1
48,6999.0,1,1,34,2,1,1,3,6,2,1,2,1,3,1,1,1,1,1,0
12,1995.0,4,1,27,1,1,0,1,4,0,2,3,2,0,1,1,1,0,1,1
12,717.0,4,4,52,3,1,3,1,6,2,3,3,2,3,1,1,1,0,1,1
36,3804.0,4,1,42,1,1,0,4,6,2,0,0,2,0,1,1,1,1,1,0
12,1223.0,1,1,46,2,1,0,3,4,2,3,1,2,3,1,2,1,0,1,0
12,2171.0,4,4,38,2,1,1,1,4,2,0,3,2,1,0,1,3,0,0,1
27,8613.0,2,2,27,2,1,3,2,9,3,0,3,2,0,1,1,1,0,1,1
12,2246.0,3,3,60,2,1,1,1,3,2,3,3,2,1,1,1,1,0,1,0
24,3757.0,4,4,62,1,1,3,3,4,2,3,0,0,2,1,0,1,1,1,1
24,1193.0,1,4,29,2,1,1,0,4,2,4,0,0,2,1,2,2,0,1,0
7,846.0,3,4,36,1,1,3,2,6,4,3,3,2,2,1,0,1,0,1,1
18,1453.0,3,1,26,1,1,3,3,6,2,2,0,2,3,1,1,1,0,1,1
26,7966.0,2,3,30,2,1,0,3,9,2,2,3,2,0,1,1,1,0,1,1
12,640.0,4,2,49,1,1,3,3,4,2,0,1,2,3,1,1,3,0,1,1
12,2578.0,3,4,55,1,1,1,3,3,2,4,0,2,2,1,0,0,0,1,1
12,841.0,2,4,23,1,1,0,3,0,0,1,0,2,3,1,2,3,0,1,1
9,2406.0,2,3,31,1,1,3,1,3,2,4,3,2,0,1,1,0,0,1,1
36,1977.0,4,4,40,1,1,1,3,2,4,3,3,2,2,1,1,0,1,1,0
18,433.0,3,4,22,1,1,3,3,6,2,4,0,0,3,1,2,1,0,1,0
24,12579.0,4,2,44,1,1,0,3,9,2,3,0,2,2,1,0,0,1,1,0
12,409.0,3,3,42,2,1,2,0,6,3,0,0,2,3,1,2,1,0,1,1
36,4455.0,2,2,30,2,1,0,2,0,2,0,1,2,3,2,1,0,1,1,0
9,3832.0,1,4,64,1,1,3,3,2,4,3,3,2,3,1,1,3,0,1,1
24,2896.0,2,1,29,1,1,0,3,6,0,2,3,2,0,1,1,1,0,1,1
6,1047.0,2,4,50,1,1,2,1,2,2,0,0,2,1,1,1,3,0,1,1
24,1940.0,4,4,60,1,1,3,1,4,3,3,3,2,3,1,1,1,1,1,1
6,1237.0,1,1,27,2,1,3,1,6,0,0,0,2,1,1,1,1,0,1,1
24,1311.0,4,3,26,1,1,3,3,6,0,1,2,2,1,1,1,1,1,1,1
9,1437.0,2,3,29,1,1,0,0,4,0,1,3,2,2,1,1,1,0,1,0
12,3447.0,4,3,35,1,2,3,0,8,1,0,0,2,3,1,1,3,0,1,1
24,929.0,4,2,31,1,1,3,3,3,4,1,3,2,0,2,1,1,1,1,1
24,6967.0,4,4,36,1,1,0,2,0,0,1,3,2,0,1,2,0,1,1,1
18,3378.0,2,1,31,1,1,3,3,9,4,0,3,2,1,1,1,1,1,1,1
12,1402.0,3,4,37,1,1,3,1,3,1,1,0,2,0,1,2,1,1,1,1
10,1231.0,3,4,32,2,2,3,1,4,2,3,3,2,3,1,1,3,0,0,1
30,2831.0,4,2,33,1,1,3,1,6,2,0,0,2,0,1,1,1,1,1,1
12,1657.0,2,2,27,1,1,1,3,3,2,0,3,2,3,1,1,1,0,1,1
15,3643.0,1,4,27,2,1,1,2,3,2,3,0,2,1,1,1,3,0,1,1
12,1262.0,3,2,25,1,1,3,3,6,2,0,3,2,0,1,1,1,0,1,1
24,1278.0,4,1,36,1,1,3,3,6,2,3,3,2,3,1,1,0,1,1,1
11,1393.0,4,4,35,2,1,3,1,4,2,2,0,2,0,1,1,0,0,1,1
60,7408.0,4,2,24,1,1,0,3,4,0,2,0,2,1,1,1,0,0,1,0
42,4796.0,4,4,56,1,1,2,1,9,2,3,3,2,2,1,0,1,0,1,1
39,8588.0,4,2,45,1,1,3,3,9,0,3,3,2,0,1,1,0,1,1,1
18,1913.0,3,3,36,1,1,0,3,0,3,2,2,2,3,0,1,1,1,1,1
24,4139.0,3,3,27,2,1,3,1,0,0,0,3,2,1,1,1,3,1,1,1
15,1478.0,4,3,33,2,1,3,2,6,2,0,2,2,3,0,1,1,0,1,1
24,3062.0,4,3,32,1,1,3,3,3,1,3,3,2,2,1,2,1,1,1,1
36,10477.0,2,4,42,2,1,3,1,9,4,3,3,2,2,1,0,1,0,1,1
39,2569.0,4,4,24,1,1,3,3,9,1,0,3,2,0,1,1,1,0,1,1
18,1301.0,4,2,32,1,1,0,3,6,2,3,2,1,3,1,1,3,0,1,1
36,6948.0,2,2,35,1,1,0,3,9,2,0,3,2,0,1,2,0,1,1,1
24,1553.0,3,2,23,2,1,0,2,6,0,1,0,2,1,1,2,1,1,1,1
