V1,V2,V5,V7,V8,V10,V11,V16,V17,V18,V20,V21,V22,V23,V24,V26,V27,V28,V29,V30,V32,V33,V35,V36,V41,V42,V43,V45,V46,V50,V52,V53,V54,V59,V60,V61,V62,V63,V65,V67,V70,V71,V72,V73,V74,V75,V76,V77,V78,V80,V82,V85,V86,V87,V88,V91,V94,V95,V3,V4,V6,V9,V12,V13,V14,V15,V19,V25,V31,V34,V37,V38,V39,V40,V44,V47,V48,V49,V51,V55,V56,V57,V58,V64,V66,V68,V69,V79,V81,V83,V84,V89,V90,V92,V93,V96,V97,V98,V99,V100,label
0.0,2.0,0.49,0.0,1.0,1.0,46148.0,0.48,827.0,37.2,49.0,76.7,0.928,246.0,1.0,1.0,405.0,0.0,0.923,867.0,0.6,646.0,6499.0,0.867,1.0,7380.0,1.0,7.64,1.0,0.0,1.0,5.7,0.0,53408.0,6979.0,63.8,0.0,49.2,2.0,18427.0,7.0,3.0,6192.0,0.43,6085.0,0.0,64.0,79.3,4.0,1.0,5.74,44.6,4.27,3.0,513.0,0.0,0.0,5118.0,v1,v1,v3,v1,v2,v2,v1,v5,v2,v4,v2,v6,v3,v1,v5,v1,v1,v1,v2,v3,v4,v2,v1,v3,v2,v5,v2,v5,v4,v1,v1,v2,v1,v2,v1,v2,v2,v2,v2,v2,v1,v1,0
0.0,0.0,0.45,0.0,0.0,2.0,39839.0,0.37,856.0,33.4,32.0,75.6,0.934,229.0,4.0,0.0,409.0,0.0,0.921,707.0,0.61,606.0,3991.0,0.568,0.0,6402.0,0.0,7.85,3.0,2.0,3.0,4.32,0.0,53479.0,6285.0,51.1,1.0,30.8,1.0,20133.0,6.74,2.0,7091.0,0.25,6380.0,2.0,84.0,81.9,2.0,0.0,5.3,44.3,5.97,3.0,894.0,0.0,0.0,5529.0,v3,v2,v2,v3,v1,v2,v4,v2,v1,v4,v2,v3,v5,v2,v2,v1,v5,v1,v1,v2,v1,v5,v3,v1,v2,v1,v2,v3,v4,v2,v3,v3,v2,v2,v2,v1,v2,v2,v2,v4,v2,v2,0
1.0,3.0,0.34,0.0,0.0,0.0,42920.0,0.54,857.0,29.7,31.0,66.3,0.958,220.0,2.0,1.0,384.0,1.0,0.91,636.0,0.582,658.0,5212.0,0.471,1.0,5385.0,3.0,7.32,3.0,1.0,3.0,4.43,1.0,53582.0,5835.0,38.0,0.0,30.5,0.0,20348.0,6.64,0.0,6161.0,0.15,3069.0,1.0,69.0,80.6,5.0,0.0,3.65,56.3,5.92,3.0,485.0,2.0,1.0,5768.0,v3,v3,v3,v1,v3,v2,v5,v3,v2,v1,v2,v6,v3,v1,v3,v2,v5,v5,v2,v5,v3,v3,v2,v2,v2,v1,v1,v1,v1,v2,v1,v2,v1,v6,v2,v1,v2,v3,v3,v6,v2,v4,0
1.0,2.0,0.22,1.0,0.0,2.0,71934.0,0.43,272.0,30.4,49.0,70.1,0.864,269.0,3.0,1.0,432.0,4.0,0.931,743.0,0.445,594.0,6647.0,0.138,0.0,6101.0,1.0,7.65,3.0,1.0,1.0,6.75,1.0,57096.0,6896.0,41.5,1.0,29.7,2.0,20382.0,6.93,3.0,6971.0,0.15,3073.0,1.0,69.0,79.0,1.0,0.0,5.49,44.2,5.78,1.0,451.0,2.0,1.0,5575.0,v1,v4,v3,v3,v1,v1,v5,v1,v1,v1,v2,v3,v5,v3,v4,v2,v4,v2,v3,v1,v3,v4,v2,v1,v1,v2,v1,v3,v1,v1,v3,v2,v1,v4,v3,v2,v1,v1,v1,v3,v2,v3,1
0.0,4.0,0.05,1.0,2.0,1.0,87271.0,0.21,842.0,36.9,40.0,67.5,0.862,225.0,1.0,0.0,348.0,3.0,0.94,751.0,0.647,600.0,5112.0,0.509,1.0,5407.0,0.0,7.54,1.0,1.0,2.0,4.97,0.0,41381.0,6285.0,20.1,0.0,61.1,2.0,16255.0,7.31,1.0,6212.0,0.43,6440.0,1.0,63.0,83.9,2.0,0.0,6.32,58.7,3.36,2.0,472.0,2.0,1.0,5556.0,v5,v4,v2,v1,v1,v1,v5,v4,v1,v4,v2,v6,v3,v2,v3,v1,v5,v3,v3,v6,v1,v2,v3,v2,v2,v2,v1,v2,v1,v3,v4,v2,v1,v5,v2,v1,v2,v4,v1,v2,v2,v1,1
0.0,1.0,0.11,0.0,0.0,3.0,71935.0,0.1,887.0,33.9,41.0,84.4,0.945,238.0,4.0,0.0,474.0,1.0,0.916,865.0,0.661,600.0,4055.0,0.594,2.0,6217.0,1.0,7.34,1.0,0.0,2.0,6.94,1.0,53359.0,7038.0,58.0,0.0,38.4,1.0,17489.0,6.83,3.0,6525.0,0.15,2772.0,2.0,74.0,79.3,4.0,1.0,4.09,54.0,6.16,1.0,839.0,1.0,0.0,5087.0,v2,v4,v2,v2,v3,v1,v5,v3,v1,v2,v2,v2,v1,v1,v4,v1,v4,v3,v2,v3,v1,v4,v2,v1,v2,v5,v2,v5,v2,v5,v1,v1,v2,v4,v2,v2,v2,v1,v2,v4,v1,v2,1
1.0,4.0,0.18,1.0,1.0,1.0,94569.0,0.14,507.0,32.8,43.0,75.3,0.92,232.0,2.0,0.0,328.0,0.0,0.911,823.0,0.595,649.0,5084.0,0.172,3.0,6259.0,0.0,7.95,0.0,1.0,1.0,4.65,1.0,44917.0,6062.0,53.3,0.0,29.0,0.0,18429.0,6.45,1.0,6330.0,0.41,4356.0,0.0,80.0,79.0,3.0,0.0,5.58,46.8,4.3,1.0,482.0,1.0,1.0,5078.0,v2,v4,v2,v4,v3,v1,v2,v6,v1,v2,v1,v3,v4,v3,v4,v1,v3,v6,v2,v5,v4,v1,v2,v1,v2,v2,v2,v1,v3,v2,v4,v3,v2,v4,v2,v1,v1,v5,v1,v6,v2,v2,0
1.0,4.0,0.38,1.0,2.0,0.0,82487.0,0.4,867.0,33.2,65.0,66.5,0.911,245.0,1.0,1.0,462.0,1.0,0.909,706.0,0.631,599.0,5310.0,0.325,3.0,6000.0,0.0,7.88,2.0,0.0,0.0,7.29,1.0,53966.0,6400.0,31.9,0.0,61.2,2.0,23263.0,7.3,3.0,6827.0,0.62,2492.0,2.0,85.0,79.0,5.0,1.0,5.11,46.2,3.4,3.0,478.0,0.0,0.0,5825.0,v4,v2,v1,v1,v2,v2,v3,v3,v2,v4,v2,v1,v1,v2,v2,v1,v1,v3,v1,v6,v5,v4,v3,v2,v3,v4,v2,v3,v2,v5,v1,v2,v2,v1,v3,v1,v1,v5,v2,v1,v1,v3,1
0.0,1.0,0.25,1.0,0.0,2.0,74921.0,0.19,850.0,28.7,50.0,76.8,0.819,267.0,2.0,0.0,460.0,2.0,0.918,878.0,0.615,650.0,5247.0,0.183,3.0,6400.0,4.0,8.16,3.0,2.0,2.0,5.25,0.0,58056.0,5639.0,65.2,1.0,35.0,0.0,18303.0,5.57,0.0,6815.0,0.53,6507.0,1.0,65.0,79.7,3.0,1.0,5.82,44.7,5.02,0.0,490.0,1.0,0.0,5749.0,v5,v2,v2,v4,v3,v2,v5,v6,v1,v2,v1,v5,v1,v4,v1,v2,v4,v5,v2,v5,v4,v2,v1,v1,v3,v1,v2,v5,v1,v2,v1,v3,v1,v1,v2,v2,v1,v2,v2,v2,v2,v5,1
0.0,2.0,0.29,1.0,2.0,1.0,37153.0,0.55,869.0,31.1,38.0,80.5,0.934,280.0,3.0,1.0,468.0,3.0,0.927,877.0,0.627,616.0,4012.0,0.812,1.0,5778.0,2.0,7.8,0.0,1.0,3.0,4.85,1.0,68624.0,6350.0,44.3,1.0,32.5,2.0,16076.0,6.95,0.0,7339.0,0.29,5233.0,0.0,66.0,80.2,5.0,1.0,6.48,54.8,5.31,1.0,441.0,0.0,1.0,5535.0,v5,v4,v1,v3,v2,v2,v4,v3,v2,v4,v1,v4,v1,v4,v1,v2,v3,v4,v2,v2,v2,v1,v3,v1,v2,v3,v1,v1,v3,v5,v2,v2,v1,v2,v3,v2,v1,v4,v3,v3,v1,v2,1
0.0,2.0,0.49,0.0,2.0,3.0,33553.0,0.51,835.0,34.4,60.0,69.8,0.872,255.0,2.0,1.0,313.0,2.0,0.929,826.0,0.528,640.0,6432.0,0.298,2.0,7267.0,3.0,8.02,2.0,1.0,1.0,3.81,0.0,55951.0,6293.0,83.1,0.0,60.1,1.0,16081.0,7.04,0.0,6099.0,0.28,3156.0,2.0,78.0,79.6,3.0,0.0,3.39,45.9,4.6,1.0,477.0,0.0,0.0,5160.0,v2,v2,v3,v2,v3,v2,v4,v6,v2,v2,v1,v4,v4,v2,v3,v1,v3,v2,v1,v6,v5,v5,v4,v1,v3,v1,v1,v3,v1,v3,v2,v2,v1,v6,v3,v2,v1,v5,v1,v6,v2,v4,0
0.0,4.0,0.48,0.0,3.0,1.0,32382.0,0.37,840.0,31.3,28.0,74.2,0.93,261.0,0.0,1.0,479.0,2.0,0.941,553.0,0.575,594.0,5275.0,0.157,3.0,6579.0,0.0,8.29,0.0,0.0,0.0,4.25,1.0,68598.0,6329.0,33.2,1.0,49.1,2.0,18547.0,6.61,2.0,6819.0,0.15,4074.0,0.0,85.0,81.4,3.0,0.0,5.41,46.4,3.96,0.0,423.0,1.0,0.0,5555.0,v2,v4,v1,v1,v2,v2,v3,v4,v1,v2,v1,v1,v2,v2,v5,v1,v4,v5,v3,v3,v5,v2,v3,v3,v2,v1,v1,v5,v4,v1,v4,v2,v2,v2,v3,v1,v1,v1,v2,v3,v1,v1,1
1.0,0.0,0.22,0.0,1.0,3.0,71965.0,0.32,828.0,32.8,50.0,71.7,0.928,194.0,1.0,0.0,474.0,4.0,0.911,819.0,0.626,648.0,4003.0,0.451,2.0,6922.0,3.0,8.81,1.0,2.0,1.0,6.93,1.0,41602.0,6261.0,17.4,1.0,29.6,2.0,14461.0,7.33,0.0,6862.0,0.48,7707.0,2.0,64.0,79.3,4.0,1.0,4.82,52.8,7.92,1.0,909.0,1.0,1.0,5204.0,v4,v1,v2,v2,v1,v2,v4,v5,v2,v3,v1,v4,v4,v2,v5,v2,v3,v6,v3,v1,v3,v5,v4,v1,v3,v4,v1,v4,v1,v1,v2,v3,v1,v1,v2,v1,v2,v1,v3,v4,v2,v2,0
1.0,4.0,0.22,1.0,0.0,1.0,32509.0,0.09,883.0,33.4,27.0,78.0,0.954,197.0,4.0,0.0,437.0,0.0,0.912,624.0,0.608,619.0,4240.0,0.788,0.0,6002.0,2.0,7.53,0.0,0.0,0.0,4.83,0.0,53460.0,5675.0,52.0,1.0,30.5,1.0,22252.0,6.65,2.0,5971.0,0.62,8050.0,2.0,91.0,81.6,5.0,1.0,6.27,43.6,7.54,1.0,361.0,2.0,0.0,5112.0,v4,v4,v2,v3,v1,v2,v2,v1,v2,v2,v2,v5,v1,v1,v1,v2,v2,v1,v2,v4,v4,v1,v4,v1,v2,v3,v1,v5,v3,v2,v1,v1,v1,v6,v2,v2,v2,v3,v2,v3,v2,v4,0
0.0,3.0,0.47,0.0,2.0,2.0,83274.0,0.37,904.0,37.2,54.0,72.3,0.945,251.0,3.0,1.0,478.0,3.0,0.932,760.0,0.665,654.0,5327.0,0.448,2.0,6217.0,3.0,7.8,1.0,1.0,0.0,5.05,1.0,52515.0,6348.0,38.2,0.0,38.1,2.0,22731.0,6.94,1.0,6664.0,0.15,4309.0,0.0,80.0,79.7,4.0,0.0,4.13,53.7,3.56,0.0,910.0,0.0,1.0,5433.0,v5,v3,v2,v2,v3,v2,v1,v2,v1,v3,v2,v5,v4,v4,v5,v1,v3,v1,v1,v4,v5,v1,v3,v3,v2,v2,v2,v5,v1,v2,v4,v3,v2,v6,v2,v2,v1,v3,v2,v4,v1,v1,1
1.0,3.0,0.36,1.0,1.0,3.0,35646.0,0.53,643.0,33.4,51.0,67.9,0.937,268.0,1.0,0.0,468.0,2.0,0.933,877.0,0.615,617.0,4008.0,0.573,3.0,7096.0,0.0,8.72,1.0,1.0,3.0,4.91,1.0,65210.0,6801.0,64.3,0.0,61.0,0.0,22078.0,5.58,3.0,6897.0,0.15,2713.0,2.0,93.0,79.3,1.0,1.0,3.62,54.3,7.58,3.0,440.0,2.0,0.0,5094.0,v2,v1,v3,v4,v1,v1,v4,v5,v1,v4,v1,v6,v1,v4,v3,v2,v3,v2,v1,v2,v1,v2,v1,v2,v3,v1,v2,v1,v2,v5,v3,v2,v1,v4,v1,v1,v1,v3,v1,v5,v1,v1,0
0.0,3.0,0.04,0.0,1.0,3.0,35656.0,0.28,822.0,33.5,60.0,84.2,0.906,264.0,0.0,0.0,427.0,1.0,0.922,835.0,0.47,619.0,5301.0,0.661,0.0,6402.0,2.0,7.91,3.0,1.0,2.0,6.06,1.0,54790.0,6320.0,45.5,0.0,29.8,2.0,19348.0,6.56,1.0,7289.0,0.68,2613.0,2.0,69.0,79.5,5.0,0.0,6.11,43.9,7.77,2.0,443.0,1.0,0.0,5207.0,v2,v4,v2,v1,v2,v2,v1,v4,v2,v4,v1,v1,v5,v2,v1,v1,v4,v4,v2,v3,v3,v3,v2,v2,v2,v3,v2,v5,v1,v5,v4,v1,v1,v4,v1,v2,v1,v3,v2,v5,v2,v1,0
0.0,1.0,0.23,0.0,1.0,0.0,39517.0,0.52,296.0,37.2,44.0,70.3,0.85,249.0,1.0,0.0,279.0,4.0,0.911,880.0,0.617,657.0,5320.0,0.904,2.0,6244.0,1.0,7.84,3.0,2.0,0.0,6.95,1.0,40720.0,6747.0,83.4,1.0,49.2,2.0,22554.0,6.89,0.0,5800.0,0.5,2420.0,1.0,78.0,83.5,5.0,0.0,5.44,46.5,4.6,3.0,383.0,1.0,1.0,5049.0,v6,v1,v1,v3,v1,v1,v2,v4,v1,v3,v2,v1,v1,v2,v2,v1,v1,v1,v3,v3,v4,v4,v2,v1,v2,v4,v1,v1,v1,v4,v4,v1,v2,v3,v2,v2,v2,v2,v3,v5,v2,v1,1
0.0,0.0,0.06,0.0,0.0,2.0,34628.0,0.23,333.0,36.4,50.0,84.9,0.92,247.0,2.0,1.0,424.0,0.0,0.913,687.0,0.615,660.0,5158.0,0.142,3.0,6334.0,0.0,7.37,2.0,1.0,1.0,3.89,1.0,64755.0,6241.0,20.9,1.0,29.5,0.0,17769.0,6.92,1.0,6059.0,0.63,3151.0,0.0,71.0,81.1,5.0,0.0,5.42,45.5,7.67,2.0,675.0,1.0,1.0,5309.0,v6,v3,v3,v2,v3,v1,v2,v2,v2,v2,v1,v1,v2,v3,v4,v1,v3,v4,v3,v6,v5,v3,v5,v2,v2,v2,v2,v5,v2,v1,v1,v1,v1,v1,v3,v1,v1,v2,v1,v2,v1,v3,0
0.0,4.0,0.36,0.0,3.0,2.0,31686.0,0.57,405.0,34.4,38.0,80.9,0.827,255.0,1.0,0.0,339.0,0.0,0.922,879.0,0.593,657.0,3974.0,0.678,2.0,5677.0,3.0,7.38,2.0,0.0,2.0,4.1,0.0,67927.0,6595.0,30.0,0.0,57.0,1.0,20233.0,6.65,0.0,6513.0,0.3,3069.0,0.0,77.0,79.7,2.0,0.0,4.59,44.8,4.01,0.0,617.0,2.0,1.0,5089.0,v5,v4,v1,v3,v3,v2,v3,v4,v2,v4,v1,v5,v5,v1,v1,v1,v1,v6,v2,v3,v3,v2,v5,v2,v1,v4,v1,v3,v4,v1,v4,v3,v1,v3,v1,v2,v2,v3,v2,v3,v1,v2,1
1.0,1.0,0.04,1.0,2.0,3.0,35642.0,0.17,752.0,31.9,39.0,69.4,0.922,192.0,1.0,1.0,467.0,0.0,0.941,814.0,0.624,602.0,5925.0,0.151,1.0,6254.0,2.0,7.45,3.0,0.0,2.0,7.28,0.0,54946.0,6502.0,21.8,1.0,32.0,1.0,16085.0,7.02,0.0,6057.0,0.47,2344.0,1.0,83.0,82.9,2.0,1.0,3.62,47.5,4.33,0.0,457.0,2.0,0.0,5551.0,v6,v4,v2,v3,v3,v1,v3,v4,v2,v3,v2,v2,v5,v4,v2,v2,v2,v2,v3,v3,v2,v5,v2,v3,v2,v1,v2,v3,v1,v4,v3,v3,v1,v4,v3,v1,v2,v1,v1,v6,v2,v3,1
1.0,3.0,0.04,0.0,2.0,0.0,83300.0,0.26,396.0,35.8,42.0,81.7,0.871,278.0,3.0,1.0,385.0,2.0,0.94,675.0,0.629,649.0,4055.0,0.251,3.0,5400.0,1.0,8.78,0.0,2.0,2.0,5.53,0.0,59443.0,6404.0,50.7,1.0,61.4,0.0,19567.0,6.82,1.0,7181.0,0.62,5462.0,1.0,76.0,82.7,2.0,0.0,5.43,64.1,5.6,1.0,477.0,0.0,1.0,5062.0,v6,v4,v2,v3,v2,v2,v1,v4,v2,v3,v2,v2,v5,v2,v4,v1,v4,v2,v2,v5,v2,v4,v1,v3,v1,v3,v2,v4,v2,v2,v2,v2,v1,v2,v2,v1,v2,v2,v1,v5,v2,v2,0
1.0,2.0,0.21,1.0,0.0,0.0,94644.0,0.2,453.0,33.4,45.0,73.3,0.92,274.0,3.0,1.0,300.0,3.0,0.93,878.0,0.586,646.0,5310.0,0.266,0.0,7335.0,3.0,8.83,1.0,2.0,0.0,5.98,1.0,59770.0,6376.0,49.0,0.0,31.4,0.0,17507.0,7.01,1.0,5869.0,0.35,2658.0,0.0,77.0,79.8,2.0,0.0,6.49,47.6,6.77,0.0,409.0,0.0,1.0,5603.0,v6,v1,v1,v3,v3,v1,v2,v1,v1,v2,v2,v3,v4,v2,v2,v2,v4,v1,v3,v2,v4,v1,v4,v1,v2,v5,v1,v4,v3,v3,v4,v3,v1,v4,v1,v2,v2,v4,v2,v2,v1,v5,0
1.0,1.0,0.06,0.0,3.0,0.0,37672.0,0.16,623.0,33.5,39.0,72.6,0.869,253.0,2.0,1.0,485.0,3.0,0.943,713.0,0.629,602.0,4034.0,0.732,2.0,6261.0,0.0,8.29,3.0,1.0,3.0,5.36,0.0,52917.0,6608.0,82.9,1.0,33.0,1.0,20354.0,6.33,2.0,6213.0,0.71,2955.0,1.0,86.0,79.6,2.0,0.0,5.32,45.1,4.27,1.0,473.0,2.0,1.0,5061.0,v2,v2,v1,v1,v1,v2,v3,v1,v2,v2,v1,v2,v4,v2,v2,v1,v5,v6,v2,v6,v3,v5,v4,v1,v2,v5,v1,v4,v2,v5,v3,v3,v2,v6,v2,v1,v1,v2,v3,v1,v1,v3,1
1.0,0.0,0.36,1.0,2.0,0.0,39469.0,0.18,538.0,33.9,41.0,71.5,0.894,265.0,4.0,1.0,325.0,2.0,0.936,651.0,0.535,600.0,4369.0,0.19,2.0,5761.0,2.0,7.72,3.0,1.0,1.0,3.7,1.0,53913.0,6102.0,75.6,1.0,35.4,2.0,18004.0,5.58,0.0,6904.0,0.36,2455.0,0.0,75.0,83.1,3.0,1.0,4.09,45.6,7.55,0.0,457.0,2.0,1.0,5946.0,v6,v3,v2,v3,v1,v2,v3,v5,v2,v4,v1,v3,v1,v1,v5,v2,v4,v3,v2,v4,v4,v5,v1,v3,v2,v5,v2,v5,v1,v5,v4,v2,v1,v1,v2,v1,v1,v4,v3,v1,v2,v5,0
1.0,4.0,0.38,1.0,2.0,3.0,72008.0,0.5,839.0,34.3,51.0,79.6,0.934,220.0,2.0,0.0,296.0,0.0,0.915,710.0,0.52,601.0,4044.0,0.522,3.0,6209.0,4.0,8.07,3.0,1.0,1.0,4.88,0.0,70783.0,6258.0,45.4,0.0,33.9,1.0,17373.0,5.58,2.0,6584.0,0.56,2281.0,2.0,68.0,79.8,3.0,0.0,5.41,57.5,3.67,3.0,384.0,1.0,1.0,5919.0,v6,v4,v2,v3,v2,v1,v3,v1,v2,v4,v1,v3,v2,v1,v2,v1,v3,v6,v2,v3,v4,v1,v2,v1,v2,v5,v1,v5,v2,v2,v4,v2,v1,v3,v2,v1,v2,v2,v2,v2,v1,v1,0
