Wifes_age,Number_of_children_ever_born,Wifes_education,Husbands_education,Wifes_religion,Wifes_now_working\%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,label
33.988337,3.0,4,4,0,1,1,4,0,1
33.910439,4.666886,3,4,1,0,1,1,0,0
45.664574,1.098058,3,4,1,1,1,1,0,0
21.13715,2.0,1,2,1,1,2,2,1,0
27.294762,-0.345129,3,4,1,1,2,3,0,0
29.68976,0.392502,1,2,1,1,2,3,0,0
34.15782,0.010007,1,4,1,1,3,1,1,0
31.236155,4.389036,4,4,1,1,2,4,0,1
40.429944,9.552455,1,1,1,1,2,3,1,1
29.177799,2.0,4,4,1,0,2,4,1,0
45.309468,3.621047,2,4,1,1,1,4,0,1
32.199707,3.864274,3,4,1,1,1,4,0,2
47.635681,7.545465,3,4,1,1,1,4,0,0
44.560704,4.283897,2,2,1,1,3,2,1,2
33.49721,0.714413,2,4,1,0,2,4,0,0
20.011072,2.0,4,4,1,1,3,3,0,0
36.864016,5.211585,4,4,0,0,3,4,0,2
48.374127,1.004371,2,2,0,1,2,4,0,0
24.819858,0.586245,2,1,1,1,2,3,0,0
36.71951,3.0,3,4,1,0,4,3,0,0
39.710852,5.727096,3,4,1,1,1,4,0,0
34.045664,4.182838,4,4,0,0,2,4,0,2
35.243692,3.946215,4,4,1,1,1,4,0,1
24.931555,3.0,2,3,1,0,3,2,0,2
44.879856,0.504633,4,4,1,1,1,3,0,0
42.768095,6.76715,2,3,1,1,2,1,1,0
36.129709,0.51445,3,3,0,1,2,3,0,0
21.564064,3.0,4,4,0,1,3,4,0,1
24.027878,3.0,4,4,1,1,1,3,0,2
23.394844,2.0,1,3,1,0,3,2,0,2
44.398923,3.0,3,3,1,0,3,3,0,1
44.678244,6.504689,3,4,1,1,2,2,0,2
38.413587,3.0,3,2,1,1,2,4,0,0
26.379246,2.0,3,4,1,1,1,4,0,0
30.021438,0.38645,4,4,1,0,3,3,0,1
30.573236,2.0,3,3,1,1,2,1,0,0
30.458439,8.80935,2,2,1,0,4,3,0,1
37.828111,6.532851,2,3,1,1,2,4,0,2
38.124735,4.219762,3,4,0,1,1,4,0,1
47.57767,3.0,3,4,1,1,3,4,0,2
35.157669,2.0,2,3,1,1,2,2,0,2
45.26859,-0.049096,2,4,1,1,2,4,0,0
43.386066,4.145806,2,3,1,1,2,4,0,0
45.161888,7.661115,3,1,1,1,3,3,0,0
25.97054,3.568355,4,3,1,1,1,2,0,0
23.460127,0.807727,4,4,1,1,2,3,0,0
25.703426,2.0,1,3,1,0,3,2,0,0
38.568042,0.308792,2,1,1,1,3,2,0,0
33.899119,5.119004,3,4,0,1,2,3,0,0
25.041015,3.584523,2,4,1,1,1,4,0,2
27.943873,2.0,3,3,1,0,3,4,0,0
40.402404,2.0,2,3,1,1,3,3,1,2
30.920362,0.416403,4,4,1,1,3,2,0,0
31.739432,4.576451,4,4,1,1,1,3,0,2
36.418847,2.0,3,3,1,1,2,4,0,2
20.659388,0.595229,3,4,1,1,3,4,0,0
31.752323,2.0,4,4,1,1,3,4,0,2
31.844471,5.909096,2,4,1,1,3,3,0,2
24.926797,4.800397,4,4,1,0,2,4,0,1
39.336075,3.0,4,4,0,1,3,4,0,1
42.212305,6.840222,4,4,0,0,1,3,0,0
31.431523,3.0,2,3,1,0,3,2,0,1
22.773007,1.315288,4,4,1,1,2,4,0,2
46.500301,4.446252,4,4,1,1,1,4,0,1
38.390779,3.0,4,4,1,1,1,4,0,1
40.77584,2.0,3,4,1,1,2,2,0,0
31.120298,6.920036,1,3,1,1,2,4,0,2
49.931434,2.0,4,4,1,0,1,4,0,0
37.11816,5.011177,1,4,1,1,3,1,1,0
26.093986,0.763396,1,4,1,1,3,4,1,0
26.183438,2.0,4,4,0,1,1,4,0,1
36.314747,3.0,4,3,1,0,3,4,0,1
43.767918,9.166076,3,4,1,1,1,4,0,0
31.833081,7.847974,4,4,0,1,3,4,0,1
26.423618,3.0,2,2,1,1,3,2,0,2
25.782023,1.324336,3,4,1,0,2,4,0,0
32.441841,3.0,3,3,1,0,2,1,0,2
26.119535,0.714104,4,4,1,1,3,4,0,0
28.50553,6.935621,4,4,1,1,3,4,0,1
19.87803,2.0,3,4,1,0,3,4,0,0
29.47837,2.0,3,3,1,1,2,3,0,1
30.228456,2.0,4,4,1,0,2,3,0,2
31.39763,2.0,3,4,1,0,1,4,0,2
47.88181,4.485324,2,2,1,1,3,1,0,0
50.994914,4.410078,3,4,1,1,2,3,0,2
38.102084,4.690955,3,4,1,0,1,4,0,1
26.144304,2.0,3,3,1,1,3,3,0,0
22.153311,1.275908,2,4,1,0,1,4,0,2
35.425812,4.215004,3,3,1,1,1,3,0,1
32.36814,2.0,4,4,1,1,1,4,0,0
22.854691,2.0,3,4,1,0,1,4,0,0
25.902582,1.131742,3,4,1,1,3,3,0,1
45.808511,8.290749,4,4,1,1,1,2,0,1
27.552324,4.386686,1,4,1,1,4,3,1,0
30.667466,4.97265,3,3,1,1,3,4,0,2
46.591349,6.659324,2,4,1,1,1,3,1,0
21.533615,1.092865,3,4,0,1,3,3,0,0
26.355087,2.0,1,1,1,1,2,1,0,0
21.236558,0.070245,3,3,0,1,4,4,0,2
31.205903,3.311245,3,2,0,1,2,4,0,2
39.046424,3.0,4,3,1,1,2,3,0,2
38.726549,3.0,1,3,1,1,2,3,1,0
36.554374,4.13468,4,4,1,1,2,4,0,1
39.312454,2.0,3,4,1,1,1,1,1,0
41.082552,6.489416,4,4,1,1,3,3,0,0
42.949941,5.665898,2,2,1,0,2,4,0,0
35.77845,3.0,3,3,1,0,3,2,0,2
36.31702,2.0,3,4,1,1,1,3,0,2
26.420997,3.0,2,2,1,1,3,3,0,0
31.920218,3.0,3,4,1,1,3,2,0,2
26.362322,3.0,2,3,1,1,3,3,0,0
26.217382,4.313246,1,2,1,0,3,4,0,2
48.677102,6.615497,3,3,1,0,2,2,0,1
47.57937,8.502556,4,2,1,1,3,1,0,0
46.377868,8.554512,3,2,1,1,3,2,0,0
23.824223,0.036757,3,3,1,0,2,4,0,0
31.050145,3.786773,4,4,1,0,2,4,0,0
36.420088,3.0,4,4,1,1,1,4,0,1
35.090678,3.0,3,4,1,1,2,4,1,1
36.235184,0.696622,2,3,1,0,2,4,0,0
48.824173,5.606217,3,4,1,1,1,2,0,1
41.660374,5.110973,4,4,0,1,2,3,0,1
26.04895,4.389256,2,2,1,1,3,3,1,2
25.60311,2.0,4,4,1,1,3,4,0,0
34.660665,2.0,3,4,1,1,3,4,0,2
30.012723,2.0,4,4,0,1,2,3,0,0
23.757306,0.494087,4,4,1,1,1,4,0,1
21.949849,0.976676,4,4,1,1,1,4,0,2
39.051491,3.0,4,4,1,1,3,4,0,1
36.136139,5.373217,2,3,1,0,1,3,0,0
36.881937,7.699321,1,4,1,1,3,4,0,2
28.409522,3.0,3,4,1,1,1,3,0,2
36.443176,3.0,4,4,1,1,2,4,0,1
21.642888,0.846218,4,4,1,1,1,4,0,1
31.435307,3.0,3,4,1,1,2,4,0,2
45.394741,3.561764,2,2,1,1,2,4,0,2
33.699221,4.514351,3,3,1,1,3,4,0,2
46.362608,4.354088,4,3,1,0,2,4,0,0
43.542698,8.628985,3,3,1,1,2,3,0,1
36.672935,3.0,2,3,1,1,3,3,0,2
37.954774,4.829898,1,3,1,1,2,4,1,0
25.53585,2.0,1,1,1,1,3,1,1,1
24.246432,1.222787,3,4,1,1,1,4,0,1
44.26741,5.837298,4,4,0,1,4,1,0,0
26.825206,2.0,4,4,0,1,1,4,0,1
30.619815,0.522047,1,4,1,1,3,3,0,0
30.934542,3.392514,4,4,0,0,3,4,0,2
37.865591,8.988209,4,4,1,0,3,4,0,0
27.956488,3.0,3,4,0,0,1,4,0,1
40.195611,3.0,2,4,1,1,2,3,0,2
26.899622,0.497264,3,3,1,1,3,4,1,0
34.862137,2.0,2,4,1,1,1,4,0,0
35.410475,7.40224,4,4,1,1,1,2,0,1
39.103386,3.0,4,4,1,1,1,3,0,2
38.423476,3.0,4,4,0,0,3,4,0,2
43.861315,4.484467,3,2,1,1,3,2,1,2
37.14353,4.258619,4,4,0,1,3,3,0,1
22.1117,2.0,2,3,1,1,3,2,0,2
33.898249,4.944185,2,3,1,1,3,4,0,2
42.530595,3.0,4,4,1,1,3,3,0,2
41.335069,4.439508,3,4,1,0,2,4,0,0
41.126839,3.0,4,4,1,0,1,4,0,1
29.061263,3.0,3,4,1,1,3,2,0,2
20.532102,1.641073,3,3,1,1,3,3,0,0
32.361267,3.0,3,4,1,1,4,4,0,0
42.544874,4.120626,4,3,0,0,3,2,0,1
33.391202,3.0,3,4,1,1,1,4,0,2
21.976546,0.985599,2,3,1,1,2,2,0,2
27.305454,1.477282,4,4,1,0,1,4,0,0
47.693928,4.719478,4,4,1,1,3,4,0,2
30.334467,3.922841,2,2,1,1,4,1,0,0
36.808903,2.0,4,4,1,1,1,3,1,2
36.432736,0.50109,1,4,1,1,1,4,0,0
30.929713,3.850353,3,2,1,0,2,2,0,2
41.943944,4.312196,2,3,1,0,2,1,0,0
26.036264,1.246531,4,4,1,1,3,4,0,2
20.041668,0.210079,3,4,1,0,3,4,0,2
47.521173,-0.262846,3,3,1,1,3,4,0,0
30.490251,3.0,4,4,1,1,1,3,0,2
29.668443,4.384353,1,1,1,0,2,3,1,0
37.664537,3.0,3,2,0,0,2,1,0,0
27.210421,4.782904,4,4,0,1,2,4,0,2
46.331808,11.178667,4,4,0,1,3,3,0,1
43.134472,0.429638,3,4,1,1,3,3,0,0
38.974309,4.149214,3,4,1,1,3,3,0,0
30.489326,4.235625,3,3,1,0,3,4,0,0
28.420839,1.425256,2,3,1,1,3,2,0,0
40.870421,4.879246,4,4,1,0,3,4,0,1
26.076981,3.0,4,4,1,0,1,3,0,0
38.215095,2.0,2,4,1,0,3,4,0,0
44.439196,3.607714,2,4,1,1,3,4,0,0
45.330401,8.632401,4,4,1,1,3,4,0,1
44.787256,6.91909,3,4,0,1,3,3,0,1
31.323608,3.0,3,4,1,0,2,3,0,2
30.066621,3.0,2,4,1,0,1,3,0,0
44.413864,4.855797,4,4,0,0,3,4,0,0
27.026915,4.646844,4,4,1,0,3,4,0,2
31.477877,2.0,4,4,0,0,3,2,1,2
40.536652,2.0,4,4,1,1,3,1,1,0
29.932233,3.0,4,4,1,1,2,4,0,1
25.536748,3.0,4,4,1,1,3,4,0,2
22.46945,1.017217,4,4,1,1,3,3,0,1
29.95672,4.592383,2,3,1,0,3,3,0,0
26.374656,1.119131,3,3,1,0,3,2,0,0
25.199584,0.394919,3,4,1,1,1,3,0,0
19.263652,1.109942,2,4,1,0,1,4,1,0
22.779586,3.0,4,4,1,1,2,2,0,2
25.406171,2.0,3,4,1,1,2,2,0,0
36.77271,4.928895,3,4,1,1,3,4,0,2
27.430772,3.0,1,3,1,1,2,2,0,0
30.889572,0.648072,3,3,0,1,2,4,0,0
29.626221,4.282986,4,4,1,1,1,4,0,1
38.15456,9.01778,3,3,1,1,2,2,0,0
49.075903,4.099313,4,4,1,0,1,3,0,1
24.945479,3.0,4,4,1,0,1,4,0,1
25.655597,0.268973,3,4,1,1,1,2,0,2
35.275373,2.0,3,3,1,0,2,2,0,2
24.35489,0.901866,3,3,1,1,3,4,0,2
46.929202,7.552422,2,4,1,1,1,2,0,2
25.733331,4.039069,3,3,1,1,3,4,0,2
19.799724,1.022921,4,4,1,1,1,2,0,0
42.571689,3.0,3,2,1,1,2,3,1,0
35.487601,4.260776,4,4,0,1,2,3,0,1
20.796342,2.0,2,2,1,1,3,1,0,0
21.234972,0.631556,2,2,1,1,2,1,0,2
24.160463,2.0,4,4,1,0,1,4,0,2
37.55458,7.469843,3,3,0,1,3,4,0,2
31.330535,4.514383,4,4,1,1,1,2,0,0
45.421504,0.038373,3,4,0,1,1,4,0,2
47.631132,4.790432,4,4,1,0,1,4,0,0
37.916514,1.115767,3,3,1,1,1,3,1,0
34.951855,2.0,3,4,1,0,2,3,0,2
29.402389,1.030891,4,4,1,1,1,4,0,0
27.063883,0.578529,3,4,1,1,2,3,0,0
34.23833,4.44615,4,4,0,0,2,4,0,1
36.465794,2.0,3,4,1,1,2,3,0,0
26.344274,2.0,2,3,1,1,2,4,0,0
35.063253,3.0,2,4,1,1,3,3,0,2
21.970413,0.540261,3,3,1,0,2,2,0,2
36.558179,4.753766,2,2,1,0,3,4,0,2
25.646209,2.0,4,4,1,1,1,4,0,2
21.093082,3.0,4,4,1,1,3,3,0,2
35.143467,4.398361,2,2,1,1,3,2,0,0
30.758157,3.0,3,4,1,1,3,4,0,0
30.339246,2.0,4,4,1,1,3,4,0,2
24.791499,4.072773,2,4,1,1,1,2,0,0
36.120173,3.0,4,3,1,1,3,1,0,2
37.462172,6.512919,2,1,0,1,2,3,0,1
25.798398,3.0,2,2,1,0,3,2,0,2
46.064377,7.213655,4,4,1,1,1,4,0,1
32.457663,4.48994,3,4,1,1,1,4,0,1
21.51489,2.0,3,2,1,0,3,2,0,0
26.368068,2.0,4,4,1,1,3,4,0,2
26.585811,0.487036,4,4,1,1,2,4,0,0
37.977678,6.711471,3,4,1,1,2,2,0,0
40.956239,0.14405,3,2,1,1,2,1,0,0
33.051677,3.0,4,4,1,1,1,4,0,1
46.843839,4.115215,3,2,1,1,3,2,0,0
30.466613,4.021277,3,3,1,1,3,3,0,2
30.513093,3.80979,4,4,0,1,2,4,0,1
22.331543,0.390973,2,4,1,1,3,4,0,2
26.282075,3.0,3,3,1,1,1,4,0,2
25.51316,2.0,1,2,1,1,3,4,1,0
37.496281,2.0,4,4,1,1,2,4,0,0
22.913168,2.0,3,2,1,1,3,2,0,2
18.921236,3.974186,1,2,1,1,3,1,1,0
46.411531,3.0,2,3,1,1,2,1,0,2
27.62744,8.307163,1,1,1,1,3,4,0,0
33.285055,2.0,3,3,1,1,3,1,0,0
30.298017,-0.158675,4,4,1,1,2,3,0,0
21.755701,1.055411,4,4,1,0,1,4,0,0
41.840409,6.742766,1,3,1,0,3,4,0,0
34.878997,7.073393,3,4,1,1,3,4,0,2
35.053339,2.0,4,4,1,1,2,4,0,2
46.911907,4.508744,4,4,0,1,2,4,0,0
42.128301,7.92339,3,3,1,1,2,1,0,1
28.02003,2.0,1,2,1,1,2,2,1,2
24.689721,4.665581,1,2,1,0,3,2,0,0
27.90123,1.219505,3,3,1,1,3,1,0,2
29.331393,4.457673,2,3,1,1,3,2,0,0
31.962315,2.0,4,4,1,1,4,3,0,1
20.875005,0.79132,4,4,0,1,3,4,0,2
32.52603,3.0,3,4,1,1,2,4,0,2
40.849655,7.274172,4,4,1,1,1,4,0,1
27.798929,0.273093,2,3,1,0,3,2,0,0
29.769145,3.0,3,4,1,1,2,4,0,2
28.273227,2.0,4,3,1,0,3,3,0,1
42.020907,9.552463,4,4,1,1,3,4,0,1
36.555049,3.0,1,3,1,1,3,3,1,1
48.155205,0.442721,2,3,1,0,2,3,0,0
22.483593,2.0,2,3,1,1,3,3,0,0
36.458044,2.0,3,4,1,1,1,4,0,0
34.588588,0.230389,2,4,1,1,3,4,0,0
38.947186,3.96974,2,3,1,0,3,2,0,0
45.259858,5.061033,4,4,0,1,2,4,0,1
24.114333,4.407047,3,2,1,0,2,3,0,0
46.003495,5.346982,2,2,1,0,3,3,0,1
43.077114,0.80138,2,3,1,1,3,4,0,0
26.960331,2.0,3,4,1,1,2,2,0,1
30.386254,3.0,3,3,0,1,1,3,0,1
35.937816,5.285488,4,4,1,1,2,4,0,2
27.567157,1.539032,3,3,1,0,3,1,0,0
21.17729,0.917679,4,4,0,0,1,4,0,0
28.510344,3.0,4,4,1,0,3,4,0,2
29.99109,4.54898,4,4,1,1,3,4,0,1
28.189294,2.0,4,4,0,1,2,2,0,2
34.528082,4.817497,3,4,1,1,1,4,0,2
36.702839,1.093193,4,4,1,0,3,4,0,0
21.76949,2.0,3,3,1,0,1,1,1,2
28.662314,2.0,2,4,1,1,3,4,0,2
49.517862,7.335222,4,4,0,0,1,4,0,0
49.795223,3.0,1,1,1,1,3,4,1,1
30.617147,4.509584,3,4,1,1,3,4,0,2
46.411498,9.208395,2,4,1,0,2,4,0,1
28.600591,3.97207,4,4,1,1,3,3,0,2
43.88426,4.63555,2,4,1,1,1,3,1,0
34.313374,3.0,2,2,1,1,3,1,0,0
32.119977,1.419025,2,4,1,1,3,4,0,0
25.479626,1.252773,4,4,1,1,2,4,0,2
27.077092,3.0,1,3,1,1,2,4,0,2
26.395035,3.0,3,4,1,1,2,4,0,0
36.959353,2.0,4,4,1,1,1,4,0,2
43.765131,4.556727,4,3,1,1,3,3,0,1
34.716025,6.031879,3,4,1,1,4,3,0,0
47.915243,3.643047,4,4,1,1,3,4,0,1
28.819156,3.0,1,2,1,1,3,3,0,2
47.513387,6.795796,4,4,1,0,2,2,0,1
22.593395,0.859709,4,4,1,1,2,2,0,0
44.782648,4.306231,3,4,1,0,2,4,0,0
26.539012,4.584008,4,4,1,0,1,4,0,1
30.817529,2.0,1,3,1,1,2,1,0,0
37.561874,4.083781,4,4,1,1,1,4,0,1
26.73384,3.0,1,4,1,1,3,4,0,2
43.403566,3.0,2,2,1,1,3,1,0,1
27.563625,3.708236,4,3,1,1,3,2,0,2
37.52214,2.0,3,4,1,1,1,4,1,0
33.046254,2.0,3,3,1,1,2,3,0,0
19.185045,2.0,3,4,1,0,3,4,0,2
27.230494,1.01154,3,4,1,0,1,4,0,2
26.538722,3.0,4,2,1,0,2,4,0,0
47.970002,4.486075,4,4,1,1,1,4,0,0
30.496395,3.0,3,4,1,0,1,4,0,2
20.216524,2.0,2,3,1,1,2,1,0,2
44.80414,2.0,4,4,0,0,1,4,0,1
23.451671,2.0,2,2,1,0,3,3,0,2
26.561646,2.0,3,4,1,1,3,4,0,2
24.450748,0.885436,4,4,1,0,1,2,0,0
45.571703,4.990265,2,4,1,1,2,2,1,2
48.126187,3.0,4,4,1,1,2,4,0,0
37.841798,8.130354,4,4,1,0,3,1,0,0
38.307572,3.0,4,4,1,0,1,4,0,1
27.994978,3.0,2,3,1,1,2,3,0,2
45.413967,4.262506,3,3,1,1,2,4,0,0
34.778896,4.014329,2,4,1,1,3,4,1,2
30.973246,3.0,2,2,1,1,3,2,1,2
19.495587,1.016325,4,4,1,0,3,3,0,2
44.51141,4.753815,3,4,1,1,3,3,0,1
24.362879,1.023214,4,4,1,0,1,3,0,1
35.958971,4.947773,4,4,1,1,1,4,0,0
21.822529,1.757067,3,4,1,0,3,4,0,2
32.055838,4.495287,3,3,1,0,2,2,0,2
31.44389,3.0,4,4,1,1,1,4,0,2
42.176318,9.147336,4,4,0,0,3,4,0,0
26.180337,3.0,4,4,1,1,1,4,0,1
23.656996,0.701056,1,3,1,0,3,3,0,0
40.760393,4.208851,1,1,1,1,3,2,0,1
38.639978,2.0,2,4,1,1,1,4,0,0
36.358709,3.987326,2,3,1,1,2,3,0,0
48.032353,8.552605,2,3,1,1,3,3,0,0
28.408654,-0.014785,3,3,1,1,1,3,0,0
31.024032,3.0,3,4,1,1,2,4,0,1
46.328421,3.0,4,4,1,0,1,3,0,1
45.402022,4.377297,2,3,1,1,3,3,0,0
37.779158,3.934959,2,3,1,0,2,2,0,0
37.866194,4.823878,2,4,1,0,1,4,1,2
47.240738,3.0,1,3,1,1,3,3,0,2
45.937432,3.0,1,3,1,0,3,3,0,0
38.507763,5.231924,2,2,1,1,3,3,0,0
38.825015,4.066021,2,3,1,0,3,1,0,2
22.223093,2.0,2,3,1,0,3,3,0,2
25.17716,2.0,2,4,1,0,2,4,0,2
23.284047,2.0,3,4,1,1,1,4,0,2
23.961727,2.0,2,1,1,0,2,3,0,0
34.003408,3.0,4,4,1,0,3,3,0,0
20.794731,1.609311,4,4,0,0,2,4,0,1
47.981096,7.19873,2,4,1,1,2,1,0,2
29.847073,1.221263,3,3,1,1,3,4,0,0
46.445007,8.105426,1,4,1,1,1,4,1,0
