WSR0,WSR1,WSR2,WSR3,WSR4,WSR5,WSR6,WSR7,WSR8,WSR9,WSR10,WSR11,WSR12,WSR13,WSR14,WSR15,WSR16,WSR17,WSR18,WSR19,WSR20,WSR21,WSR22,WSR23,WSR_PK,WSR_AV,T85,RH85,T70,RH70,T50,RH50,HT50,SLP,SLP_,Precp,label
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12.6,0.31,3.8,0.48,-13.4,0.05,5735,10130,45,0,0
2.2,1.7,0.8,3.8,4,4.1,2,1.9,1.8,2.9,3.1,2,2.8,2.6,1.6,0.6,1,2.8,2.4,1.5,1.4,1.5,1,0.4,4.1,2.1,16.9,0.85,8.4,0.7,-8.8,0.45,5865,10150,50,3.33,1
2.3,1.3,0.3,0.5,0.4,0.5,0.5,2.1,3.1,3.8,4.8,4.8,4.5,3.9,3.9,4.6,4.5,4.5,2.2,0.4,0.4,0.2,0.1,0.1,4.8,2.3,12.4,0.4,6.3,0.13,-10.7,0.07,5745,10090,30,0,0
2.4,1.8,1.3,1.3,1.4,1.4,2,2.8,3.5,3.4,3.2,2.4,1.6,1.9,2.2,2.5,2.2,2.5,3.3,3.4,2.7,2.3,2.7,1.9,3.5,2.3,19.7,?,8.7,?,-5.5,?,5915,10155,-15,0,0
1.8,1.2,1,1,1.1,1.1,1.6,2.2,2.4,2,2.1,2.1,2.1,2.5,1.9,1.6,2.1,2.1,1.2,2,2,1,0.7,0.4,2.5,1.6,11.7,0.6,3.8,0.17,-13.1,0.03,5820,10210,85,0,0
2,1.8,1.7,2.1,2.4,2.1,2.6,4.1,3.7,3.9,4.2,4.2,4,4.2,4.3,4.6,4.5,4.3,4.8,4.4,3.2,2.6,2.2,1.7,4.8,3.3,?,?,?,?,?,?,?,?,?,0,0
0.8,0.8,?,0.2,0.3,0.4,0.1,1.4,2.4,2.7,1.7,1.5,1.6,1,3.4,2.6,2.8,3.4,1.7,1.1,1.1,1.2,0.8,0.6,3.4,1.5,18.1,0.7,9.1,0.67,-6.7,0.29,5905,10150,10,0.08,0
0.4,0.3,0.1,0.1,0.2,0.3,0.6,1.1,2.1,3.2,4.8,4.9,5.1,4.6,5,4.9,4.6,3.7,2.7,1.7,1.6,1.6,0.2,0.1,5.1,2.2,1.9,0.2,-9.9,0.28,-20.4,0.17,5555,10155,10,0,0
2.8,2.4,2.1,1.9,1.6,1.7,1.9,3,3.9,3.9,4,3.9,3.9,4,4.4,4.2,4.7,3.8,3.1,2.8,2.1,1.6,2.5,2.7,4.7,3,13.7,0.12,7.5,0.03,-8.7,0.08,5905,10250,0,0,0
1.7,1.7,1.3,1.1,1.7,2.5,3,3.2,1.6,0.1,0.8,0.9,1.3,0.3,1,0.8,1.6,1.9,1.6,1,1.3,1.1,0.6,0.8,3.2,1.4,?,?,?,?,?,?,?,?,?,1.5,0
?,?,?,?,?,?,?,?,3.8,6.1,6,6.4,6,6.1,6.2,5.1,6,4.5,3.7,2.9,?,?,?,?,6.4,5.2,5.7,0.48,-2.9,0.14,-20.6,0.06,5575,10095,120,0.18,0
0.5,1.1,0.5,0.4,0.3,1,1.2,1.7,2.5,3.2,3.9,4.5,4.3,4.2,4.4,3.2,2.5,2.1,2.1,1.4,1.3,1.3,1,0.7,4.5,2.1,?,?,?,?,?,?,?,?,?,0,0
2.6,1.9,2,1,1.2,0.2,0.3,0.7,2.4,4.2,4.6,4.6,5.1,5.5,4.2,2.9,4.7,3.6,2.8,3.6,3,2.9,2.3,1.8,5.5,2.8,12.1,0.74,2.5,0.64,-13.3,0.55,5765,10150,-30,0.61,0
0.8,1.6,3.5,3.3,3.5,4.6,5.1,4.4,4.6,3.4,3.8,4.1,5,5.2,4,3.7,3.4,3.3,1.8,1.2,2.8,3.4,2.1,1.9,5.2,3.4,14.8,0.76,3.3,0.45,-14.8,0.54,5720,10070,-30,0,0
0.3,0.4,0.1,0.3,0.6,0.9,1.4,1.8,2.1,2.7,3,2.2,2.2,3.6,4.8,4.4,2.3,2.3,2.6,2.1,2.1,1.9,1.4,1.1,4.8,1.9,15.5,0.65,7.9,0.39,-8.3,0.43,5890,10175,-20,0.18,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.7,0.85,8.1,0.12,-6.7,0.07,5800,10110,-45,0.28,0
6.5,6,5.6,4.6,4.6,4.9,3.5,3.4,3.2,3.8,3.5,3,3,2.6,3,3.4,3.7,3.2,2.7,2.4,2.2,1.8,2.6,3.4,6.5,3.6,6.1,0.59,3.5,0.12,-15.1,0.11,5670,10145,45,0,0
0.3,0.2,0.1,1,0.4,1,1.2,1.7,2.3,3.5,4,4.1,4.3,4.5,4.9,4.7,5.2,4.9,4.4,4.6,3.6,2.8,3.4,3.6,5.2,2.9,-0.25,0.06,-0.35,0.03,-16.4,0.2,5700,10295,25,0,0
1.9,2.5,0.8,0.3,0.4,0.7,1,2.2,2.3,3.9,3.9,4.2,4.1,4.8,4.3,4,2.8,2.7,2.8,2.3,1.9,2.3,2.1,1.5,4.8,2.5,?,?,?,?,?,?,?,?,?,0,0
0.1,0.7,0.2,0.1,0,0.4,0.2,0.6,0.8,1,0.6,0.8,2.1,2.1,2.3,2,2.2,1.7,1.5,1.5,1.3,1.4,1.3,1.3,2.3,1.1,17.1,0.86,10.2,0.52,-5.1,0.22,5910,10145,-5,0.05,0
3.1,2.8,2.5,2.5,2.9,3,3,3.5,4.6,5,4.6,5.4,5.1,4.8,5.3,4.8,4.7,4.6,5.2,5.3,4.5,4.4,4.2,4.6,5.4,4.2,17.6,0.74,8.8,0.75,-6.7,0.55,5860,10120,-15,0,0
1.6,1.3,0.8,0.7,0.8,0.1,0.4,0.8,2.2,2.6,2.1,1.3,1.2,1.8,1.5,1.9,4.1,1.8,3.1,3,3.1,2.3,2.1,1.2,4.1,1.7,19.1,0.54,8.2,0.66,-7.9,0.41,5925,10190,30,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.2,0.24,7.4,0.03,-10.2,0.32,5880,10265,-5,0,0
1.1,0.8,0.8,0.7,0.6,0.1,0.7,1.5,2.5,3,2.8,1.8,2.3,3.1,2.3,2.4,2.4,2.7,1.9,2.5,2.6,2.9,2.2,2,3.1,1.9,17.5,0.82,9.8,0.69,-6.1,0.59,5935,10170,0,0,0
2.5,1.9,3,2.2,1.1,0.4,1.2,1.7,2.1,2.5,2.6,2,2.4,2.1,3.4,3.4,2.2,2.5,2.5,3.5,2.6,3,3,1.8,3.5,2.3,14.7,0.65,5.3,0.64,-11.9,0.02,5775,10110,-20,2.06,0
1.2,0.8,0.8,1.2,0.5,0.4,1.3,1.7,2.4,4.1,5,5.3,4.7,4,4,3.9,4,3.3,1.9,1.2,3.8,4.4,3,3.4,5.3,2.8,7.7,0.22,2.6,0.02,-14.6,0.04,5720,10205,-45,0,0
?,2.9,2.6,3.3,3.4,3.3,3.8,3.4,3.3,4,4,3.4,3.2,3.3,2.8,2,2.4,2.5,2.5,3.2,3.2,?,?,?,4,3.1,8.2,0.58,-0.05,0.26,-16.5,0.04,5700,10170,75,0,0
0.4,0.4,0.5,0.6,0.8,1.1,1.2,1.7,2.2,3.2,3.2,2.8,3,3,3.1,3.6,3.8,4.4,2.8,3.1,3.1,1.7,0.9,0.6,4.4,2.1,18.7,0.45,11.4,0.02,-6.3,0.1,5910,10140,35,0,0
1.7,1.6,2.1,2.3,1.4,1.6,1.9,1.7,3.1,3.6,3.1,1.9,2.1,1.3,2,2.1,2,2.4,1.9,1.4,1.7,1.6,0.9,0.7,3.6,1.9,11.8,0.12,4.1,0.16,-13.6,0.18,5835,10280,90,0,0
1.7,1.6,2.3,1.9,2.3,2.4,2.7,3.2,3,4.6,6.6,7.2,7.4,7.7,6.4,5.3,5.8,5,3.8,3.1,2.3,2.6,2.9,1.8,7.7,3.9,12.2,0.52,0.85,0.43,-15.9,0.1,5580,9990,?,0,0
0.2,0.6,0.4,0.8,1.3,1,0.9,1.2,1.3,1.9,3.3,3.1,3.5,2.7,3.4,3.6,3.9,4.3,3.7,3.1,3,2.9,2.6,2.4,4.3,2.3,12.1,0.4,5.8,0.03,?,?,?,10155,20,0,0
0.9,1.4,1.3,1.3,1.2,1.3,1,0.5,1.8,2.1,3.5,3.6,3.8,3,3.1,2.6,2.6,1.5,0.9,0.7,0.5,0.2,0.5,0.4,3.8,1.7,4.7,0.26,-0.45,0.31,-14.5,0.04,5770,10295,40,0,0
3.7,3.2,3.8,5.1,6,7,6.3,6.4,6.3,5.4,6.1,6.4,6.1,5.8,6.2,6.2,5.5,4.8,5.5,6.1,5,3.1,2.2,1.6,7,5.2,12.6,0.98,4.6,0.53,-11.8,0.84,5695,10040,-80,0.18,0
1.4,2,1.7,1.8,2.3,2.1,2.3,3.6,3.8,2.9,2.3,1,0.9,1.2,1.7,3.2,3.3,4,3.8,3.1,2.8,2.6,2.5,1.5,4,2.4,19.8,0.61,7.9,0.6,-6.3,0.31,5935,10175,-30,0,1
0.5,0,0.5,0.2,0.5,1,0.2,1.3,1.1,1.6,1,2,2.1,1.3,3.2,3.8,0.6,0.5,1.4,0.8,1,1.1,0.9,1.4,3.8,1.2,19.1,0.64,6.8,0.68,-7.9,0.34,5860,10115,-5,0,0
1.5,2.2,1.7,1.6,0.8,0.9,1.3,1.6,2.9,2.8,3.5,4.4,5.1,5.6,5.5,5.2,4.6,4.7,4.2,4.1,3.4,3.3,3.3,3.7,5.6,3.3,18.9,0.18,9.8,0.1,-8.9,0.13,5885,10150,25,0,0
1.1,0.9,0.9,1.2,0.4,1.4,1.1,1.7,2.1,2.6,3.3,3.1,3.3,4.3,2.9,3.1,3.3,2.9,2.1,2.7,3.1,2.6,2.5,2.1,4.3,2.3,13,0.53,5.7,0.09,-12.3,0.46,5805,10165,-20,1.24,0
1.7,1.7,1.3,1.6,1.7,1.8,1.5,1.8,2,2.7,3.4,3.3,3.6,3.2,3.2,2.5,1.7,1,1,1.1,0.9,0.7,1.7,1.7,3.6,2,5.5,0.03,1.8,0.67,-9.7,0.93,5825,10310,35,0.03,0
3.5,4.7,4.6,4.2,3.8,3,2.7,2.5,3.4,3.4,2.9,4.2,4.4,3.4,4,3.9,3.7,2.1,1,0.8,0.4,1.2,1.4,1.1,4.7,2.9,6.6,0.35,-0.05,0.12,-16.4,0.14,5720,10205,-50,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13.2,0.15,3.6,0.28,-13.2,0.04,5755,10150,15,0,0
0.4,0.2,0.4,0.1,0.4,0.7,1.5,1.3,2.5,2.7,3.2,3.4,3.4,3.5,4.2,5.8,5.6,4,3,3.7,4.6,4.3,4.3,3.3,5.8,2.8,13.6,0.89,6.4,0.36,-8.2,0.24,5830,10135,0,0,0
1.1,0.9,0.8,0.3,0.3,0.4,0.3,0.8,1.3,1.7,1.6,0.3,?,?,?,3.1,3.3,3.1,3.3,2.6,2.5,2,1.9,1.7,3.3,1.6,17.9,0.72,8.8,0.49,-6.2,0.41,5900,10150,-10,0,0
1.2,1.5,0.1,0.7,0.6,1.3,0.8,0.4,0.7,1.1,1.6,1.3,0.6,1,1.8,1.6,1.9,1.3,2.1,2.2,2,1.3,1.3,0.5,2.2,1.2,6.2,0.47,-3.7,0.53,-20,0.43,5600,10130,-70,0.81,0
0.1,0.1,0.1,0,0.2,0.3,0.5,1,1.5,2.6,2.3,2.5,2.2,2.8,3.5,3.6,3.5,2.8,2.2,1.5,1.8,1.2,1,0.7,3.6,1.6,13.4,0.07,6.8,0.09,-9.3,0.02,5855,10220,-25,0,0
1.5,1.9,1.7,1.8,1.8,1.4,1.8,3,2.9,3.1,3.4,2.9,1.9,1,0.2,1.3,0.8,2.6,3,2.6,2.5,2.7,2.1,1.8,3.4,2.1,16.4,0.73,13.7,0.04,-5.7,0.25,5890,10115,-10,0.3,0
1.6,1.6,1.3,1.8,1.7,1.5,1.6,1.5,2.1,2.5,2.3,2.6,3.3,3.2,2.5,4.1,4,3,2.3,2.8,3,2.1,1.2,0.8,4.1,2.3,8.1,0.84,2.2,0.36,-14.1,0.07,5805,10260,-20,0.05,0
0.5,0.5,0.5,1.1,1.2,1.3,1.1,1.9,2,2.3,2,1.4,1.7,1.3,1.7,1.6,1.7,2.1,2.9,2,1.7,1,0.3,0.2,2.9,1.4,15.4,0.89,11,0.14,-4.7,0.5,5900,10135,10,0,0
0.8,1.1,0.4,0.3,0.1,0.4,0.3,0.3,0.9,1.3,0.8,2.4,2.6,3.1,2.3,2.2,2.2,2,0.5,0.3,1.6,1.8,1.6,1,3.1,1.3,4.5,0.09,-1.05,0.08,-18,0.1,5655,10160,5,0,0
2.3,1.9,1.7,1.3,1.7,1.7,2.1,3,4.1,3.8,4.2,4.1,4.1,4.1,3.9,3.7,4.6,4.2,3.8,3.6,3.3,1.7,1.4,1.3,4.6,3,17.6,0.33,13.2,0.16,-7.6,0.22,5900,10140,0,0,0
2.3,1.7,0.9,1.1,0.1,0.6,0.4,1.1,3.4,3,3,3.4,2.8,2.7,3.3,3.7,3.3,2.6,2.7,3,3.1,3.4,3,2.9,3.7,2.4,13.2,0.65,5.4,0.41,-13.5,0.58,5800,10165,-10,0.1,0
0.6,0.9,1,1,0.5,0.7,0.9,0.9,1.4,1.2,1.3,0.4,0.7,0.3,1.2,1.7,2.2,2.4,1.9,2.6,1.5,0.8,0.4,0.3,2.6,1.1,10.1,0.25,1.45,0.39,-17,0.54,5745,10260,-30,0,0
3.4,2.7,2.2,2.2,1.3,0.6,1.9,2.9,3.5,4.1,3.8,4.6,5,4.7,4.8,4.2,3,2.1,1.7,1.1,1.8,0.8,0.4,0.2,5,2.6,14.3,0.4,1.1,0.49,-16.7,0.21,5710,10115,-30,0,0
3.6,4.4,4.5,4.2,4.2,4.1,4.1,3.5,3.8,4.4,4.9,5.5,4.8,4.9,4.4,3.7,3.7,2.2,1.3,1.3,0,0.2,0.1,0.1,5.5,3.2,8.9,0.82,-1.35,0.79,-13.9,0.03,5650,10100,-5,0,0
2.7,2.4,2.2,2.1,2.6,3,3.1,3.4,3.7,3.6,2.6,2.2,2.5,3.3,3.5,3.8,4.2,4.3,4.7,3.4,3.4,2.6,2.8,3.3,4.7,3.1,16.6,0.67,7.9,0.11,-8.6,0.03,5890,10200,95,0,0
0.7,0.4,0.1,0.1,0,0.2,0.5,0.4,1.4,1.7,0.2,0.8,1.1,1.7,3,1.7,2,2.3,2.1,3.5,0.5,1.9,1.9,1.2,3.5,1.2,19.5,0.73,9.5,0.68,-7.5,0.44,5925,10165,0,0.51,0
0.9,0.6,1.7,1.3,2.4,2.1,3.5,4.4,4.3,3.4,2.1,2.3,2.5,0.3,3.3,3.6,3.6,2.6,2.3,1.7,2,1.7,1.4,1.3,4.4,2.3,14.3,0.88,5.3,0.67,-9.3,0.54,5820,10135,-10,0.58,0
1,1.4,1.1,1.7,1.5,1.7,1.8,1.5,2.1,2.4,4.2,4.6,4.2,4.8,5,4.7,3.7,3.6,2.7,3.1,2.1,1.8,1.6,1.1,5,2.6,5.8,0.27,3.4,0.1,-12,0.04,5845,10310,15,0,0
1,1.4,0.6,1.1,1.7,1.6,1.5,1.8,2.7,2.6,2.2,2.1,2.5,1.7,1.7,1.6,0.9,1.9,1.7,3.6,2.5,1.6,0.9,1,3.6,1.7,16.1,0.88,5.9,?,-9.6,?,5815,10125,-10,0.05,0
1.4,1.1,0.7,0.8,0.2,0.3,0.5,1.2,1.1,3,4.9,5.8,5,5.2,4.7,4.6,4.7,3.4,3,3.7,3,2.6,2.1,2,5.8,2.7,11.5,0.16,5.7,0.12,-10.9,0.23,5775,10155,-25,0,0
1.8,2.5,1.7,1.5,2.1,1.8,2,2.5,3.6,2.9,2.8,2.6,0.9,0.8,0.9,2.5,2,1.7,1.3,1.1,0.8,1.7,2.1,2.1,3.6,1.9,24.1,0.43,10,0.59,-7.9,0.26,5900,10095,-35,0,1
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11.9,0.34,3.3,0.05,-15.1,0.14,5755,10165,-5,0,0
1.6,1.5,1.4,1.3,1.7,1.3,1.5,1.3,2.5,3.2,2.5,2.5,3.4,3.3,3.6,3.9,3.8,3.5,2.1,1.7,1.9,1.8,1.3,1.6,3.9,2.3,4.3,0.18,2.9,0.05,-11,0.39,5815,10310,70,0,0
0.1,1.6,1.6,2.8,3,2.1,2.3,2.9,2.5,1.7,1.5,2.9,3.4,4.2,3.8,2.8,2.1,1.6,1.3,1.5,1.4,1,1.7,1.7,4.2,2.2,17.4,0.86,9.5,0.76,-5.4,0.91,5895,10135,-5,3.12,0
2.1,2,2.3,2.4,2.5,3.2,3.1,3,4.1,4.5,5.1,5.2,4.9,4.7,4.5,3.9,3.6,3.1,2.4,1.3,0.8,1.5,1.2,1.4,5.2,3,1.5,0.8,-6.3,0.69,-22.9,0.32,5550,10145,15,0,0
3.2,3.4,2.6,2.3,2.1,1.4,1.1,2.1,2.6,3,2.5,2.6,2.8,4,4,2.4,2.5,2.4,1.4,2.4,2.5,1.4,1.1,1,4,2.4,20.1,0.13,13.6,0.11,-9.8,0.58,5850,10085,-40,0,0
1.3,1.3,1.1,1.1,1,1,0.8,1.4,3.4,3.5,3.3,3.1,3.9,3.8,4.2,4.7,3.8,3.6,3.2,3.4,3,3,2.7,1.6,4.7,2.6,14.7,0.03,5.2,0.12,-13.1,0.04,5825,10220,0,0,0
0.4,0.1,0.3,0.6,1.3,0.9,1.2,1.3,2.2,2.7,3.5,3.5,3,3.4,4,4.2,3.8,2.7,1.8,1.2,1.4,1.6,1,0.6,4.2,1.9,17.8,0.72,9.8,0.2,-3.5,0.05,5920,10145,10,0.33,0
1.2,1.5,1.3,1.5,1.7,1.3,1.5,1.6,2.4,2.9,3.1,3,2.8,1.3,1.8,2.3,3,3,2.7,1.9,1.7,1.6,1.9,1.6,3.1,2,15.6,0.84,6.3,0.78,-8,0.77,5845,10140,25,0.69,0
0.9,1,1,0.4,0.1,0.1,0.2,1,1.4,1,1.1,2.5,?,1,0.6,0.8,1.5,1.7,2,1.4,1.6,1.3,1,0.8,2.5,1.1,18.1,0.84,8.9,0.78,-5.1,0.55,5885,10125,20,1.09,0
1,0.7,1,3,2.8,3.5,2.4,0.8,1.6,2.8,3,3.8,3.9,3.7,3.7,3,4,3.8,3.7,3.9,4,3.2,2.9,2.8,4,2.9,15.3,0.88,10,0.29,-11.1,0.25,5845,10130,20,0.08,0
1.2,1.4,0.8,0.9,0.6,0.4,0.9,3,3.4,3.1,3,2.6,2,2.9,2,3,0.9,2.6,3.5,2.5,2.5,2.3,2.3,2,3.5,2.1,19.1,0.45,8.6,0.42,-8.9,0.16,5910,10180,10,1.85,0
2.8,3.6,4.1,3.2,3.3,3.7,4.2,4.6,4.6,5.4,5.2,5.9,5.3,5.1,5.1,5.3,5,4.5,4.1,4.1,4.4,4.2,4.2,4.2,5.9,4.4,12.9,0.78,2.5,0.66,-15.2,0.2,5690,10090,-40,0,0
0.7,0.6,1.2,1.2,1.8,1.7,2.4,2.1,2,2.9,3.4,3.9,4.5,5.2,5.6,4.8,4.2,2.8,2.5,2.5,1.4,1.3,3.5,4,5.6,2.8,9.6,0.68,3,0.41,-13.6,0.56,5800,10255,-55,0,0
0.2,0.4,1.3,0.5,1.6,1.4,1.2,2.2,2.9,3.3,3.6,3.8,4,3.8,3.1,2.3,2.5,1.5,0.8,1.3,2.1,2.1,1.6,1.9,4,2.1,16.9,0.21,8.3,0.61,-6.6,0.11,5900,10205,-15,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13.9,0.1,6.3,0.06,-11.7,0.05,5790,10150,20,0,0
0.2,0.4,0.8,1.5,1.9,1.1,1.2,2.9,3.4,3.2,2.3,2.2,2,1.7,2.5,2.5,2.5,2.6,3.4,2.9,2.8,2.1,1.1,0.9,3.4,2,10.5,0.63,4.4,0.12,-12.5,0.05,5810,10210,10,0,0
1.9,2.9,3.8,4.4,3.8,4.3,5.2,5.1,5.5,5.7,5.7,5.5,4.9,5.5,5.9,5.6,6,4.5,3.4,2.3,3.3,3.6,4.8,5.3,6,4.5,14.3,0.7,6.4,0.59,-12.3,0.38,5790,10135,55,0,0
0,0.3,0.8,0.8,0.2,0.4,0.6,1.4,0.4,2,1.9,1.4,2.9,2.4,1.7,2.5,1.2,1.4,1.3,0.9,1.2,0.7,0.5,0.4,2.9,1.1,16.9,0.81,7.5,0.73,-7.1,0.5,5915,10190,15,0.13,0
1.2,0.4,0.1,0.2,0.5,0.2,1.1,2.8,3.6,3.2,2.8,3.1,3.3,4,4.1,4,3.6,3.5,3.2,2.3,2.1,2.7,2.6,2.2,4.1,2.4,17.5,0.64,8.8,0.51,-6.7,0.31,5860,10110,-5,0,0
4.2,4.9,4.2,4.6,4.2,4.1,3.7,4.3,5,4.7,3.6,3.7,2.7,2.5,2.4,1.8,1.7,1.6,2.5,2.6,2.1,0.9,1.6,1.7,5,3.1,13.1,0.37,2.5,0.31,-14.2,0.05,5840,10300,130,0,0
2.5,2.3,2.5,1.7,1.9,0.9,0.1,0.8,1.5,1.9,1.7,0.7,0.7,2,2.6,3.4,3.8,3.3,2.9,2.9,2.9,2.8,2.2,0.2,3.8,2,19.2,0.77,12,0.39,-7.8,0.67,5860,10080,-10,0,0
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.4,0.33,2.6,0.02,-16.5,0.13,5765,10270,-15,0,0
0.3,0.3,0.4,0.1,0.3,0.2,0.4,0.1,1.2,1.7,2.5,3,2.1,2,1.7,1.5,1.4,0.9,0.5,0.8,0.9,1.1,1.1,0.9,3,1.1,8,0.45,6.7,0.41,-10.3,0.57,5815,10240,115,0,0
1.6,2.9,0.8,?,?,0.3,0.7,0.4,1.6,1.3,1.4,2.3,3.2,3.1,2.1,2.8,2.4,2.6,1.7,1.1,1.6,1.6,?,?,3.2,1.8,17.4,0.94,8.7,0.75,-6.4,0.68,5865,10115,-10,4.57,0
0.4,0.7,1.9,1.6,2.5,1.3,0.9,2.4,0.8,1.4,1.6,1.6,1.4,0.8,0.4,0.9,2.2,2,1.2,1,0.9,0.5,0.2,0.2,2.5,1.2,17.1,0.8,5.9,0.77,-8.6,0.6,5860,10155,5,4.04,0
0.5,0.4,0,0.3,0.4,0.3,0.4,0.8,2.1,2.6,2.7,3.3,3.1,2.5,3.3,3.3,3.2,3.8,3.8,4.4,3.7,3.2,2.5,1.7,4.4,2.2,16.1,0.79,6.5,0.93,-7,0.18,5890,10170,-20,0.05,0
1.6,0.9,1.7,1.3,2.1,2.1,1.6,2.1,3,3.7,3.8,4.4,3.9,3.5,2.9,3.2,2.7,2.7,3,2.3,2.9,3.3,3,3.4,4.4,2.7,18.2,0.77,8.8,0.72,-5.9,0.68,5920,10155,10,1.07,0
1.1,1,1.7,1.4,0.8,0.7,1,1.7,2.8,3.3,3.2,3.1,2,2.5,1.8,0.8,2.3,2.6,1.7,1.4,1.8,2.3,1.9,1,3.3,1.8,17,0.8,8,0.78,-7.2,0.53,5885,10155,10,2.03,0
0.4,0,0.1,0,0,0,0.1,0.4,0.6,0.4,0.9,1.8,1.6,1.2,1.7,2.5,3.8,3.4,2.6,2.7,2.2,1.7,1.2,1.3,3.8,1.3,12.1,0.11,1.1,0.14,-17.2,0.17,5715,10160,0,0,0
0.3,0.4,0.7,1.7,1.7,1.7,1.6,2.2,2.6,3.6,3.2,3,2.9,3.2,2.9,3.6,3.5,3.1,1.9,1.3,1.6,1.3,0.9,0.1,3.6,2,13,0.28,4.1,0.44,-7.4,0.02,5895,10250,-5,0,0
0.6,0.2,0.2,0.3,0.4,0.4,1.3,1.7,1.8,1.4,1.7,2.3,2.2,2.1,1.8,2.1,2.3,2.4,2.2,2.3,1.7,1,0.7,0.7,2.4,1.4,15.6,0.69,11,0.09,-8.2,0.08,5870,10125,10,0,0
0.9,0.8,0.9,0.7,1.1,1.1,1.1,1.6,2.1,2.3,2.1,2.5,2.1,1.8,0.8,1,0.8,2.4,2.6,1.7,0.9,1.2,0.4,0.7,2.6,1.4,17.1,0.81,9,0.38,-6.4,0.18,5820,10065,-20,0,0
0.4,0.5,1.8,2.4,2,2,1.6,2.1,2.9,2.9,3.3,3.3,3,2.7,2.7,1.3,3.4,1.7,2.1,0.4,1,1.3,0.7,0.7,3.4,1.9,15.2,0.88,6.4,0.54,-12.3,0.06,5815,10145,10,3.84,0
