Age,Community_Building,Community_Membership_Family,Community_Membership_Hobbies,Community_Membership_None,Community_Membership_Other,Community_Membership_Political,Community_Membership_Professional,Community_Membership_Religious,Community_Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not_Impaired,Disability_Not_Say,Disability_Vision,Education_Attainment,Falsification_of_Information,Gender,Household_Income,How_You_Heard_About_Survey_Banner,How_You_Heard_About_Survey_Friend,How_You_Heard_About_Survey_Mailing_List,How_You_Heard_About_Survey_Others,How_You_Heard_About_Survey_Printed_Media,How_You_Heard_About_Survey_Remebered,How_You_Heard_About_Survey_Search_Engine,How_You_Heard_About_Survey_Usenet_News,How_You_Heard_About_Survey_WWW_Page,Major_Geographical_Location,Major_Occupation,Marital_Status,Most_Import_Issue_Facing_the_Internet,Opinions_on_Censorship,Primary_Computing_Platform,Primary_Language,Primary_Place_of_WWW_Access,Race,Not_Purchasing_Bad_experience,Not_Purchasing_Bad_press,Not_Purchasing_Cant_find,Not_Purchasing_Company_policy,Not_Purchasing_Easier_locally,Not_Purchasing_Enough_info,Not_Purchasing_Judge_quality,Not_Purchasing_Never_tried,Not_Purchasing_No_credit,Not_Purchasing_Not_applicable,Not_Purchasing_Not_option,Not_Purchasing_Other,Not_Purchasing_Prefer_people,Not_Purchasing_Privacy,Not_Purchasing_Receipt,Not_Purchasing_Security,Not_Purchasing_Too_complicated,Not_Purchasing_Uncomfortable,Not_Purchasing_Unfamiliar_vendor,Registered_to_Vote,Sexual_Preference,Web_Ordering,Web_Page_Creation,Who_Pays_for_Access_Dont_Know,Who_Pays_for_Access_Other,Who_Pays_for_Access_Parents,Who_Pays_for_Access_School,Who_Pays_for_Access_Self,Who_Pays_for_Access_Work,Willingness_to_Pay_Fees,Years_on_Internet,label
45,Dont_Know,0,0,1,0,0,0,0,0,Florida,0,0,0,1,0,0,Some_College,Never,Male,$20-29,1,0,0,0,0,0,0,0,0,USA,Other,Single,Privacy,2,,English,Home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Gay_male,No,No,0,0,0,0,1,0,Already_paying,Under_6_mo,42
43,Equally,0,0,1,0,0,0,0,0,Texas,0,0,0,0,0,1,Some_College,Never,Male,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Married,Privacy,3,Win95,English,Home,White,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,1-3_yr,17
21,More,0,1,0,0,0,0,0,0,Georgia,0,0,0,1,0,0,High_School,Under_25,Female,$30-39,0,0,0,0,0,0,0,0,1,USA,Computer,Married,Censorship,3,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other,6-12_mo,34
26,Dont_Know,0,0,1,0,0,0,0,0,Texas,0,0,0,1,0,0,Masters,Under_25,Female,$30-39,0,0,0,0,0,0,1,0,0,USA,Professional,Married,Navigation,2,Macintosh,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Cost_too_high,Over_7_yr,2
28,Equally,0,0,0,0,0,1,0,0,North_Carolina,0,0,0,1,0,0,College,Over_75,Female,$50-74,0,0,1,0,0,0,0,0,0,USA,Computer,Married,Other,1,Win95,English,Primarily_work,White,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,Yes,Heterosexual,No,Yes,0,0,0,0,0,1,Other_sources,1-3_yr,34
74,Dont_Know,1,0,0,0,0,0,0,0,Iowa,0,0,0,1,0,0,Some_College,Under_25,Male,$40-49,0,1,0,0,0,0,0,0,0,USA,Other,Married,Taxes,4,Windows,English,Home,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0,Already_paying,6-12_mo,39
33,Dont_Know,0,0,1,0,0,0,0,0,Michigan,0,0,0,1,0,0,Some_College,Never,Male,$75-99,1,0,0,0,0,0,0,0,0,USA,Professional,Married,Navigation,3,,English,Home,White,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,Under_6_mo,34
33,More,0,1,0,0,0,1,0,0,New_York,0,0,0,1,0,0,Masters,Under_25,Male,Over_$100,0,0,0,0,0,0,0,0,1,USA,Other,Married,Censorship,1,Win95,English,Work,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other,1-3_yr,45
50,Dont_Know,0,0,1,0,0,0,0,0,Oklahoma,0,0,0,1,0,0,Masters,NA,Female,$40-49,0,1,0,0,0,0,0,0,0,USA,Education,Married,Privacy,4,Win95,English,Primarily_home,White,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,1,0,0,Other_sources,1-3_yr,12
51,Equally,0,0,0,0,0,1,0,0,Pennsylvania,0,0,0,1,0,0,College,Never,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Management,Married,Taxes,4,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,1,Other_sources,1-3_yr,44
37,More,0,1,0,0,0,1,0,0,Massachusetts,0,0,1,0,0,0,Some_College,Never,Male,$50-74,0,0,0,0,0,0,0,1,0,USA,Professional,Married,Other,1,Win95,English,Primarily_work,White,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,4-6_yr,14
17,More,0,1,0,0,0,0,0,0,South_Carolina,0,0,0,1,0,0,High_School,Never,Female,$50-74,0,0,0,0,0,0,0,1,0,USA,Education,Single,Privacy,4,Win95,English,Home,White,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Not_Applicable,Heterosexual,No,No,0,0,1,0,0,0,Already_paying,6-12_mo,13
Not_Say,Dont_Know,0,1,0,0,0,0,0,0,Maryland,0,0,0,1,0,0,Some_College,Never,Female,$40-49,0,0,0,0,0,0,0,1,0,USA,Other,Single,Encryption,1,,English,Home,Black,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,Not_Say,Heterosexual,No,No,0,0,0,0,1,0,Cost_too_high,Under_6_mo,29
18,More,1,1,0,0,0,1,0,0,Massachusetts,0,0,0,0,0,1,Some_College,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Education,Single,Dont_Know,4,Dont_Know,English,School,White,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,No,Heterosexual,No,No,0,0,0,1,0,0,Cost_too_high,Under_6_mo,13
22,Dont_Know,0,0,1,0,0,0,0,0,Pennsylvania,0,0,0,1,0,0,Some_College,Never,Male,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Censorship,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Already_paying,4-6_yr,13
25,More,0,1,0,0,1,0,0,0,Ontario,0,0,0,1,0,0,Some_College,26-50,Female,Not_Say,0,0,0,0,0,0,0,0,1,Canada,Education,Single,Navigation,1,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,No,Yes,0,0,1,0,0,0,Cost_too_high,4-6_yr,34
22,Less,1,0,1,0,0,0,0,0,New_York,0,0,0,1,0,0,College,Under_25,Female,Not_Say,0,0,0,0,0,0,1,0,0,USA,Education,Single,Navigation,4,Win95,English,Primarily_home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,1,0,0,0,Other_sources,1-3_yr,13
36,More,0,1,0,1,0,1,0,1,Georgia,0,0,0,1,0,0,College,Under_25,Male,$75-99,0,0,0,1,0,1,0,0,0,USA,Computer,Married,Navigation,2,Macintosh,English,Work,White,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,Over_7_yr,37
18,Equally,0,0,0,1,0,0,1,0,Mississippi,0,0,0,1,0,0,Some_College,Under_25,Male,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Single,Navigation,4,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,0,Other_sources,1-3_yr,13
40,Dont_Know,1,1,0,0,1,1,0,0,Indiana,0,0,0,1,0,0,Masters,Never,Female,$10-19,0,1,0,0,0,0,0,0,0,USA,Education,Other,Navigation,2,Macintosh,English,Primarily_home,White,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,0,Payment_mechanism,4-6_yr,13
61,More,0,0,0,0,0,1,0,0,Florida,0,0,0,1,0,0,Masters,Never,Male,Over_$100,0,0,1,0,0,0,0,0,0,USA,Professional,Married,Encryption,2,Win95,English,Primarily_work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,1,0,Other_sources,Over_7_yr,14
18,Dont_Know,0,0,0,1,0,0,0,0,Wisconsin,0,0,0,1,0,0,High_School,Never,Female,$50-74,0,0,0,0,0,0,1,0,0,USA,Education,Single,Dont_Know,2,Windows,English,Primarily_home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,Yes,Heterosexual,No,No,0,0,1,0,0,0,Already_paying,6-12_mo,13
18,More,0,1,0,0,0,0,0,0,Georgia,0,0,0,0,0,1,Some_College,Under_25,Male,Under_$10,0,0,0,0,0,1,0,0,1,USA,Education,Single,Censorship,2,NT,English,Primarily_work,Asian,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,1,0,0,Other_sources,1-3_yr,13
36,More,0,1,0,1,0,1,0,0,Virginia,0,0,0,1,0,0,Some_College,Under_25,Male,Over_$100,0,1,0,0,0,0,0,0,0,USA,Computer,Married,Other,4,Win95,English,Primarily_work,White,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,1,Dont_trust,Over_7_yr,34
24,Equally,0,0,1,0,0,0,0,0,Kansas,0,0,0,1,0,0,Some_College,Never,Male,$20-29,0,0,0,1,0,0,0,0,0,USA,Education,Single,Navigation,3,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Other_sources,1-3_yr,13
42,Equally,0,1,0,0,0,0,0,0,Colorado,0,0,0,1,0,0,Masters,Over_75,Male,Over_$100,0,0,1,0,0,0,0,0,0,USA,Management,Married,Privacy,4,Macintosh,English,Primarily_work,White,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Other_sources,4-6_yr,27
46,Equally,0,0,1,0,0,0,0,0,Ohio,0,0,0,1,0,0,Professional,Never,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Divorced,Censorship,1,,English,Home,White,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,Yes,Heterosexual,No,No,0,0,0,0,1,0,Other_sources,6-12_mo,5
53,Dont_Know,0,0,1,0,0,0,0,0,Illinois,0,0,0,1,0,0,Some_College,NA,Male,$20-29,0,0,0,0,0,0,0,1,0,USA,Other,Single,Censorship,3,,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Poor_quality,6-12_mo,34
21,More,0,1,0,0,0,0,0,0,New_York,0,0,0,1,0,0,Some_College,Never,Male,$40-49,0,0,0,0,1,0,0,0,0,USA,Education,Single,Navigation,1,,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,Under_6_mo,13
26,More,0,1,0,0,0,1,0,0,Massachusetts,0,0,0,1,0,0,College,Under_25,Male,$20-29,0,1,0,0,0,0,0,0,0,USA,Other,Other,Encryption,1,Macintosh,English,Primarily_home,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0,Cost_too_high,1-3_yr,4
41,Equally,0,0,1,0,0,0,0,0,Argentina,0,0,0,1,0,0,Masters,Never,Male,Over_$100,0,0,1,0,0,0,0,0,0,South_America,Management,Married,Taxes,1,Win95,Spanish,Primarily_home,White,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0,Already_paying,1-3_yr,34
Not_Say,More,0,1,0,0,0,0,0,0,Georgia,0,0,0,1,0,0,High_School,51-75,Female,Not_Say,0,0,0,0,0,0,0,1,0,USA,Professional,Married,Other,4,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Not_say,No,No,0,0,0,0,1,0,Cost_too_high,1-3_yr,1
16,More,0,1,0,0,0,0,0,0,New_Brunswick,0,0,0,0,0,1,High_School,Under_25,Male,Not_Say,0,0,0,0,0,0,0,0,1,Canada,Education,Single,Privacy,1,DOS,French,Primarily_home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Not_Applicable,Heterosexual,No,Yes,0,0,1,0,0,1,Other_sources,1-3_yr,24
19,Dont_Know,0,1,0,1,1,0,0,0,Michigan,0,0,0,1,0,0,Some_College,Under_25,Male,Not_Say,0,0,0,0,0,0,0,0,1,USA,Education,Single,Other,1,Win95,English,Primarily_work,White,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,Yes,Heterosexual,Yes,Yes,0,0,1,1,1,0,Dont_trust,1-3_yr,13
28,More,0,0,0,1,0,0,0,0,Virginia,0,0,0,1,0,0,Some_College,Never,Female,Under_$10,0,0,0,0,0,0,0,0,1,USA,Education,Divorced,Privacy,4,Win95,English,Primarily_home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Bisexual,Yes,No,0,0,0,1,1,0,Already_paying,6-12_mo,13
45,More,1,0,0,0,0,0,0,0,Iowa,0,0,0,1,0,0,Some_College,Never,Male,$50-74,0,0,0,0,0,0,0,1,0,USA,Professional,Married,Privacy,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,No,Heterosexual,No,No,0,0,0,0,1,0,Dont_trust,Under_6_mo,17
51,More,1,0,0,0,0,1,0,1,Massachusetts,0,0,0,1,0,0,Masters,Under_25,Female,Over_$100,0,0,1,0,0,0,0,0,0,USA,Management,Married,Navigation,1,Win95,English,Work,White,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,1,0,0,0,0,Other_sources,1-3_yr,7
24,Dont_Know,0,0,0,0,0,1,0,0,Florida,0,0,0,1,0,0,College,26-50,Male,$20-29,0,0,0,1,0,0,0,0,0,USA,Computer,Single,Censorship,3,Macintosh,English,Primarily_work,White,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1,Other_sources,4-6_yr,34
25,More,0,0,0,0,0,1,0,0,Spain,0,0,0,1,0,0,College,Under_25,Female,$50-74,0,0,0,1,0,0,0,0,0,Europe,Education,Single,Navigation,1,Macintosh,Spanish,Work,White,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not_Applicable,Heterosexual,Yes,No,0,0,0,0,0,1,Other,4-6_yr,12
