age,income96,height,weight,famsize,illegalact,charged,jobsnum90,afqt89,race,gender,grade90,partner,genhealth,typejob90,jobtrain90,label
18.0,2.0,500.0,92.0,6.0,0.0,0.0,11.0,53.0,ITALIAN,Female,12TH GRADE,No,Excellent,pro,Yes,1
16.0,2.2,505.0,109.0,5.0,0.0,0.0,7.0,27.0,IRISH,Female,1ST YR COL,No,Very Good,pro,No,1
14.0,1.5,509.0,125.0,4.0,0.0,0.0,7.0,46.0,POLISH,Female,2ND YR COL,Yes,Good,retail,No,0
15.0,1.3,501.0,133.0,6.0,0.0,0.0,9.0,54.0,ENGLISH,Female,12TH GRADE,No,Very Good,retail,No,0
14.0,0.0,504.0,135.0,4.0,0.0,0.0,5.0,37.0,GERMAN,Female,12TH GRADE,No,Good,personal,No,0
22.0,0.38,511.0,160.0,4.0,0.0,0.0,9.0,5.0,BLACK,Male,11TH GRADE,No,Excellent,construction,No,0
15.0,1.6,600.0,145.0,4.0,0.0,0.0,6.0,10.0,BLACK,Male,12TH GRADE,No,Fair,retail,No,0
15.0,7.5,600.0,175.0,6.0,1.0,0.0,4.0,99.0,FRENCH,Male,6TH YR COL,Yes,Very Good,fin,No,1
15.0,1.4,501.0,138.0,5.0,0.0,0.0,7.0,84.0,IRISH,Female,1ST YR COL,No,Very Good,personal,No,0
14.0,1.4,508.0,132.0,5.0,0.0,0.0,9.0,48.0,ENGLISH,Female,3RD YR COL,No,Very Good,fin,Yes,0
19.0,3.5,507.0,147.0,1.0,0.0,0.0,12.0,52.0,MEXICAN-AMERICAN,Female,2ND YR COL,No,Excellent,pro,No,1
18.0,4.0,507.0,195.0,4.0,0.0,0.0,3.0,88.0,ENGLISH,Male,2ND YR COL,No,Excellent,manuf,No,1
21.0,1.8,611.0,180.0,1.0,1.0,1.0,7.0,44.0,BLACK,Male,12TH GRADE,No,Fair,fin,No,1
19.0,0.1,507.0,143.0,8.0,0.0,0.0,15.0,4.0,BLACK,Female,11TH GRADE,No,Good,pro,No,0
21.0,4.0,601.0,190.0,3.0,0.0,0.0,5.0,1.0,MEXICAN,Male,6TH GRADE,No,Very Good,manuf,Yes,1
16.0,0.5,504.0,105.0,3.0,0.0,0.0,3.0,22.0,ENGLISH,Female,12TH GRADE,No,Very Good,pro,No,0
21.0,1.82,500.0,103.0,5.0,0.0,0.0,5.0,25.0,BLACK,Female,3RD YR COL,No,Good,retail,No,1
21.0,2.8,504.0,115.0,3.0,0.0,0.0,12.0,19.0,GERMAN,Female,12TH GRADE,No,Good,manuf,No,1
18.0,4.2,507.0,150.0,2.0,0.0,0.0,1.0,49.0,FRENCH,Female,1ST YR COL,No,Very Good,mining,No,1
14.0,1.98,506.0,123.0,3.0,0.0,0.0,11.0,17.0,BLACK,Female,12TH GRADE,No,Good,personal,No,1
21.0,0.0,502.0,110.0,12.0,0.0,0.0,7.0,13.0,MEXICAN-AMERICAN,Female,12TH GRADE,No,Fair,personal,No,0
17.0,1.0,506.0,150.0,2.0,0.0,0.0,9.0,66.0,BLACK,Male,3RD YR COL,No,Very Good,construction,No,0
21.0,6.0,507.0,156.0,1.0,0.0,0.0,7.0,81.0,MEXICAN-AMERICAN,Male,4TH YR COL,No,Excellent,transp,Yes,1
16.0,4.9,507.0,145.0,2.0,3.0,1.0,8.0,28.0,ENGLISH,Male,12TH GRADE,No,Good,manuf,No,1
18.0,1.5,508.0,125.0,5.0,0.0,0.0,8.0,37.0,BLACK,Female,2ND YR COL,No,Very Good,pro,No,0
14.0,4.7,503.0,135.0,4.0,0.0,0.0,7.0,84.0,ENGLISH,Female,4TH YR COL,No,Very Good,fin,Yes,1
17.0,1.8,501.0,110.0,7.0,0.0,0.0,15.0,17.0,MEXICAN-AMERICAN,Female,1ST YR COL,No,Good,pro,Yes,1
21.0,1.6,600.0,160.0,5.0,0.0,0.0,10.0,47.0,BLACK,Male,12TH GRADE,No,Very Good,transp,No,0
16.0,0.8,510.0,163.0,6.0,0.0,0.0,8.0,30.0,BLACK,Male,2ND YR COL,No,Very Good,retail,No,0
20.0,2.1,507.0,137.0,4.0,0.0,0.0,9.0,67.0,ENGLISH,Female,12TH GRADE,No,Very Good,retail,Yes,1
15.0,0.55,506.0,110.0,5.0,0.0,0.0,15.0,78.0,ENGLISH,Female,2ND YR COL,No,Poor,wholesale,No,0
17.0,1.9,503.0,118.0,6.0,0.0,0.0,8.0,36.0,FRENCH,Female,12TH GRADE,No,Very Good,manuf,No,1
20.0,4.0,511.0,155.0,3.0,0.0,0.0,11.0,4.0,BLACK,Male,12TH GRADE,No,Fair,manuf,No,1
19.0,1.2,506.0,120.0,3.0,0.0,0.0,7.0,74.0,GERMAN,Female,1ST YR COL,Yes,Good,retail,No,0
20.0,0.0,601.0,250.0,3.0,0.0,1.0,2.0,8.0,BLACK,Male,2ND YR COL,No,Good,pro,Yes,0
17.0,2.5,502.0,112.0,6.0,0.0,0.0,7.0,62.0,GERMAN,Female,12TH GRADE,No,Excellent,pro,Yes,1
19.0,2.89,511.0,235.0,3.0,0.0,0.0,4.0,64.0,ENGLISH,Male,12TH GRADE,No,Very Good,manuf,No,1
19.0,3.5,507.0,156.0,4.0,0.0,1.0,12.0,88.0,ENGLISH,Male,3RD YR COL,No,Very Good,pro,No,1
15.0,1.4,508.0,205.0,2.0,1.0,0.0,9.0,27.0,AMERICAN,Male,11TH GRADE,Yes,Very Good,busi,No,0
20.0,2.1,511.0,165.0,6.0,0.0,0.0,3.0,4.0,BLACK,Male,12TH GRADE,No,Good,transp,No,1
16.0,13.8775,500.0,96.0,4.0,0.0,0.0,3.0,92.0,BLACK,Female,8TH YR COL OR MORE,No,Very Good,pro,No,1
18.0,2.732,506.0,130.0,3.0,0.0,0.0,4.0,88.0,ENGLISH,Female,4TH YR COL,No,Good,pro,No,1
21.0,6.9,511.0,175.0,2.0,0.0,0.0,4.0,55.0,OTHER,Male,12TH GRADE,No,Very Good,busi,No,1
22.0,2.3,505.0,122.0,1.0,0.0,0.0,5.0,76.0,ENGLISH,Female,4TH YR COL,No,Excellent,wholesale,No,1
17.0,1.2,502.0,111.0,5.0,0.0,0.0,5.0,37.0,AMERICAN,Female,12TH GRADE,No,Very Good,agri,No,0
15.0,4.1,601.0,175.0,4.0,0.0,0.0,7.0,36.0,BLACK,Male,2ND YR COL,No,Good,transp,Yes,1
19.0,2.42,510.0,169.0,6.0,0.0,0.0,4.0,21.0,BLACK,Male,12TH GRADE,No,Fair,manuf,Yes,1
18.0,3.8,511.0,220.0,8.0,3.0,0.0,16.0,23.0,MEXICAN-AMERICAN,Male,11TH GRADE,No,Good,construction,No,1
16.0,3.4,504.0,130.0,4.0,0.0,0.0,14.0,56.0,GERMAN,Female,1ST YR COL,No,Very Good,retail,No,1
21.0,3.5,511.0,160.0,1.0,0.0,0.0,11.0,96.0,IRISH,Male,6TH YR COL,No,Excellent,pro,No,1
19.0,6.0,602.0,185.0,3.0,0.0,0.0,2.0,45.0,GERMAN,Male,12TH GRADE,No,Very Good,agri,No,1
21.0,0.0,509.0,180.0,2.0,0.0,0.0,3.0,26.0,MEXICAN-AMERICAN,Male,2ND YR COL,No,Very Good,manuf,No,0
20.0,2.3,506.0,120.0,3.0,2.0,1.0,8.0,48.0,BLACK,Female,12TH GRADE,No,Very Good,transp,Yes,1
19.0,1.0,508.0,128.0,3.0,0.0,0.0,7.0,99.0,ENGLISH,Female,4TH YR COL,No,Excellent,retail,No,0
15.0,1.5,508.0,146.0,4.0,0.0,0.0,14.0,25.0,BLACK,Male,2ND YR COL,Yes,Excellent,construction,Yes,0
15.0,1.7,504.0,155.0,7.0,0.0,0.0,9.0,1.0,FRENCH,Male,10TH GRADE,No,Very Good,construction,No,0
15.0,0.5,506.0,130.0,4.0,0.0,0.0,5.0,11.0,BLACK,Female,11TH GRADE,No,Very Good,personal,Yes,0
16.0,2.1,600.0,165.0,6.0,0.0,0.0,4.0,35.0,ENGLISH,Male,12TH GRADE,No,Excellent,retail,No,1
20.0,0.6,506.0,160.0,2.0,0.0,0.0,6.0,32.0,ENGLISH,Female,12TH GRADE,No,Fair,personal,No,0
20.0,0.0,503.0,140.0,2.0,0.0,0.0,9.0,15.0,BLACK,Male,12TH GRADE,Yes,Good,busi,No,0
15.0,0.003,501.0,149.0,5.0,0.0,0.0,13.0,18.0,BLACK,Male,12TH GRADE,No,Very Good,construction,No,0
15.0,2.8,500.0,107.0,5.0,0.0,0.0,8.0,76.0,OTHER-HISPANIC,Female,4TH YR COL,No,Excellent,manuf,No,1
15.0,1.4,511.0,135.0,4.0,0.0,0.0,6.0,77.0,AMERICAN,Male,4TH YR COL,No,Very Good,wholesale,No,0
20.0,3.76,511.0,165.0,1.0,0.0,1.0,14.0,74.0,IRISH,Male,12TH GRADE,No,Good,wholesale,No,1
17.0,2.8,511.0,160.0,6.0,0.0,0.0,6.0,93.0,GERMAN,Male,7TH YR COL,No,Very Good,pro,No,1
16.0,6.0,603.0,210.0,6.0,0.0,0.0,8.0,71.0,IRISH,Male,4TH YR COL,No,Very Good,construction,No,1
17.0,7.5,508.0,155.0,7.0,3.0,0.0,13.0,58.0,ENGLISH,Female,5TH YR COL,No,Excellent,busi,No,1
19.0,13.8775,508.0,125.0,4.0,0.0,0.0,6.0,96.0,GERMAN,Female,4TH YR COL,No,Excellent,fin,No,1
17.0,1.65,504.0,135.0,7.0,0.0,0.0,9.0,28.0,FRENCH,Female,12TH GRADE,No,Very Good,fin,Yes,0
14.0,2.4,509.0,180.0,4.0,0.0,0.0,2.0,99.0,GERMAN,Female,12TH GRADE,No,Good,manuf,No,1
17.0,3.6,510.0,140.0,4.0,0.0,0.0,8.0,87.0,ENGLISH,Male,3RD YR COL,No,Excellent,transp,No,1
15.0,0.6,605.0,225.0,5.0,0.0,0.0,20.0,69.0,BLACK,Male,1ST YR COL,No,Fair,manuf,No,0
18.0,6.1,503.0,122.0,7.0,1.0,0.0,6.0,84.0,GERMAN,Female,4TH YR COL,No,Excellent,pro,Yes,1
14.0,3.0,506.0,160.0,7.0,0.0,0.0,5.0,72.0,ENGLISH,Female,12TH GRADE,No,Very Good,manuf,Yes,1
16.0,5.0,507.0,128.0,6.0,1.0,0.0,9.0,48.0,GERMAN,Female,12TH GRADE,No,Very Good,agri,No,1
21.0,3.23,602.0,170.0,3.0,0.0,0.0,6.0,79.0,OTHER,Male,2ND YR COL,No,Very Good,pro,Yes,1
15.0,2.1,505.0,113.0,4.0,0.0,0.0,5.0,58.0,FRENCH,Female,12TH GRADE,No,Very Good,manuf,No,1
16.0,2.4,507.0,150.0,8.0,0.0,0.0,4.0,42.0,GERMAN,Male,1ST YR COL,No,Excellent,retail,No,1
17.0,3.8,509.0,185.0,2.0,0.0,1.0,5.0,77.0,BLACK,Male,2ND YR COL,No,Very Good,pro,No,1
20.0,1.4,504.0,115.0,6.0,0.0,0.0,9.0,89.0,GERMAN,Female,2ND YR COL,No,Good,retail,Yes,0
18.0,0.0,507.0,150.0,6.0,0.0,0.0,10.0,32.0,BLACK,Male,12TH GRADE,No,Good,agri,No,0
15.0,2.96,508.0,133.0,5.0,0.0,0.0,9.0,89.0,GERMAN,Male,1ST YR COL,No,Good,transp,No,1
19.0,0.7,508.0,155.0,4.0,1.0,0.0,14.0,73.0,BLACK,Male,12TH GRADE,No,Good,retail,No,0
17.0,4.5,600.0,200.0,4.0,1.0,1.0,10.0,89.0,GREEK,Male,3RD YR COL,Yes,Very Good,enter,Yes,1
19.0,0.0,507.0,130.0,1.0,0.0,0.0,10.0,19.0,BLACK,Female,12TH GRADE,No,Good,retail,Yes,0
15.0,3.7,506.0,118.0,5.0,0.0,0.0,8.0,64.0,ENGLISH,Female,4TH YR COL,No,Very Good,manuf,No,1
16.0,2.6,504.0,201.0,4.0,1.0,0.0,6.0,12.0,BLACK,Female,1ST YR COL,No,Good,retail,No,1
18.0,1.0,500.0,95.0,1.0,0.0,0.0,12.0,35.0,OTHER-HISPANIC,Female,12TH GRADE,Yes,Very Good,agri,No,0
21.0,0.199,503.0,123.0,6.0,0.0,0.0,7.0,36.0,ENGLISH,Female,11TH GRADE,No,Very Good,pro,Yes,0
16.0,0.2,508.0,130.0,4.0,5.0,0.0,9.0,32.0,ENGLISH,Female,12TH GRADE,Yes,Very Good,retail,No,0
16.0,1.8,506.0,145.0,7.0,1.0,0.0,2.0,41.0,GERMAN,Male,12TH GRADE,No,Very Good,retail,Yes,1
15.0,13.8775,600.0,165.0,4.0,2.0,0.0,6.0,54.0,ENGLISH,Male,12TH GRADE,No,Very Good,wholesale,No,1
17.0,1.1,507.0,130.0,8.0,0.0,0.0,6.0,34.0,BLACK,Female,1ST YR COL,No,Very Good,retail,No,0
18.0,1.78,507.0,230.0,6.0,0.0,0.0,3.0,3.0,MEXICAN-AMERICAN,Male,11TH GRADE,No,Excellent,retail,No,1
19.0,0.25,507.0,160.0,3.0,0.0,0.0,8.0,38.0,ITALIAN,Male,1ST YR COL,No,Excellent,pub,No,0
15.0,4.5,506.0,180.0,3.0,0.0,0.0,12.0,91.0,OTHER,Female,5TH YR COL,No,Good,pro,Yes,1
15.0,4.5,601.0,220.0,4.0,2.0,0.0,7.0,92.0,BLACK,Male,3RD YR COL,No,Fair,busi,No,1
14.0,0.5,500.0,120.0,8.0,2.0,0.0,6.0,3.0,MEXICAN,Female,9TH GRADE,No,Fair,personal,Yes,0
19.0,2.25,502.0,95.0,6.0,0.0,0.0,1.0,33.0,MEXICAN-AMERICAN,Female,12TH GRADE,No,Excellent,pro,No,1
17.0,4.2,508.0,180.0,5.0,1.0,0.0,16.0,49.0,BLACK,Male,1ST YR COL,No,Excellent,construction,No,1
20.0,3.85,506.0,160.0,1.0,2.0,0.0,3.0,80.0,NATIVE-AMERICAN,Male,12TH GRADE,No,Very Good,construction,No,1
16.0,3.4,504.0,115.0,3.0,0.0,0.0,12.0,64.0,ENGLISH,Female,4TH YR COL,No,Good,pro,Yes,1
14.0,3.5,506.0,165.0,8.0,0.0,0.0,3.0,33.0,MEXICAN-AMERICAN,Male,1ST YR COL,No,Excellent,transp,No,1
18.0,4.2,511.0,157.0,4.0,0.0,0.0,6.0,4.0,BLACK,Male,12TH GRADE,No,Good,manuf,No,1
19.0,2.6,603.0,235.0,3.0,0.0,0.0,3.0,34.0,AMERICAN,Male,12TH GRADE,Yes,Good,wholesale,No,1
14.0,3.5,508.0,165.0,4.0,0.0,0.0,2.0,12.0,PUERTORICAN,Male,12TH GRADE,No,Excellent,manuf,No,1
18.0,1.2,510.0,180.0,3.0,0.0,0.0,10.0,68.0,GERMAN,Male,12TH GRADE,No,Good,agri,No,0
18.0,2.5101,509.0,180.0,8.0,0.0,1.0,6.0,88.0,MEXICAN-AMERICAN,Male,2ND YR COL,No,Very Good,pub,No,1
21.0,0.0,508.0,160.0,4.0,0.0,1.0,19.0,31.0,ENGLISH,Male,1ST YR COL,No,Good,construction,Yes,0
16.0,3.0,502.0,248.0,7.0,0.0,0.0,8.0,29.0,BLACK,Female,2ND YR COL,No,Very Good,pub,Yes,1
17.0,13.8775,511.0,170.0,3.0,3.0,0.0,6.0,99.0,GERMAN,Male,4TH YR COL,No,Excellent,busi,No,1
14.0,5.1,504.0,120.0,5.0,0.0,0.0,7.0,73.0,OTHER,Female,4TH YR COL,No,Excellent,pro,No,1
19.0,0.0,411.0,129.0,4.0,0.0,0.0,5.0,47.0,GERMAN,Female,2ND YR COL,No,Good,retail,No,0
21.0,3.0,505.0,155.0,1.0,2.0,0.0,9.0,4.0,BLACK,Male,12TH GRADE,No,Excellent,construction,No,1
15.0,1.4,506.0,147.0,3.0,0.0,1.0,9.0,11.0,BLACK,Male,10TH GRADE,No,Very Good,retail,Yes,0
19.0,2.2,508.0,155.0,6.0,0.0,0.0,19.0,49.0,BLACK,Male,1ST YR COL,No,Very Good,busi,Yes,1
21.0,3.7,602.0,195.0,5.0,3.0,0.0,15.0,49.0,BLACK,Male,4TH YR COL,No,Very Good,retail,No,1
20.0,0.5,502.0,128.0,2.0,0.0,0.0,8.0,23.0,GERMAN,Female,12TH GRADE,No,Good,enter,No,0
20.0,0.0,508.0,145.0,2.0,0.0,0.0,9.0,36.0,AMERICAN,Female,2ND YR COL,No,Poor,pro,No,0
17.0,3.2,600.0,190.0,4.0,1.0,0.0,11.0,12.0,BLACK,Male,12TH GRADE,No,Very Good,retail,No,1
16.0,6.0,511.0,205.0,6.0,3.0,0.0,7.0,42.0,ENGLISH,Male,12TH GRADE,No,Very Good,construction,No,1
17.0,1.5,511.0,280.0,11.0,3.0,0.0,18.0,28.0,MEXICAN-AMERICAN,Male,12TH GRADE,No,Good,manuf,No,0
17.0,1.7,510.0,161.0,4.0,0.0,0.0,9.0,12.0,BLACK,Female,2ND YR COL,No,Good,pro,No,0
19.0,4.3,600.0,190.0,4.0,0.0,0.0,2.0,21.0,OTHER,Male,12TH GRADE,No,Excellent,manuf,Yes,1
18.0,2.14,505.0,165.0,4.0,0.0,0.0,5.0,64.0,IRISH,Female,3RD YR COL,No,Good,transp,Yes,1
16.0,0.0,508.0,180.0,6.0,0.0,0.0,9.0,5.0,BLACK,Male,9TH GRADE,No,Fair,manuf,No,0
21.0,3.8,510.0,200.0,1.0,1.0,0.0,4.0,62.0,IRISH,Male,12TH GRADE,No,Fair,busi,Yes,1
20.0,1.0,503.0,184.0,6.0,0.0,0.0,1.0,7.0,ENGLISH,Male,10TH GRADE,No,Excellent,wholesale,No,0
16.0,13.8775,603.0,210.0,4.0,3.0,0.0,16.0,87.0,ENGLISH,Male,4TH YR COL,No,Very Good,fin,Yes,1
14.0,1.4,504.0,120.0,3.0,0.0,0.0,8.0,53.0,NATIVE-AMERICAN,Female,12TH GRADE,No,Fair,retail,No,0
19.0,2.0,601.0,165.0,10.0,0.0,0.0,5.0,93.0,OTHER,Male,2ND YR COL,No,Very Good,personal,No,1
20.0,2.5,504.0,192.0,3.0,0.0,0.0,13.0,46.0,PUERTORICAN,Female,2ND YR COL,No,Good,manuf,No,1
18.0,2.8,510.0,145.0,3.0,1.0,0.0,9.0,74.0,ENGLISH,Male,12TH GRADE,Yes,Good,manuf,Yes,1
20.0,3.1,511.0,160.0,4.0,3.0,0.0,8.0,51.0,BLACK,Male,10TH GRADE,No,Excellent,busi,No,1
19.0,2.6,509.0,185.0,4.0,0.0,0.0,13.0,11.0,CUBAN,Male,12TH GRADE,No,Very Good,manuf,No,1
14.0,1.6,509.0,165.0,4.0,2.0,0.0,15.0,21.0,ITALIAN,Male,2ND YR COL,No,Excellent,retail,No,0
15.0,1.2,501.0,115.0,3.0,0.0,0.0,7.0,85.0,ENGLISH,Female,4TH YR COL,No,Excellent,pro,No,0
14.0,2.2,508.0,135.0,2.0,0.0,0.0,4.0,14.0,ENGLISH,Female,12TH GRADE,No,Good,manuf,No,1
21.0,4.9,504.0,110.0,6.0,0.0,0.0,6.0,66.0,BLACK,Female,5TH YR COL,No,Excellent,transp,No,1
21.0,13.8775,602.0,180.0,3.0,0.0,1.0,8.0,50.0,ENGLISH,Male,3RD YR COL,No,Excellent,manuf,No,1
14.0,3.7,509.0,135.0,3.0,2.0,0.0,9.0,2.0,NATIVE-AMERICAN,Male,8TH GRADE,No,Very Good,mining,No,1
19.0,4.8,510.0,170.0,1.0,0.0,0.0,4.0,46.0,FRENCH,Male,1ST YR COL,No,Very Good,pub,Yes,1
16.0,3.276,511.0,155.0,5.0,0.0,0.0,7.0,59.0,ENGLISH,Male,9TH GRADE,No,Excellent,construction,Yes,1
14.0,2.4,506.0,125.0,1.0,0.0,0.0,2.0,53.0,IRISH,Female,1ST YR COL,No,Excellent,pro,No,1
17.0,2.5,505.0,107.0,5.0,0.0,0.0,6.0,42.0,MEXICAN-AMERICAN,Female,8TH YR COL OR MORE,Yes,Good,pro,No,1
18.0,1.9,504.0,135.0,8.0,0.0,0.0,11.0,39.0,MEXICAN-AMERICAN,Female,3RD YR COL,No,Good,retail,No,1
15.0,2.5,501.0,110.0,4.0,0.0,0.0,6.0,72.0,ENGLISH,Female,4TH YR COL,No,Very Good,fin,Yes,1
19.0,2.7,510.0,167.0,4.0,1.0,0.0,3.0,23.0,NONE,Male,11TH GRADE,No,Good,manuf,No,1
16.0,13.8775,507.0,140.0,5.0,1.0,0.0,6.0,50.0,MEXICAN-AMERICAN,Male,12TH GRADE,No,Very Good,pro,No,1
15.0,1.4668,502.0,175.0,7.0,0.0,0.0,19.0,23.0,BLACK,Female,12TH GRADE,No,Very Good,retail,No,0
21.0,3.5,503.0,120.0,2.0,1.0,0.0,1.0,64.0,ENGLISH,Female,1ST YR COL,Yes,Very Good,fin,Yes,1
15.0,3.0,502.0,115.0,5.0,2.0,0.0,13.0,56.0,ENGLISH,Female,4TH YR COL,No,Excellent,personal,No,1
20.0,4.8,500.0,89.0,3.0,0.0,0.0,2.0,89.0,GERMAN,Female,2ND YR COL,Yes,Fair,pro,Yes,1
17.0,1.6,500.0,155.0,4.0,0.0,0.0,5.0,44.0,PUERTORICAN,Female,2ND YR COL,No,Very Good,transp,No,0
17.0,2.3,504.0,134.0,1.0,0.0,1.0,14.0,32.0,GERMAN,Female,12TH GRADE,Yes,Very Good,pro,No,1
20.0,2.1,510.0,160.0,3.0,0.0,0.0,10.0,91.0,IRISH,Male,2ND YR COL,No,Very Good,manuf,No,1
19.0,2.6,508.0,130.0,5.0,0.0,0.0,1.0,50.0,BLACK,Male,2ND YR COL,No,Very Good,manuf,No,1
15.0,2.9,502.0,190.0,2.0,0.0,0.0,7.0,24.0,BLACK,Female,4TH YR COL,No,Good,pro,Yes,1
20.0,6.0,504.0,115.0,1.0,0.0,0.0,9.0,92.0,BLACK,Female,4TH YR COL,No,Excellent,busi,No,1
15.0,4.2,506.0,135.0,6.0,0.0,0.0,5.0,65.0,BLACK,Female,3RD YR COL,No,Good,transp,No,1
20.0,0.22,505.0,109.0,3.0,0.0,0.0,9.0,32.0,ENGLISH,Female,12TH GRADE,No,Excellent,personal,No,0
14.0,3.0,503.0,120.0,6.0,0.0,0.0,4.0,74.0,FILIPINO,Male,4TH YR COL,No,Very Good,pro,Yes,1
15.0,1.5,502.0,115.0,7.0,0.0,0.0,12.0,23.0,ENGLISH,Female,5TH YR COL,No,Excellent,retail,No,0
20.0,2.5,503.0,135.0,4.0,0.0,0.0,9.0,57.0,ITALIAN,Female,1ST YR COL,No,Good,pro,No,1
21.0,0.48,510.0,160.0,3.0,0.0,0.0,1.0,41.0,OTHER,Male,12TH GRADE,Yes,Very Good,agri,No,0
14.0,3.2,510.0,150.0,5.0,1.0,0.0,5.0,63.0,GERMAN,Male,4TH YR COL,No,Very Good,manuf,No,1
18.0,2.7,506.0,163.0,3.0,0.0,0.0,7.0,1.0,MEXICAN-AMERICAN,Male,12TH GRADE,No,Good,transp,No,1
17.0,0.5,504.0,125.0,2.0,0.0,0.0,7.0,57.0,AMERICAN,Female,12TH GRADE,No,Very Good,fin,No,0
17.0,2.2,508.0,170.0,8.0,0.0,0.0,6.0,42.0,BLACK,Male,3RD YR COL,No,Excellent,pub,No,1
18.0,2.3,507.0,150.0,5.0,0.0,0.0,6.0,16.0,ENGLISH,Male,12TH GRADE,No,Good,manuf,No,1
20.0,2.6,511.0,175.0,5.0,1.0,0.0,5.0,63.0,IRISH,Male,4TH YR COL,No,Excellent,retail,Yes,1
21.0,2.6,601.0,185.0,4.0,0.0,0.0,6.0,75.0,BLACK,Male,4TH YR COL,No,Excellent,transp,No,1
