ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,label
117961,118300,118783,118321,118448,290919,118322,1
117961,118386,119214,117905,117906,290919,117908,1
118212,118213,118437,118636,192211,118638,118639,1
117961,118225,118403,117905,117906,290919,117908,1
117961,118300,118825,118826,226343,118424,118828,1
117961,118386,119742,117905,117906,290919,117908,1
117961,118386,120671,118777,279443,308574,118779,1
117961,118300,120722,121594,127596,4673,121596,1
127044,127045,118821,307024,306404,118331,118332,1
118541,118542,119136,166800,166800,118474,166801,1
117961,117962,120677,307024,306404,118331,118332,1
117961,118052,118821,118321,118321,290919,118322,1
117961,118052,118867,118259,117906,290919,118261,1
119062,119091,120323,119093,119094,119095,119096,1
117961,118300,118066,120560,304465,118643,120562,1
118953,118954,117941,117879,117886,19721,117880,1
117961,118300,19772,122022,123536,119221,122024,1
117961,118327,118507,118863,147148,118398,118865,1
117961,118343,119993,125793,125794,118643,125795,1
118550,118551,120559,118054,118443,117887,118055,1
117961,118327,118529,118777,279443,308574,118779,0
118725,118726,119076,118422,124426,118424,118425,1
117961,118446,119064,307024,310608,118331,118332,1
117951,117952,117878,119192,128322,119184,119194,1
117961,118300,118783,118784,117906,290919,118786,1
117916,118011,117920,119192,139264,119184,119194,1
117961,118300,119984,118396,269406,118398,118399,0
91261,118026,118229,273308,120072,249618,118232,1
118887,118888,118631,120344,310610,118424,120346,1
117961,118386,123144,118396,233714,118398,118399,1
117961,117962,117904,128230,302830,4673,128231,1
117926,118266,117941,117885,117913,117887,117888,1
117961,118327,121787,123045,123107,120518,123047,1
119062,119091,6104,117905,117906,290919,117908,1
117975,117976,142540,118568,142541,19721,118570,1
117918,117919,117884,117885,117913,117887,117888,1
5110,117954,117895,117879,118250,19721,117880,1
117961,117962,117904,119949,311441,290919,119951,1
117961,118052,126137,126138,252926,124136,126140,1
119062,119091,118450,121372,148801,119184,121374,1
117961,118386,118522,119997,278014,118131,119998,1
117961,118300,118783,118321,117906,290919,118322,1
117961,118343,118395,118396,233714,118398,118399,0
117961,118413,121639,117905,117906,290919,117908,1
117961,118052,120304,118054,118443,117887,118055,1
117961,118225,122273,118321,117906,290919,118322,1
118181,118182,117941,117885,117886,117887,117888,1
119134,119135,118575,118172,307446,249618,118175,0
117961,118300,120026,118422,239205,118424,118425,1
118315,118463,122636,120773,123148,118960,120774,1
117961,118386,118746,117905,287351,290919,117908,1
117902,117903,118957,118958,118959,118960,118961,1
117961,118343,121747,118321,117906,290919,118322,1
117961,118225,122870,118563,123784,270488,118565,1
117961,118300,121176,118784,118785,290919,118786,1
117961,118225,118403,118321,117906,290919,118322,1
118290,118291,120171,118863,152438,118398,118865,1
119691,119692,118635,122967,311441,119695,122969,1
117961,118343,121747,119928,136239,118331,119929,1
117961,118052,119742,120690,127922,290919,120692,1
117961,118446,128742,118811,120605,19793,118813,1
117961,118327,119830,118054,118054,117887,118055,1
119062,119091,143531,120690,127922,290919,120692,1
117961,118225,118403,118321,240983,290919,118322,1
119691,119692,118635,174391,117906,119695,174393,1
118315,118316,121820,118465,121821,118467,118468,1
118315,118316,225010,118321,117906,290919,118322,1
91261,118026,119279,121143,132228,249618,121145,1
117887,118178,118575,119849,212678,118638,119851,1
117961,118343,118395,120647,311441,118398,120649,1
117961,118225,118403,118777,279443,308574,118779,1
117961,117962,118910,118784,117906,290919,118786,1
117961,119715,118501,117905,290919,290919,117908,1
117961,118300,119890,118054,118054,117887,118055,1
117961,118327,120318,122060,130360,290919,122062,1
117961,118225,124948,118451,130134,118453,118454,1
117961,118052,119986,118259,117906,290919,118261,1
119596,119597,120026,118293,118294,118295,118296,1
117961,118327,118929,118321,117906,290919,118322,1
117961,117969,118970,118396,269406,118398,118399,1
117961,118343,127491,307024,294485,118331,118332,1
117961,118343,118437,119949,127527,290919,119951,1
117961,118343,119598,120344,303717,118424,120346,1
117918,117919,117884,117879,117886,19721,117880,1
117961,118386,118053,118777,279443,308574,118779,1
117961,117962,120677,120357,149187,118424,120359,1
117961,118300,118458,118293,118302,118295,118296,1
117902,117903,134257,117905,118036,290919,117908,1
117961,118300,119181,118321,117906,290919,118322,1
126918,126919,118042,118563,159415,270488,118565,1
119691,119692,118635,122967,190850,119695,122969,1
117961,118327,120559,118054,123102,117887,118055,1
117961,118300,119195,118636,227378,118638,118639,1
117961,118327,123901,118321,117906,290919,118322,1
117961,118386,121668,117905,117906,290919,117908,1
117961,118052,118821,117905,117906,290919,117908,1
117961,117962,117904,119949,230830,290919,119951,1
120864,121013,124133,120344,303717,118424,120346,1
117961,118300,119890,118422,300136,118424,118425,1
117961,118327,118391,117905,117906,290919,117908,1
119920,119921,176153,118784,292871,290919,118786,1
117961,118225,119238,119093,120324,119095,119096,1
117961,118300,28618,118321,240983,290919,118322,0
117961,118225,120050,117905,117906,290919,117908,1
117961,117962,122215,117905,240983,290919,117908,1
117961,118386,123144,118890,125128,118398,118892,1
118084,118085,117920,118568,123239,19721,118570,1
117961,118327,118492,118747,125738,118453,118749,1
118887,118888,119488,118293,301534,118295,118296,1
117926,118124,117941,117879,117886,19721,117880,1
119062,119091,120663,117905,117906,290919,117908,0
118212,118580,117878,133111,125539,118870,133113,1
117961,118225,118403,118958,136187,118960,118961,1
117902,117903,120722,118451,130134,118453,118454,1
117961,118343,124725,118784,117906,290919,118786,1
117961,118052,118992,118784,117906,290919,118786,0
117961,117969,118970,118396,233714,118398,118399,1
117961,118300,120410,118321,117906,290919,118322,1
117961,118413,277693,118777,279443,308574,118779,1
117961,118052,118706,120773,305057,118960,120774,1
117961,118052,120356,120357,310997,118424,120359,1
118315,118316,225010,118777,279443,308574,118779,1
117961,118446,118684,127108,235721,118667,127110,1
118887,118888,118631,120344,303717,118424,120346,0
117961,117969,6725,120527,275449,6725,120529,0
117961,118052,119986,118259,117906,290919,118261,1
118006,118007,117941,118568,292195,19721,118570,1
117961,118343,119993,118321,240983,290919,118322,1
117961,118225,120041,119093,120324,119095,119096,1
117961,118300,123719,117905,117906,290919,117908,1
117961,118300,19772,138019,187788,120518,138021,1
117983,117984,117878,117899,119057,19721,117900,1
117961,118446,16232,118321,117906,290919,118322,1
118084,118085,117941,117885,117913,117887,117888,1
5110,117954,117895,117885,117955,117887,117888,1
117961,118052,119742,118321,117906,290919,118322,0
117961,118386,118746,117905,240983,290919,117908,1
117961,118413,118481,118321,117906,290919,118322,1
118752,119070,118042,118043,118043,270488,118046,1
117929,117940,117941,117885,117913,117887,117888,1
117961,118300,119181,117905,117906,290919,117908,1
117961,118300,123749,119849,166593,118638,119851,1
117961,118343,119945,117905,117906,290919,117908,1
117902,117903,118437,122129,305057,121916,122131,1
117961,118052,118706,120773,305057,118960,120774,1
117961,118225,120551,117905,117906,290919,117908,1
117961,117962,118450,119192,119193,119184,119194,1
117961,118300,120722,118784,117906,290919,118786,1
117961,118343,123454,118321,197093,290919,118322,1
117926,117927,117884,118568,122535,19721,118570,1
117961,118413,120370,118321,117906,290919,118322,1
117961,118300,120026,123737,180449,118960,123738,1
117975,117976,117912,117885,117913,117887,117888,1
117961,118343,119598,118980,146026,118295,118982,1
117887,118178,118320,117905,117906,290919,117908,1
117961,118343,118437,118784,117906,290919,118786,1
117961,118386,121668,122551,140840,118762,122552,1
117961,118343,119598,118321,240983,290919,118322,1
117961,118052,118821,117905,240983,290919,117908,1
117961,118225,122870,118636,310589,118638,118639,1
117961,118300,118458,120497,223125,118424,120499,1
117961,118327,118933,118685,310608,308574,118687,1
118602,118603,117941,117899,118568,19721,117900,1
117961,118052,120539,118321,118448,290919,118322,1
117961,118225,120535,179731,137925,117887,117973,1
117961,118052,118867,118784,118785,290919,118786,1
117961,118327,118744,118784,147114,290919,118786,1
117961,118413,122007,118784,121873,290919,118786,1
117961,118386,118733,169634,198341,118736,169635,1
117961,118052,118867,130479,185784,119784,130481,1
118290,118291,118597,118293,118294,118295,118296,1
117961,118225,120663,118641,306399,118643,118644,1
117961,118225,120041,119093,120324,119095,119096,1
117961,117962,118501,118777,185617,308574,118779,1
117961,118300,118825,307024,127752,118331,118332,1
121005,121006,117945,280788,155276,292795,119082,1
117961,118300,121176,118784,117906,290919,118786,1
117961,118413,126229,118777,279443,308574,118779,1
117961,118300,118395,118890,311441,118398,118892,1
91261,118026,118202,117905,117906,290919,117908,0
118006,118007,117941,117885,117886,117887,117888,1
117961,118386,118746,118784,118785,290919,118786,1
117961,118300,118458,119928,310608,118331,119929,1
117961,118225,120535,118890,311441,118398,118892,1
117961,118300,119181,118321,117906,290919,118322,1
118084,118085,117884,117885,117913,117887,117888,1
118169,118170,118171,259173,127240,292795,118943,1
118290,118291,118597,118422,122739,118424,118425,1
118573,118574,117945,117946,144259,292795,117948,1
91261,118026,118746,118278,118260,290919,118279,1
117961,118300,124816,118685,126297,308574,118687,1
117961,118300,120410,117905,172635,290919,117908,1
117916,118150,131868,128093,139264,119184,128095,1
118315,118463,118404,118784,129634,290919,118786,1
117961,118343,118458,120006,311622,118424,120008,1
117943,117944,117945,118274,299258,292795,118276,1
91261,118026,124942,118451,126309,118453,118454,1
117961,118300,119181,118641,153273,118643,118644,1
117961,118386,118522,118321,117906,290919,118322,1
119062,119091,118535,118321,117906,290919,118322,1
117961,117962,19666,118368,129597,117887,118486,1
117961,117962,118501,120702,308462,118504,120704,1
118315,118463,123656,118321,117906,290919,118322,1
117961,118052,119742,117905,117906,290919,117908,1
119665,119666,117895,118568,267952,19721,118570,1
117961,118225,119824,118702,129851,118704,118705,1
117961,118300,120059,134655,134656,118424,134657,1
117961,118343,119987,118784,118785,290919,118786,1
117961,118386,118746,118451,152307,118453,118454,1
117961,117962,118910,118777,279443,308574,118779,1
5110,117954,122672,125751,135104,118870,125753,1
117961,118052,120417,119587,127457,118704,119589,1
117961,118343,120126,120497,223125,118424,120499,1
118079,118080,117878,117879,117913,19721,117880,1
117961,117962,118450,118641,306399,118643,118644,1
117978,117979,117884,117879,117886,19721,117880,1
117961,118300,118301,307024,204593,118331,118332,1
117961,119256,119257,117946,118806,292795,117948,1
117961,118300,119181,179731,133969,117887,117973,1
117961,118327,123757,119849,144429,118638,119851,1
117961,118343,118821,117905,240983,290919,117908,1
117961,118386,121883,117905,290919,290919,117908,1
117961,118386,119214,118259,120721,290919,118261,1
117961,118343,118437,118777,279443,308574,118779,0
5110,117954,118810,119899,310825,19793,119900,1
117961,118446,118447,118321,117906,290919,118322,1
118573,118574,118623,118995,123460,292795,118997,1
117961,118343,127705,119849,127706,118638,119851,1
117961,118300,120410,118784,117906,290919,118786,1
118084,118085,117920,117885,117913,117887,117888,1
117961,118225,118403,117905,117906,290919,117908,1
91261,118026,139759,117905,117906,290919,117908,1
117961,118327,4674,117905,117906,290919,117908,1
117961,118225,119238,122849,120324,119095,122850,1
119062,119091,120297,117905,117906,290919,117908,1
118315,118463,123656,118321,117906,290919,118322,1
117961,118343,118514,118321,117906,290919,118322,1
117961,118446,119064,118321,117906,290919,118322,1
117961,118052,118821,117905,117906,290919,117908,1
117961,118300,123055,120006,150350,118424,120008,1
120864,120865,124449,118685,284982,308574,118687,1
117961,118386,118404,118321,117906,290919,118322,0
117961,118343,128639,118777,279443,308574,118779,1
117961,118052,118706,118278,118707,290919,118279,1
117961,118386,118317,118523,294485,118331,118525,1
117961,118327,118391,123648,123107,120518,123650,1
126918,126919,118042,118043,118043,270488,118046,1
117902,118041,117945,117946,118806,292795,117948,1
117961,118343,120722,117905,240983,290919,117908,1
91261,118026,118317,118784,120474,290919,118786,1
117961,118327,120318,124886,120319,118643,124888,1
117961,118300,118437,118777,279443,308574,118779,0
117961,118327,120283,121527,133249,118398,121529,1
118953,118954,117941,117879,117886,19721,117880,1
119134,119135,118911,118293,118302,118295,118296,1
117961,118225,124380,118523,163100,118331,118525,1
118114,118115,117920,118568,281735,19721,118570,1
117961,118327,118320,118321,117906,290919,118322,1
117961,118225,119238,119093,120324,119095,119096,1
117961,118225,119781,118207,279443,270488,118209,1
118192,118193,117895,118568,281735,19721,118570,1
117961,118300,123055,120006,150350,118424,120008,1
117961,118343,121747,118321,117906,290919,118322,1
117961,118327,118492,118451,125738,118453,118454,0
117961,117969,118970,118890,311441,118398,118892,1
117961,118052,120096,117905,117906,290919,117908,1
91261,118026,119507,118278,151426,290919,118279,1
117932,117933,117878,117879,117897,19721,117880,1
118573,118574,117945,259173,127423,292795,118943,1
117961,118300,124942,118321,240983,290919,118322,1
91261,118026,119507,119962,168365,118205,119964,1
117961,118446,125872,124305,120579,118762,124307,1
117961,118052,120304,307024,311622,118331,118332,1
117961,118343,122012,126184,128532,118762,126186,1
118023,118024,117895,117885,117955,117887,117888,1
117961,118343,124725,117905,240983,290919,117908,1
118990,118991,118992,135123,292871,120302,135125,1
117961,118300,118783,118054,131373,117887,118055,1
117961,118327,120318,120690,127922,290919,120692,1
119134,119135,118042,118207,200069,270488,118209,1
117961,118300,123055,120344,310997,118424,120346,1
117961,118343,118437,118523,306404,118331,118525,1
118602,118603,117920,118568,171084,19721,118570,0
117961,118052,120539,117905,117906,290919,117908,1
117961,118386,118522,118784,147114,290919,118786,1
117961,117962,118352,118321,117906,290919,118322,1
125714,125715,119142,118321,117906,290919,118322,1
91261,118026,139759,118321,117906,290919,118322,1
117961,118343,118631,118321,117906,290919,118322,1
117961,118300,118514,118318,168365,118205,118319,1
117961,118343,118979,118826,134537,118424,118828,1
91261,118026,118229,121143,180794,249618,121145,1
117961,118225,120551,133306,133307,118205,133308,1
117961,118386,118746,117905,117906,290919,117908,1
117961,117962,118910,118054,118368,117887,118055,1
117961,118446,122550,307024,311622,118331,118332,1
117902,118041,119181,120952,122352,118453,120954,1
118169,118170,118179,126684,204891,292795,126685,1
117961,118446,118701,119587,132595,118704,119589,1
118315,118316,118317,118685,120316,308574,118687,1
117961,118386,123656,119962,147416,118205,119964,1
119596,119597,120823,120647,311441,118398,120649,1
117961,117969,120823,129909,181275,118453,129911,1
117961,118052,126137,126138,148208,124136,126140,1
117961,118300,118597,118834,250337,118424,118836,1
117961,118300,121176,118321,117906,290919,118322,1
117961,117962,122215,117905,117906,290919,117908,1
117961,118225,120323,119093,120324,119095,119096,1
117929,117940,117941,117879,117886,19721,117880,1
117961,118052,119742,117905,117906,290919,117908,1
117961,118300,119488,118728,301534,118295,118730,1
117961,118052,120671,118321,118448,290919,118322,1
118079,118080,117878,117885,118177,117887,117888,1
117961,118300,127849,118826,236735,118424,118828,1
117961,118300,147589,118826,236735,118424,118828,1
117961,118327,120559,122269,141096,118643,122271,1
118079,118080,117878,117879,304519,19721,117880,1
117961,118300,121108,119928,150810,118331,119929,1
117961,118327,118320,118321,117906,290919,118322,1
117961,118386,118522,118321,117906,290919,118322,0
117961,118052,120096,117905,117906,290919,117908,1
117961,118327,129972,118685,311622,308574,118687,1
117961,118343,120722,118321,117906,290919,118322,1
117961,118386,118746,117905,117906,290919,117908,1
117961,118413,122007,118321,117906,290919,118322,1
117961,117962,117904,128230,302830,4673,128231,1
117961,117962,120677,122067,297566,118424,122069,1
117926,118266,117884,117885,117913,117887,117888,1
118106,118107,118810,122952,305581,19793,122954,1
117961,118386,120361,118321,117906,290919,118322,1
117961,118343,119993,117905,117906,290919,117908,1
117961,118052,119742,118321,118448,290919,118322,1
117961,118343,118395,118890,125128,118398,118892,1
117961,118300,118066,118636,130218,118638,118639,1
117961,118052,120356,122067,237245,118424,122069,1
122880,122974,118623,117946,149568,292795,117948,1
117961,118300,119181,118321,117906,290919,118322,1
117961,117962,122059,117905,117906,290919,117908,1
117961,118386,118746,117905,117906,290919,117908,1
117961,118446,16232,117905,117906,290919,117908,1
117961,118386,118404,118841,240982,118643,118843,0
117961,118446,118471,130606,255657,118474,130607,1
117961,118300,118514,307024,311622,118331,118332,1
117961,117962,118352,118321,117906,290919,118322,1
117961,118052,118867,118321,117906,290919,118322,1
117961,118052,118821,117905,117906,290919,117908,1
117961,118300,118825,120344,152816,118424,120346,1
117961,118300,119984,118890,125128,118398,118892,1
118595,118596,119993,117905,117906,290919,117908,1
117961,118052,118992,118321,240983,290919,118322,1
118256,118257,118623,118995,129082,292795,118997,1
117961,118225,120054,118702,303450,118704,118705,1
117961,118446,16232,118784,121873,290919,118786,1
117961,118343,118911,118912,309291,118424,118914,1
117961,118300,118631,119587,176829,118704,119589,1
5110,117954,117895,118568,281735,19721,118570,1
117961,118052,126137,126138,126139,124136,126140,1
117961,118343,118514,118685,120316,308574,118687,1
117902,118041,117945,280788,280788,292795,119082,1
117959,117960,117912,117879,117886,19721,117880,1
117961,118413,122007,132671,118260,290919,132673,0
117961,118413,120526,117905,117906,290919,117908,1
117961,118225,120551,117905,117906,290919,117908,1
117961,117962,118910,118321,117906,290919,118322,1
117961,117962,117963,118811,286597,19793,118813,1
117961,118386,119954,118259,118260,290919,118261,1
117961,118327,120318,122060,130360,290919,122062,1
117961,118343,119598,118422,300136,118424,118425,1
117961,118327,118933,118784,200462,290919,118786,1
117961,118225,120323,120591,120324,119095,120593,1
117961,118327,118492,118747,125738,118453,118749,1
117961,118386,118501,118502,118503,118504,118505,1
117926,118266,117920,118568,148941,19721,118570,1
117961,118327,120171,118054,126488,117887,118055,1
117961,118413,122007,118685,279443,308574,118687,1
117961,118052,119972,118784,117906,290919,118786,0
117961,118327,118320,118321,125206,290919,118322,1
118212,119763,117878,119192,135350,119184,119194,1
91261,118026,118867,118321,117906,290919,118322,1
118256,118257,117945,117946,119235,292795,117948,1
118106,118107,117884,117885,117913,117887,117888,1
117961,118300,123055,120344,134311,118424,120346,1
117961,117962,118352,118321,117906,290919,118322,1
117961,118446,126352,152308,152309,118612,152310,1
117961,118225,123173,120812,311057,118638,120814,1
117902,117903,132530,117905,137742,290919,117908,1
118163,119075,119076,118422,124426,118424,118425,1
117961,118446,118447,118321,118448,290919,118322,1
117961,118386,118352,117905,117906,290919,117908,1
119596,119597,118597,120789,194103,118424,120791,1
117961,118300,118360,119849,148676,118638,119851,1
117929,117940,117941,117885,117913,117887,117888,1
117961,118300,119181,118784,117906,290919,118786,1
117961,118343,118700,118321,118448,290919,118322,1
119596,119597,125440,119192,130411,119184,119194,0
117961,118300,118597,118980,301534,118295,118982,1
117961,118300,118957,118321,117906,290919,118322,1
117961,118052,118881,119962,168365,118205,119964,1
119596,119597,119598,135809,311834,118331,135811,1
118181,118182,117920,118568,132124,19721,118570,1
117961,118327,118929,118321,117906,290919,118322,1
117926,118124,117920,120632,202274,118131,120634,1
117961,118300,118514,118054,124424,117887,118055,1
117961,118225,118403,118054,287351,117887,118055,1
119062,119091,118535,117905,117906,290919,117908,1
117961,118300,119984,123067,269406,118398,123068,1
117961,118225,124948,120773,136187,118960,120774,1
117961,118300,118514,117905,117906,290919,117908,1
117961,117962,117904,118958,127525,118960,118961,1
117961,118413,120370,118321,117906,290919,118322,1
117961,118300,123749,118777,279443,308574,118779,1
117961,117962,118910,119949,230830,290919,119951,1
117961,118386,123844,117905,117906,290919,117908,1
117902,117903,120171,120172,230830,290919,120173,1
119062,119091,143531,117905,118036,290919,117908,1
117893,117894,117895,117899,117897,19721,117900,1
118349,118350,122672,124537,125539,118870,124539,1
117961,118300,118783,117905,240983,290919,117908,1
117961,118327,121589,118641,306399,118643,118644,1
118573,118574,118623,118995,129731,292795,118997,1
117961,118052,120417,118702,125047,118704,118705,0
117961,118343,120126,120497,133686,118424,120499,1
117961,118446,16232,118777,279443,308574,118779,1
118084,118085,117884,117879,117886,19721,117880,1
118573,118574,117945,280788,280788,292795,119082,1
127044,127045,118821,118636,293990,118638,118639,1
121518,121519,117878,119192,186208,119184,119194,1
117926,118124,118344,179731,120238,117887,117973,1
117961,118446,119961,118259,125206,290919,118261,1
117961,118300,118783,118321,117906,290919,118322,1
117961,118343,119993,119849,310589,118638,119851,1
117961,118300,124942,118321,240983,290919,118322,1
117890,118102,117878,118568,292195,19721,118570,1
117961,117962,120924,118523,306404,118331,118525,1
117916,117917,117884,117879,117886,19721,117880,1
118212,118213,126955,117905,134159,290919,117908,1
117961,118300,118810,123082,123391,19793,123084,1
