N1,N2,N3,N4,N5,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,label
140.0,146.4,7.6,2.6,0.32,1.0,1.0,1.0,9085.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,7.0,5.0,0.0,2
170.0,170.0,8.9,1.4,3.51,1.0,53.0,1.0,9085.0,1.0,42.0,1.0,1.0,19.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,7.0,11.0,13.0,11.0,0.0,4.0,9.0,9.0,9.0,0.0,2
120.0,120.0,10.8,1.4,1.74,1.0,43.0,1.0,9991.0,0.0,1.0,1.0,37.0,37.0,9.0,9.0,1.0,0.0,1.0,1.0,1.0,0.0,34.0,0.0,6.0,10.0,10.0,7.0,0.0,4.0,10.0,10.0,6.0,0.0,0
133.0,134.4,9.4,-0.8,-3.12,1.0,1.0,4.0,9773.0,1.0,1.0,1.0,19.0,19.0,7.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,8.0,4.0,0.0,2
137.0,131.5,9.4,-0.8,-3.12,1.0,1.0,3.0,9500.0,1.0,1.0,1.0,19.0,19.0,5.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,8.0,8.0,8.0,0.0,2
132.0,123.3,10.8,1.4,1.74,1.0,17.0,5.0,9853.0,1.0,1.0,1.0,12.0,12.0,4.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,0.0,6.0,13.0,4.0,0.0,0.0,6.0,10.0,3.0,0.0,0
133.1,128.2,8.9,1.4,3.51,1.0,15.0,1.0,9853.0,1.0,1.0,41.0,43.0,1.0,153.0,135.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,1.0,11.0,16.0,17.0,16.0,0.0,6.0,10.0,12.0,9.0,0.0,2
155.0,144.2,12.7,3.7,-1.7,1.0,1.0,3.0,171.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
150.0,150.0,15.5,2.8,-4.06,1.0,39.0,1.0,9991.0,0.0,1.0,1.0,37.0,37.0,9.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
129.0,125.9,9.4,-0.8,-3.12,1.0,1.0,1.0,9085.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,5.0,13.0,4.0,2.0,0.0,5.0,8.0,3.0,0.0,1
133.1,120.0,11.1,0.6,2.02,1.0,51.0,1.0,9670.0,1.0,19.0,1.0,2.0,1.0,3.0,10.0,0.0,0.0,1.0,1.0,1.0,0.0,32.0,0.0,1.0,6.0,15.0,2.0,0.0,0.0,6.0,7.0,0.0,0.0,0
130.0,126.9,9.4,-0.8,-3.12,1.0,1.0,2.0,9773.0,1.0,1.0,1.0,19.0,19.0,9.0,9.0,1.0,0.0,0.0,1.0,1.0,1.0,18.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,2
133.1,101.3,11.1,0.6,2.02,1.0,15.0,1.0,9085.0,1.0,1.0,41.0,3.0,3.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,1.0,0.0,6.0,13.0,6.0,0.0,0.0,6.0,15.0,6.0,0.0,2
128.0,141.0,7.6,2.6,0.32,1.0,1.0,2.0,9773.0,1.0,1.0,1.0,34.0,19.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,6.0,10.0,4.0,0.0,0.0,6.0,15.0,3.0,0.0,0
122.0,124.5,7.6,2.6,0.32,1.0,1.0,3.0,9254.0,1.0,1.0,1.0,37.0,37.0,9.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,12.0,6.0,0.0,0.0,6.0,14.0,3.0,0.0,2
100.0,128.2,7.6,2.6,0.32,2.0,43.0,1.0,9670.0,1.0,1.0,1.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,32.0,0.0,6.0,10.0,12.0,10.0,0.0,4.0,9.0,9.0,4.0,0.0,2
120.0,121.5,7.6,2.6,0.32,1.0,43.0,2.0,9500.0,1.0,1.0,1.0,37.0,34.0,90.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,22.0,0.0,11.0,14.0,14.0,12.0,2.0,11.0,14.0,14.0,12.0,2.0,2
136.0,127.3,15.5,2.8,-4.06,1.0,17.0,1.0,171.0,1.0,1.0,1.0,38.0,38.0,7.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
123.0,116.0,8.9,1.4,3.51,1.0,17.0,4.0,9238.0,1.0,1.0,1.0,19.0,19.0,191.0,144.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,9.0,6.0,0.0,0.0,6.0,8.0,6.0,0.0,2
153.0,147.9,12.4,0.5,1.79,1.0,1.0,1.0,9500.0,1.0,1.0,1.0,38.0,37.0,7.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,8.0,9.0,8.0,0.0,2
133.1,100.0,16.2,0.3,-0.92,1.0,39.0,1.0,9991.0,0.0,19.0,1.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0
120.0,142.3,10.8,1.4,1.74,1.0,39.0,1.0,9670.0,1.0,1.0,1.0,1.0,19.0,4.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,26.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,10.0,5.0,0.0,2
130.0,128.6,16.2,0.3,-0.92,1.0,17.0,1.0,9500.0,1.0,1.0,1.0,1.0,3.0,9.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,8.0,11.0,8.0,0.0,2
117.0,109.7,9.4,-0.8,-3.12,1.0,1.0,2.0,9853.0,1.0,1.0,1.0,1.0,38.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,9.0,5.0,0.0,0.0,6.0,10.0,4.0,0.0,1
133.0,137.2,10.8,1.4,1.74,1.0,17.0,1.0,9254.0,1.0,1.0,1.0,19.0,1.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,20.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,0
133.1,133.0,13.9,-0.3,0.79,1.0,39.0,1.0,9500.0,1.0,19.0,1.0,38.0,37.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,7.0,9.0,6.0,0.0,0.0,8.0,9.0,7.0,0.0,2
152.0,134.2,15.5,2.8,-4.06,1.0,17.0,2.0,9070.0,1.0,1.0,1.0,39.0,39.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,6.0,7.0,5.0,0.0,0.0,6.0,9.0,4.0,0.0,1
130.0,120.0,7.6,2.6,0.32,1.0,43.0,1.0,9119.0,1.0,1.0,1.0,37.0,38.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,8.0,12.0,17.0,8.0,0.0,6.0,12.0,19.0,6.0,2.0,0
150.0,142.0,10.8,1.4,1.74,1.0,17.0,2.0,9853.0,1.0,1.0,1.0,38.0,19.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,8.0,6.0,0.0,0.0,6.0,7.0,5.0,0.0,0
133.0,128.8,15.5,2.8,-4.06,1.0,1.0,6.0,9500.0,1.0,1.0,1.0,38.0,38.0,9.0,9.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,7.0,11.0,6.0,0.0,0.0,8.0,11.0,7.0,0.0,2
140.0,140.0,13.9,-0.3,0.79,1.0,44.0,1.0,9085.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,6.0,9.0,3.0,0.0,1
137.0,115.0,13.9,-0.3,0.79,2.0,43.0,1.0,9500.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,0.0,0.0,7.0,8.0,7.0,0.0,0.0,8.0,8.0,8.0,0.0,2
110.0,140.0,10.8,1.4,1.74,2.0,39.0,1.0,9773.0,1.0,1.0,1.0,37.0,37.0,9.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,43.0,0.0,0.0,6.0,16.0,2.0,0.0,0.0,6.0,12.0,4.0,0.0,0
129.0,119.0,10.8,1.4,1.74,1.0,18.0,2.0,9500.0,1.0,1.0,1.0,38.0,37.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,8.0,8.0,7.0,0.0,0.0,8.0,8.0,7.0,0.0,2
146.0,128.2,12.7,3.7,-1.7,1.0,17.0,1.0,9853.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,6.0,10.0,3.0,0.0,1
135.0,135.0,7.6,2.6,0.32,1.0,17.0,2.0,9254.0,1.0,1.0,1.0,19.0,19.0,4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,6.0,8.0,6.0,0.0,0.0,6.0,9.0,5.0,0.0,1
154.0,137.2,15.5,2.8,-4.06,1.0,1.0,1.0,9254.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,0.0,0.0,6.0,12.0,3.0,0.0,0.0,6.0,9.0,5.0,0.0,1
128.0,121.0,16.2,0.3,-0.92,1.0,1.0,2.0,9147.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,20.0,0.0,0.0,5.0,6.0,5.0,0.0,0.0,5.0,10.0,5.0,3.0,1
149.0,138.0,9.4,-0.8,-3.12,1.0,1.0,1.0,9500.0,1.0,1.0,1.0,37.0,37.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,8.0,11.0,6.0,1.0,0.0,8.0,11.0,6.0,1.0,1
133.1,131.3,8.9,1.4,3.51,1.0,1.0,3.0,9773.0,1.0,1.0,1.0,38.0,38.0,5.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,2
122.0,112.6,12.4,0.5,1.79,1.0,1.0,1.0,9238.0,1.0,1.0,1.0,19.0,19.0,193.0,194.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
130.0,130.0,16.2,0.3,-0.92,1.0,7.0,1.0,9991.0,0.0,3.0,1.0,19.0,19.0,3.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,5.0,12.0,4.0,0.0,0.0,5.0,9.0,2.0,0.0,0
145.0,145.0,12.4,0.5,1.79,1.0,1.0,1.0,9500.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,7.0,7.0,6.0,0.0,0.0,8.0,16.0,0.0,1.0,0
120.0,134.4,15.5,2.8,-4.06,1.0,43.0,1.0,9003.0,1.0,1.0,1.0,1.0,1.0,4.0,10.0,0.0,0.0,0.0,1.0,1.0,0.0,24.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,6.0,10.0,6.0,0.0,0
133.1,106.0,7.6,2.6,0.32,4.0,43.0,1.0,8014.0,0.0,12.0,1.0,34.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,48.0,0.0,0.0,6.0,9.0,5.0,0.0,0.0,6.0,10.0,4.0,0.0,1
150.0,138.5,12.7,3.7,-1.7,1.0,39.0,1.0,9991.0,0.0,1.0,1.0,19.0,37.0,9.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,5.0,10.0,4.0,0.0,0.0,5.0,9.0,4.0,0.0,1
133.0,123.6,13.9,-0.3,0.79,1.0,17.0,2.0,9238.0,1.0,1.0,1.0,37.0,37.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,2
122.0,114.3,11.1,0.6,2.02,1.0,1.0,6.0,9500.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,7.0,8.0,6.0,0.0,0.0,8.0,12.0,6.0,1.0,1
140.0,100.0,12.7,3.7,-1.7,2.0,43.0,1.0,9991.0,0.0,1.0,1.0,37.0,37.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,2.0,6.0,10.0,4.0,0.0,0.0,5.0,6.0,1.0,0.0,0
133.1,108.0,16.2,0.3,-0.92,1.0,1.0,1.0,9238.0,1.0,1.0,1.0,38.0,37.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,6.0,8.0,6.0,0.0,0.0,6.0,7.0,6.0,0.0,2
151.0,161.9,13.9,-0.3,0.79,1.0,1.0,1.0,171.0,1.0,1.0,41.0,3.0,3.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
135.0,126.3,15.5,2.8,-4.06,1.0,1.0,3.0,9500.0,1.0,1.0,1.0,38.0,19.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,18.0,0.0,0.0,7.0,8.0,7.0,0.0,0.0,8.0,9.0,8.0,0.0,2
145.0,143.6,8.9,1.4,3.51,1.0,17.0,1.0,171.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,19.0,0.0,5.0,12.0,12.0,10.0,0.0,4.0,11.0,16.0,10.0,0.0,1
132.0,127.1,8.9,1.4,3.51,1.0,1.0,1.0,9238.0,1.0,1.0,1.0,1.0,38.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,6.0,9.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,2
143.0,130.6,13.9,-0.3,0.79,1.0,17.0,5.0,9500.0,1.0,1.0,1.0,38.0,1.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,7.0,8.0,7.0,0.0,0.0,8.0,9.0,8.0,0.0,2
150.0,150.0,13.9,-0.3,0.79,1.0,44.0,1.0,9085.0,1.0,39.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,2.0,6.0,7.0,6.0,0.0,1.0,6.0,9.0,5.0,0.0,2
160.0,161.0,10.8,1.4,1.74,1.0,42.0,1.0,9500.0,1.0,1.0,1.0,37.0,38.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,1.0,22.0,0.0,0.0,8.0,8.0,7.0,0.0,0.0,8.0,8.0,7.0,0.0,2
143.0,133.6,9.4,-0.8,-3.12,1.0,1.0,1.0,9238.0,1.0,1.0,1.0,38.0,34.0,9.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,9.0,5.0,0.0,0.0,6.0,8.0,5.0,0.0,2
100.0,100.0,7.6,2.6,0.32,2.0,39.0,1.0,9773.0,1.0,12.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,2
152.0,137.8,11.1,0.6,2.02,1.0,1.0,1.0,9500.0,1.0,1.0,1.0,41.0,19.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,8.0,9.0,8.0,0.0,2
120.0,128.2,10.8,1.4,1.74,1.0,43.0,1.0,9991.0,0.0,1.0,1.0,37.0,37.0,9.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,5.0,9.0,9.0,5.0,0.0,4.0,4.0,4.0,4.0,0.0,0
145.0,140.1,8.9,1.4,3.51,1.0,1.0,3.0,171.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,6.0,12.0,12.0,12.0,0.0,4.0,11.0,14.0,11.0,0.0,2
128.0,117.9,10.8,1.4,1.74,1.0,17.0,4.0,9085.0,1.0,1.0,1.0,38.0,37.0,4.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,12.0,2.0,0.0,0.0,5.0,12.0,5.0,1.0,2
130.0,126.5,15.5,2.8,-4.06,1.0,1.0,1.0,9085.0,1.0,1.0,1.0,37.0,37.0,9.0,6.0,1.0,0.0,0.0,1.0,0.0,1.0,18.0,0.0,0.0,6.0,13.0,6.0,0.0,0.0,6.0,8.0,6.0,0.0,2
123.0,123.7,15.5,2.8,-4.06,1.0,18.0,4.0,9853.0,1.0,1.0,1.0,19.0,38.0,4.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,8.0,5.0,0.0,0.0,6.0,8.0,5.0,0.0,1
137.0,132.8,10.8,1.4,1.74,1.0,1.0,1.0,9238.0,1.0,1.0,1.0,19.0,1.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,8.0,6.0,0.0,2
119.0,118.3,15.5,2.8,-4.06,1.0,17.0,4.0,9773.0,1.0,1.0,1.0,38.0,19.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,8.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0
129.0,136.4,7.6,2.6,0.32,1.0,1.0,2.0,9070.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,0.0,1
120.0,113.0,10.8,1.4,1.74,1.0,17.0,1.0,8014.0,0.0,1.0,1.0,38.0,37.0,6.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,6.0,11.0,4.0,0.0,0.0,6.0,7.0,6.0,0.0,2
150.0,146.0,12.7,3.7,-1.7,2.0,39.0,1.0,9991.0,0.0,1.0,1.0,1.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,1
140.0,140.0,12.4,0.5,1.79,1.0,44.0,1.0,9085.0,1.0,39.0,1.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,6.0,10.0,5.0,0.0,0.0,6.0,19.0,4.0,0.0,1
130.0,140.2,16.2,0.3,-0.92,1.0,17.0,1.0,9773.0,1.0,1.0,1.0,19.0,37.0,9.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,7.0,6.0,0.0,2
121.0,114.9,12.4,0.5,1.79,1.0,1.0,1.0,9500.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,0.0,0.0,7.0,9.0,6.0,0.0,0.0,8.0,10.0,7.0,0.0,2
108.0,105.9,11.1,0.6,2.02,1.0,1.0,2.0,9147.0,1.0,1.0,1.0,1.0,19.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,21.0,0.0,0.0,5.0,9.0,4.0,0.0,0.0,5.0,6.0,5.0,0.0,2
121.0,118.9,11.1,0.6,2.02,1.0,1.0,2.0,9773.0,1.0,1.0,1.0,1.0,19.0,9.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,10.0,5.0,0.0,2
131.0,132.3,7.6,2.6,0.32,1.0,17.0,1.0,9500.0,1.0,1.0,1.0,2.0,38.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,7.0,7.0,6.0,0.0,0.0,7.0,7.0,6.0,0.0,2
121.0,115.4,15.5,2.8,-4.06,1.0,1.0,1.0,9130.0,1.0,1.0,1.0,3.0,19.0,2.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,6.0,8.0,6.0,0.0,0.0,6.0,7.0,5.0,0.0,0
141.0,100.0,8.9,1.4,3.51,1.0,51.0,1.0,9991.0,0.0,1.0,1.0,19.0,38.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,0.0,1.0,5.0,9.0,4.0,0.0,1.0,5.0,5.0,5.0,0.0,2
135.0,121.7,8.9,1.4,3.51,1.0,17.0,3.0,9119.0,1.0,1.0,1.0,1.0,19.0,141.0,193.0,1.0,0.0,0.0,1.0,1.0,0.0,18.0,0.0,0.0,5.0,7.0,5.0,0.0,0.0,5.0,9.0,3.0,0.0,1
150.0,100.0,13.9,-0.3,0.79,1.0,39.0,1.0,9085.0,1.0,1.0,1.0,19.0,19.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,0.0,1.0,6.0,11.0,5.0,0.0,1.0,6.0,12.0,1.0,0.0,0
134.0,122.5,15.5,2.8,-4.06,1.0,17.0,1.0,9853.0,1.0,1.0,1.0,1.0,19.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,0.0,0.0,6.0,10.0,5.0,0.0,0.0,6.0,8.0,5.0,0.0,1
120.0,120.0,16.2,0.3,-0.92,1.0,44.0,1.0,9070.0,1.0,39.0,1.0,19.0,1.0,9.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,23.0,0.0,2.0,7.0,8.0,5.0,0.0,5.0,9.0,10.0,7.0,1.0,0
133.1,119.0,10.8,1.4,1.74,6.0,39.0,1.0,8014.0,0.0,1.0,1.0,37.0,37.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,48.0,0.0,0.0,6.0,7.0,6.0,0.0,0.0,6.0,9.0,5.0,0.0,1
130.0,150.0,11.1,0.6,2.02,1.0,39.0,1.0,9003.0,1.0,1.0,1.0,38.0,38.0,9.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,0.0,5.0,11.0,14.0,11.0,0.0,5.0,10.0,11.0,10.0,0.0,0
120.0,128.2,7.6,2.6,0.32,1.0,42.0,1.0,9119.0,1.0,6.0,1.0,35.0,35.0,6.0,6.0,1.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,4.0,6.0,8.0,4.0,0.0,1.0,5.0,8.0,2.0,0.0,0
128.0,120.0,12.4,0.5,1.79,1.0,1.0,1.0,9254.0,1.0,1.0,1.0,19.0,19.0,7.0,8.0,1.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,6.0,7.0,5.0,0.0,1
133.1,130.0,9.4,-0.8,-3.12,2.0,39.0,1.0,8014.0,0.0,19.0,1.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,38.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0
