value,rent,ftotinc,momloc,famsize,nchild,eldch,yngch,nsibs,age,occscore,sei,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,label
18750.0,0.0,16250.0,0.0,7.0,0.0,99.0,99.0,0.0,10.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,296.0,0
22500.0,0.0,2650.0,0.0,3.0,1.0,23.0,23.0,0.0,56.0,23.0,19.0,2150.0,0.0,1050.0,0.0,1050.0,0.0,0.0,92.0,1
22500.0,0.0,20950.0,2.0,7.0,0.0,99.0,99.0,4.0,21.0,25.0,44.0,3750.0,2750.0,0.0,0.0,0.0,0.0,950.0,345.0,1
999999.0,62.0,7350.0,2.0,7.0,0.0,99.0,99.0,4.0,13.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,134.0,0
16250.0,0.0,10850.0,0.0,4.0,1.0,47.0,47.0,0.0,70.0,24.0,47.0,3350.0,1450.0,0.0,0.0,1850.0,0.0,0.0,287.0,1
999999.0,60.0,7050.0,0.0,7.0,5.0,10.0,3.0,0.0,32.0,20.0,8.0,6050.0,6050.0,0.0,0.0,0.0,0.0,0.0,128.0,1
42500.0,0.0,17050.0,0.0,1.0,0.0,99.0,99.0,0.0,51.0,32.0,39.0,17050.0,0.0,0.0,0.0,0.0,0.0,17050.0,501.0,1
999999.0,0.0,7350.0,0.0,2.0,0.0,99.0,99.0,0.0,35.0,6.0,7.0,6050.0,6050.0,0.0,0.0,0.0,0.0,0.0,299.0,1
18750.0,0.0,3750.0,0.0,3.0,0.0,99.0,99.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0
30000.0,0.0,20150.0,0.0,2.0,0.0,99.0,99.0,0.0,50.0,25.0,18.0,20150.0,12850.0,0.0,0.0,0.0,0.0,7250.0,501.0,1
30000.0,0.0,8050.0,2.0,8.0,0.0,99.0,99.0,5.0,13.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,133.0,0
999999.0,0.0,2250.0,0.0,2.0,0.0,99.0,99.0,0.0,83.0,0.0,0.0,1850.0,0.0,0.0,0.0,750.0,1050.0,0.0,101.0,0
999999.0,90.0,3650.0,1.0,6.0,0.0,99.0,99.0,4.0,11.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,76.0,0
30000.0,0.0,12050.0,0.0,6.0,4.0,17.0,1.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,0
999999.0,75.0,9950.0,2.0,6.0,0.0,99.0,99.0,3.0,0.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,203.0,0
30000.0,0.0,10850.0,0.0,2.0,0.0,99.0,99.0,0.0,61.0,41.0,68.0,10850.0,10750.0,0.0,0.0,0.0,0.0,50.0,442.0,1
999999.0,0.0,0.0,0.0,3.0,1.0,44.0,44.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
22500.0,0.0,12350.0,0.0,4.0,2.0,20.0,9.0,0.0,45.0,39.0,81.0,9750.0,9750.0,0.0,0.0,0.0,0.0,0.0,321.0,1
999999.0,45.0,1850.0,0.0,1.0,0.0,99.0,99.0,0.0,64.0,0.0,0.0,1850.0,0.0,0.0,0.0,0.0,1850.0,0.0,97.0,0
42500.0,0.0,45150.0,0.0,3.0,1.0,9.0,9.0,0.0,43.0,41.0,68.0,40050.0,40050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
18750.0,0.0,7050.0,0.0,5.0,3.0,13.0,11.0,0.0,39.0,22.0,18.0,7050.0,6050.0,0.0,0.0,0.0,0.0,950.0,161.0,1
30000.0,0.0,16150.0,0.0,3.0,1.0,15.0,15.0,0.0,49.0,22.0,52.0,14050.0,14050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,160.0,7150.0,0.0,3.0,2.0,20.0,10.0,0.0,44.0,23.0,18.0,6050.0,0.0,0.0,0.0,0.0,0.0,6050.0,242.0,1
999999.0,75.0,1250.0,1.0,3.0,0.0,99.0,99.0,1.0,2.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,42.0,0
18750.0,0.0,18450.0,0.0,2.0,0.0,99.0,99.0,0.0,57.0,15.0,13.0,7150.0,6550.0,0.0,0.0,0.0,0.0,550.0,501.0,1
999999.0,125.0,11250.0,0.0,1.0,0.0,99.0,99.0,0.0,57.0,23.0,18.0,11250.0,11050.0,0.0,0.0,0.0,0.0,150.0,501.0,1
999999.0,0.0,999999.0,0.0,1.0,0.0,99.0,99.0,0.0,27.0,0.0,0.0,2150.0,0.0,0.0,0.0,0.0,0.0,2150.0,0.0,0
30000.0,0.0,14950.0,0.0,3.0,1.0,35.0,35.0,0.0,63.0,21.0,45.0,3150.0,0.0,0.0,0.0,1050.0,0.0,2050.0,501.0,0
999999.0,130.0,5250.0,0.0,1.0,0.0,99.0,99.0,0.0,58.0,25.0,44.0,5250.0,5250.0,0.0,0.0,0.0,0.0,0.0,275.0,1
30000.0,0.0,7450.0,0.0,2.0,0.0,99.0,99.0,0.0,65.0,0.0,0.0,550.0,0.0,0.0,0.0,550.0,0.0,0.0,336.0,0
999999.0,175.0,15450.0,2.0,6.0,0.0,99.0,99.0,3.0,8.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,315.0,0
30000.0,0.0,15050.0,2.0,4.0,0.0,99.0,99.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,0
18750.0,0.0,13150.0,0.0,5.0,3.0,14.0,3.0,0.0,37.0,30.0,44.0,8050.0,8050.0,0.0,0.0,0.0,0.0,0.0,300.0,1
999999.0,130.0,5450.0,0.0,1.0,0.0,99.0,99.0,0.0,27.0,23.0,18.0,5450.0,5450.0,0.0,0.0,0.0,0.0,0.0,286.0,1
22500.0,0.0,22050.0,0.0,5.0,3.0,12.0,5.0,0.0,44.0,40.0,72.0,22050.0,22050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,65.0,1150.0,0.0,1.0,0.0,99.0,99.0,0.0,76.0,0.0,0.0,1150.0,0.0,0.0,0.0,0.0,1150.0,0.0,65.0,0
999999.0,0.0,999999.0,0.0,1.0,0.0,99.0,99.0,0.0,25.0,32.0,34.0,9050.0,9050.0,0.0,0.0,0.0,0.0,0.0,0.0,0
999999.0,55.0,3550.0,0.0,2.0,1.0,11.0,11.0,0.0,34.0,20.0,8.0,3550.0,3450.0,0.0,0.0,0.0,0.0,50.0,140.0,1
999999.0,90.0,14150.0,0.0,3.0,1.0,2.0,2.0,0.0,22.0,22.0,61.0,5550.0,5550.0,0.0,0.0,0.0,0.0,0.0,479.0,1
16250.0,0.0,6050.0,0.0,2.0,0.0,99.0,99.0,0.0,59.0,34.0,53.0,6050.0,6050.0,0.0,0.0,0.0,0.0,0.0,246.0,1
22500.0,0.0,21850.0,0.0,3.0,1.0,22.0,22.0,0.0,54.0,36.0,66.0,16650.0,15050.0,0.0,0.0,0.0,0.0,1550.0,501.0,1
999999.0,85.0,4550.0,2.0,7.0,0.0,99.0,99.0,4.0,7.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,83.0,0
999999.0,135.0,14650.0,0.0,2.0,0.0,99.0,99.0,0.0,47.0,25.0,44.0,8550.0,8550.0,0.0,0.0,0.0,0.0,0.0,501.0,1
30000.0,0.0,14450.0,0.0,3.0,1.0,17.0,17.0,0.0,39.0,42.0,72.0,14150.0,14050.0,0.0,0.0,0.0,0.0,50.0,489.0,1
18750.0,0.0,5350.0,0.0,2.0,0.0,99.0,99.0,0.0,82.0,40.0,77.0,3750.0,1250.0,0.0,0.0,1550.0,0.0,950.0,241.0,1
30000.0,0.0,10850.0,0.0,4.0,2.0,14.0,10.0,0.0,34.0,19.0,17.0,1950.0,1950.0,0.0,0.0,0.0,0.0,0.0,292.0,1
999999.0,100.0,2250.0,0.0,1.0,0.0,99.0,99.0,0.0,21.0,11.0,16.0,1750.0,1750.0,0.0,0.0,0.0,0.0,0.0,92.0,0
999999.0,150.0,7150.0,8.0,8.0,5.0,16.0,1.0,0.0,45.0,41.0,68.0,6350.0,0.0,5650.0,0.0,0.0,0.0,650.0,115.0,1
999999.0,0.0,7350.0,2.0,4.0,0.0,99.0,99.0,1.0,30.0,20.0,8.0,4650.0,4650.0,0.0,0.0,0.0,0.0,0.0,194.0,0
30000.0,0.0,14250.0,2.0,4.0,0.0,99.0,99.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,377.0,0
30000.0,0.0,49350.0,0.0,7.0,3.0,15.0,9.0,0.0,39.0,39.0,81.0,14050.0,14050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,105.0,16350.0,0.0,4.0,1.0,2.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.0,0
22500.0,0.0,9150.0,0.0,3.0,1.0,39.0,39.0,0.0,63.0,23.0,16.0,1150.0,0.0,350.0,0.0,0.0,0.0,750.0,319.0,1
999999.0,250.0,10050.0,0.0,5.0,3.0,12.0,5.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0
22500.0,0.0,17050.0,2.0,5.0,0.0,99.0,99.0,2.0,0.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,389.0,0
999999.0,100.0,19750.0,0.0,3.0,1.0,9.0,9.0,0.0,54.0,21.0,9.0,12050.0,12050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,0.0,46050.0,2.0,4.0,0.0,99.0,99.0,1.0,21.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,125.0,8050.0,0.0,1.0,0.0,99.0,99.0,0.0,35.0,34.0,67.0,8050.0,8050.0,0.0,0.0,0.0,0.0,0.0,422.0,1
999999.0,100.0,6350.0,0.0,3.0,1.0,2.0,2.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215.0,0
999999.0,0.0,6050.0,2.0,4.0,0.0,99.0,99.0,1.0,2.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,163.0,0
999999.0,100.0,9750.0,0.0,5.0,3.0,17.0,4.0,0.0,40.0,29.0,22.0,9350.0,9350.0,0.0,0.0,0.0,0.0,0.0,223.0,1
999999.0,65.0,1150.0,0.0,1.0,0.0,99.0,99.0,0.0,55.0,22.0,61.0,1150.0,0.0,0.0,0.0,0.0,0.0,1150.0,60.0,1
22500.0,0.0,10150.0,0.0,4.0,2.0,8.0,2.0,0.0,31.0,26.0,32.0,8050.0,8050.0,0.0,0.0,0.0,0.0,0.0,273.0,1
18750.0,0.0,11150.0,0.0,5.0,0.0,99.0,99.0,3.0,14.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,259.0,0
999999.0,0.0,17150.0,0.0,2.0,0.0,99.0,99.0,0.0,30.0,29.0,27.0,12050.0,12050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,35.0,1950.0,0.0,2.0,0.0,99.0,99.0,0.0,85.0,0.0,0.0,950.0,0.0,0.0,0.0,950.0,0.0,0.0,88.0,0
30000.0,0.0,15050.0,0.0,2.0,0.0,99.0,99.0,0.0,46.0,42.0,72.0,10350.0,10050.0,0.0,0.0,0.0,0.0,250.0,501.0,1
999999.0,105.0,4550.0,0.0,2.0,0.0,99.0,99.0,1.0,65.0,0.0,0.0,2350.0,0.0,0.0,0.0,1050.0,0.0,1250.0,205.0,0
30000.0,0.0,20450.0,2.0,3.0,0.0,99.0,99.0,0.0,15.0,6.0,7.0,450.0,450.0,0.0,0.0,0.0,0.0,0.0,501.0,1
22500.0,0.0,22150.0,0.0,2.0,0.0,99.0,99.0,0.0,44.0,25.0,15.0,13650.0,13050.0,0.0,0.0,0.0,0.0,550.0,501.0,0
999999.0,0.0,22450.0,0.0,3.0,1.0,19.0,19.0,0.0,51.0,45.0,82.0,22150.0,20050.0,0.0,0.0,0.0,0.0,2050.0,501.0,1
18750.0,0.0,7150.0,2.0,6.0,0.0,99.0,99.0,3.0,1.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,146.0,0
999999.0,65.0,5750.0,0.0,2.0,1.0,36.0,36.0,0.0,64.0,22.0,18.0,3650.0,3650.0,0.0,0.0,0.0,0.0,0.0,234.0,0
999999.0,165.0,13050.0,0.0,2.0,0.0,99.0,99.0,0.0,28.0,36.0,66.0,4050.0,4050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,245.0,20050.0,0.0,2.0,0.0,99.0,99.0,0.0,26.0,22.0,61.0,3350.0,3350.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,90.0,450.0,1.0,3.0,0.0,99.0,99.0,1.0,3.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,15.0,0
50000.0,0.0,46950.0,0.0,3.0,1.0,18.0,18.0,0.0,51.0,25.0,31.0,45650.0,44050.0,0.0,0.0,0.0,0.0,1550.0,501.0,1
999999.0,0.0,999999.0,0.0,1.0,0.0,99.0,99.0,0.0,75.0,0.0,0.0,550.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0
18750.0,0.0,14750.0,1.0,8.0,0.0,99.0,99.0,6.0,12.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,236.0,0
999999.0,150.0,750.0,0.0,2.0,0.0,99.0,99.0,1.0,19.0,20.0,8.0,750.0,750.0,0.0,0.0,0.0,0.0,0.0,31.0,1
30000.0,0.0,11550.0,0.0,9.0,6.0,15.0,3.0,0.0,48.0,23.0,18.0,11550.0,11550.0,0.0,0.0,0.0,0.0,0.0,157.0,1
30000.0,0.0,17250.0,0.0,6.0,1.0,35.0,35.0,0.0,63.0,17.0,15.0,650.0,0.0,0.0,0.0,0.0,0.0,650.0,341.0,1
30000.0,0.0,19950.0,3.0,3.0,1.0,34.0,34.0,0.0,69.0,0.0,0.0,8750.0,0.0,0.0,0.0,1350.0,0.0,7350.0,501.0,0
22500.0,0.0,13950.0,0.0,5.0,3.0,18.0,13.0,0.0,41.0,26.0,32.0,10450.0,10050.0,0.0,0.0,0.0,0.0,350.0,311.0,1
22500.0,0.0,18650.0,0.0,2.0,0.0,99.0,99.0,0.0,44.0,34.0,48.0,11050.0,11050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
22500.0,0.0,5050.0,0.0,3.0,1.0,0.0,0.0,0.0,23.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0
999999.0,100.0,6250.0,0.0,1.0,0.0,99.0,99.0,0.0,25.0,27.0,64.0,6250.0,6250.0,0.0,0.0,0.0,0.0,0.0,327.0,1
22500.0,0.0,8250.0,0.0,6.0,4.0,11.0,3.0,0.0,39.0,34.0,44.0,8250.0,8250.0,0.0,0.0,0.0,0.0,0.0,168.0,1
999999.0,105.0,3250.0,0.0,3.0,1.0,2.0,2.0,0.0,25.0,29.0,27.0,4450.0,5050.0,0.0,-6.0,0.0,0.0,0.0,110.0,1
22500.0,0.0,15550.0,2.0,5.0,0.0,99.0,99.0,2.0,14.0,11.0,11.0,450.0,450.0,0.0,0.0,0.0,0.0,0.0,355.0,1
18750.0,0.0,9350.0,0.0,5.0,3.0,13.0,9.0,0.0,43.0,25.0,36.0,8050.0,8050.0,0.0,0.0,0.0,0.0,0.0,214.0,1
999999.0,0.0,8450.0,2.0,4.0,0.0,99.0,99.0,1.0,9.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,227.0,0
50000.0,0.0,8550.0,0.0,1.0,0.0,99.0,99.0,0.0,73.0,25.0,44.0,8550.0,0.0,0.0,0.0,650.0,1250.0,6650.0,486.0,0
999999.0,110.0,4050.0,0.0,1.0,0.0,99.0,99.0,0.0,61.0,24.0,47.0,4050.0,4050.0,0.0,0.0,0.0,0.0,0.0,212.0,1
22500.0,0.0,8350.0,2.0,9.0,0.0,99.0,99.0,6.0,13.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,113.0,0
50000.0,0.0,15450.0,0.0,4.0,1.0,2.0,2.0,0.0,44.0,42.0,68.0,7550.0,7550.0,0.0,0.0,0.0,0.0,0.0,402.0,0
42500.0,0.0,16550.0,2.0,3.0,0.0,99.0,99.0,0.0,19.0,24.0,47.0,650.0,550.0,0.0,0.0,0.0,0.0,50.0,501.0,0
999999.0,85.0,9950.0,0.0,2.0,0.0,99.0,99.0,0.0,57.0,22.0,18.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,405.0,0
999999.0,130.0,10150.0,0.0,2.0,0.0,99.0,99.0,0.0,25.0,35.0,66.0,6050.0,6050.0,0.0,0.0,0.0,0.0,0.0,413.0,1
22500.0,0.0,15250.0,2.0,7.0,0.0,99.0,99.0,4.0,16.0,16.0,15.0,350.0,350.0,0.0,0.0,0.0,0.0,0.0,278.0,0
999999.0,185.0,11950.0,0.0,1.0,0.0,99.0,99.0,0.0,64.0,24.0,44.0,11950.0,6850.0,0.0,0.0,0.0,0.0,5050.0,501.0,0
999999.0,200.0,19150.0,0.0,4.0,2.0,11.0,6.0,0.0,33.0,22.0,51.0,9150.0,7050.0,0.0,0.0,0.0,0.0,2050.0,501.0,1
30000.0,0.0,43350.0,6.0,6.0,3.0,11.0,8.0,0.0,45.0,79.0,92.0,41150.0,0.0,40050.0,0.0,0.0,0.0,1050.0,501.0,1
999999.0,210.0,12150.0,0.0,3.0,1.0,19.0,19.0,0.0,46.0,24.0,47.0,3050.0,3050.0,0.0,0.0,0.0,0.0,0.0,423.0,1
16250.0,0.0,10150.0,2.0,3.0,0.0,99.0,99.0,0.0,28.0,20.0,8.0,6050.0,6050.0,0.0,0.0,0.0,0.0,0.0,354.0,1
30000.0,0.0,6650.0,0.0,4.0,0.0,99.0,99.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0
999999.0,185.0,10050.0,0.0,5.0,3.0,16.0,5.0,0.0,36.0,24.0,47.0,10050.0,0.0,10050.0,0.0,0.0,0.0,0.0,230.0,1
999999.0,117.0,7050.0,2.0,6.0,0.0,99.0,99.0,3.0,5.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,144.0,0
30000.0,0.0,20650.0,2.0,5.0,0.0,99.0,99.0,2.0,20.0,21.0,45.0,2250.0,2250.0,0.0,0.0,0.0,0.0,0.0,460.0,1
30000.0,0.0,14050.0,0.0,4.0,2.0,5.0,2.0,0.0,30.0,21.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,0
22500.0,0.0,11150.0,2.0,3.0,0.0,99.0,99.0,0.0,2.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,378.0,0
22500.0,0.0,13150.0,0.0,5.0,3.0,13.0,7.0,0.0,41.0,37.0,78.0,13150.0,13050.0,0.0,0.0,0.0,0.0,50.0,300.0,1
18750.0,0.0,10950.0,0.0,4.0,2.0,1.0,0.0,0.0,26.0,38.0,49.0,10950.0,10050.0,0.0,0.0,0.0,0.0,850.0,294.0,1
999999.0,175.0,3950.0,0.0,5.0,3.0,14.0,9.0,0.0,34.0,22.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0
22500.0,0.0,10650.0,0.0,3.0,1.0,12.0,12.0,0.0,38.0,23.0,18.0,9450.0,9250.0,0.0,0.0,0.0,0.0,150.0,361.0,1
18750.0,0.0,17950.0,0.0,3.0,1.0,28.0,28.0,0.0,52.0,11.0,16.0,2450.0,2450.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,65.0,1550.0,0.0,3.0,2.0,13.0,12.0,0.0,38.0,25.0,44.0,1550.0,1550.0,0.0,0.0,0.0,0.0,0.0,52.0,1
42500.0,0.0,24150.0,0.0,4.0,2.0,25.0,20.0,0.0,41.0,25.0,18.0,14550.0,14550.0,0.0,0.0,0.0,0.0,0.0,501.0,1
999999.0,150.0,10050.0,2.0,5.0,0.0,99.0,99.0,2.0,1.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,230.0,0
30000.0,0.0,10050.0,0.0,4.0,2.0,5.0,2.0,0.0,32.0,24.0,47.0,10050.0,10050.0,0.0,0.0,0.0,0.0,0.0,270.0,1
18750.0,0.0,12250.0,0.0,3.0,1.0,30.0,30.0,0.0,68.0,22.0,61.0,3050.0,0.0,0.0,0.0,1350.0,0.0,1650.0,427.0,0
30000.0,0.0,9650.0,2.0,4.0,0.0,99.0,99.0,1.0,7.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,259.0,0
999999.0,110.0,9150.0,2.0,7.0,0.0,99.0,99.0,3.0,7.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,161.0,0
22500.0,0.0,13750.0,2.0,7.0,0.0,99.0,99.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0
50000.0,0.0,50000.0,2.0,4.0,0.0,99.0,99.0,1.0,19.0,17.0,11.0,1050.0,1050.0,0.0,0.0,0.0,0.0,0.0,501.0,1
50000.0,0.0,24250.0,2.0,6.0,0.0,99.0,99.0,3.0,7.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,495.0,0
999999.0,165.0,17250.0,0.0,2.0,1.0,9.0,9.0,0.0,39.0,61.0,93.0,17250.0,15950.0,0.0,0.0,1250.0,0.0,0.0,501.0,1
999999.0,65.0,5650.0,0.0,2.0,1.0,29.0,29.0,0.0,54.0,27.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,0
22500.0,0.0,9550.0,2.0,4.0,0.0,99.0,99.0,1.0,1.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,257.0,0
30000.0,0.0,19050.0,0.0,1.0,0.0,99.0,99.0,0.0,32.0,45.0,82.0,19050.0,18750.0,0.0,0.0,0.0,0.0,250.0,501.0,1
30000.0,0.0,15350.0,2.0,4.0,0.0,99.0,99.0,1.0,6.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,413.0,0
30000.0,0.0,23050.0,0.0,3.0,1.0,5.0,5.0,0.0,39.0,26.0,72.0,12550.0,12050.0,0.0,0.0,0.0,0.0,450.0,501.0,1
42500.0,0.0,29050.0,0.0,3.0,1.0,18.0,18.0,0.0,44.0,41.0,68.0,26350.0,21250.0,0.0,0.0,0.0,0.0,5050.0,501.0,1
30000.0,0.0,19450.0,2.0,5.0,0.0,99.0,99.0,2.0,3.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,444.0,0
42500.0,0.0,7550.0,2.0,12.0,1.0,0.0,0.0,7.0,18.0,0.0,0.0,850.0,0.0,0.0,0.0,0.0,850.0,0.0,102.0,0
16250.0,0.0,4950.0,0.0,2.0,0.0,99.0,99.0,0.0,65.0,22.0,61.0,3150.0,1650.0,0.0,0.0,1450.0,0.0,0.0,223.0,0
18750.0,0.0,10150.0,0.0,1.0,0.0,99.0,99.0,0.0,54.0,25.0,23.0,10150.0,0.0,9050.0,0.0,0.0,0.0,1050.0,501.0,1
999999.0,105.0,2350.0,0.0,1.0,0.0,99.0,99.0,0.0,82.0,0.0,0.0,2350.0,0.0,0.0,0.0,1050.0,1250.0,0.0,134.0,0
999999.0,265.0,18150.0,2.0,3.0,0.0,99.0,99.0,0.0,12.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,501.0,0
999999.0,134.0,7650.0,0.0,3.0,1.0,2.0,2.0,0.0,24.0,30.0,27.0,7650.0,7650.0,0.0,0.0,0.0,0.0,0.0,259.0,1
22500.0,0.0,10350.0,0.0,3.0,1.0,13.0,13.0,0.0,53.0,38.0,49.0,7950.0,7950.0,0.0,0.0,0.0,0.0,0.0,350.0,1
50000.0,0.0,18550.0,0.0,4.0,0.0,99.0,99.0,0.0,6.0,0.0,0.0,999999.0,999999.0,999999.0,999999.0,99999.0,99999.0,99999.0,482.0,0
18750.0,0.0,13650.0,0.0,4.0,2.0,6.0,1.0,0.0,31.0,33.0,62.0,13650.0,12450.0,0.0,0.0,0.0,0.0,1150.0,367.0,1
