N1,N2,N3,N4,N5,N6,C1,C2,C3,C4,label
7,1,287,4,9,1150,F,Flight,medium,M,1
3,5,198,4,10,4829,C,Ship,low,F,0
4,3,271,4,24,3499,B,Ship,low,F,1
5,4,255,6,3,4638,F,Ship,low,M,0
3,4,153,10,4,5456,D,Flight,medium,F,1
4,3,225,5,1,1755,B,Flight,low,M,0
3,2,226,3,11,3708,D,Ship,low,M,1
6,4,121,5,23,1734,A,Ship,low,M,1
5,5,255,4,3,3440,F,Ship,medium,M,1
3,2,260,4,3,4423,C,Ship,high,F,0
4,5,198,2,51,2820,F,Ship,medium,M,1
3,2,209,2,2,4635,B,Ship,medium,F,0
4,4,176,3,53,1472,F,Ship,medium,M,1
5,1,262,5,9,1893,C,Ship,medium,F,0
4,5,251,5,10,1683,F,Ship,medium,M,1
3,4,156,3,4,4519,C,Flight,medium,M,1
4,4,218,2,3,5692,B,Road,medium,F,1
5,4,97,6,7,5509,B,Ship,high,M,1
3,5,193,3,9,4982,F,Ship,medium,F,0
5,1,236,5,10,1961,F,Road,medium,M,0
3,2,227,2,10,4290,F,Flight,medium,M,0
3,5,202,2,4,3372,F,Flight,low,F,1
6,1,286,4,3,1747,B,Road,low,F,1
3,5,181,4,1,5812,C,Ship,low,F,0
5,3,256,6,3,1441,C,Road,medium,M,0
5,2,226,5,5,1323,C,Ship,medium,M,0
4,5,275,5,6,4450,B,Ship,low,F,0
4,5,169,2,10,4248,F,Ship,low,F,0
4,1,173,2,5,4688,A,Ship,low,M,0
4,5,239,5,6,1336,D,Ship,low,M,0
4,4,197,3,41,3280,F,Road,medium,F,1
5,3,248,5,7,1475,F,Flight,low,F,1
4,2,229,3,6,5691,C,Ship,low,F,1
3,1,219,2,39,2696,F,Ship,low,F,1
5,4,235,4,5,4506,F,Flight,low,M,0
3,1,245,3,4,5449,A,Flight,low,F,0
3,4,200,3,49,2942,B,Road,medium,F,1
3,5,113,2,19,1660,D,Ship,low,F,1
4,5,268,2,46,3076,F,Ship,medium,M,1
7,3,286,4,5,1866,B,Ship,low,F,1
4,1,233,2,9,4799,B,Flight,low,M,1
7,3,281,4,4,1480,D,Road,low,F,0
3,3,165,3,4,5924,F,Ship,medium,F,1
5,2,190,2,1,5005,B,Ship,low,M,0
4,4,155,3,35,1421,A,Ship,medium,F,1
4,2,272,2,21,3271,F,Ship,low,M,1
5,3,209,2,49,2581,D,Ship,high,F,1
5,3,203,2,4,4311,A,Road,medium,M,1
5,5,265,6,4,1937,D,Ship,low,M,1
3,2,141,3,7,4682,D,Ship,low,M,0
4,2,180,3,22,1261,D,Ship,low,M,1
6,1,276,2,10,5108,D,Ship,low,M,0
5,2,239,5,6,1310,F,Road,medium,F,1
4,3,261,3,9,5994,C,Ship,low,F,1
2,1,188,2,5,5250,A,Road,low,M,0
6,3,244,5,1,1847,D,Ship,medium,F,1
5,3,186,4,11,3676,D,Ship,medium,F,1
4,1,254,5,7,1003,F,Ship,low,F,0
2,4,142,3,2,5700,F,Flight,high,M,0
4,3,154,10,7,5317,F,Ship,high,M,0
3,1,183,3,51,3863,D,Ship,medium,F,1
4,2,233,3,3,5740,C,Road,low,F,1
4,2,262,3,6,5381,F,Flight,low,M,0
5,5,267,3,9,4775,B,Flight,medium,M,1
5,2,228,5,6,1726,C,Ship,low,M,1
2,3,263,3,10,5997,A,Road,low,M,0
6,4,309,4,9,1771,B,Ship,low,M,1
4,5,222,3,7,5844,F,Road,medium,F,0
4,2,173,3,1,5128,B,Flight,medium,F,0
5,3,139,2,3,5261,F,Ship,medium,F,0
4,2,201,3,6,5616,F,Ship,medium,F,1
5,2,151,6,12,1920,F,Ship,medium,M,1
6,5,268,4,2,1462,A,Ship,medium,M,0
4,1,231,3,5,4118,D,Ship,medium,M,1
5,3,141,2,4,5257,D,Road,medium,M,0
4,1,228,2,9,4091,C,Ship,medium,F,0
2,1,211,3,6,1760,A,Ship,low,M,1
4,2,194,4,26,3818,C,Ship,medium,F,1
4,2,241,6,5,4880,C,Ship,medium,M,1
2,4,194,2,4,4803,A,Ship,low,F,1
3,2,219,3,1,4918,D,Ship,medium,M,1
3,2,214,2,26,3503,A,Ship,low,M,1
4,1,214,5,51,2669,A,Ship,medium,M,1
3,1,236,3,28,3290,B,Ship,medium,M,1
3,1,158,5,4,1171,B,Ship,low,M,1
4,3,192,4,7,4949,D,Flight,high,M,0
4,4,213,2,27,2938,C,Ship,low,F,1
4,3,246,3,5,4384,D,Ship,low,M,0
6,2,269,4,3,1665,A,Ship,medium,F,0
4,5,271,4,6,5078,D,Ship,low,M,0
5,3,206,4,1,4583,F,Ship,high,F,0
2,5,150,3,16,1738,A,Ship,low,F,1
6,4,254,5,10,1435,F,Ship,medium,F,0
4,2,267,5,9,4720,B,Ship,low,M,1
4,2,259,5,2,1054,D,Ship,medium,F,0
5,5,257,4,31,2040,B,Ship,medium,M,1
6,2,251,4,9,1322,D,Road,medium,F,1
4,1,222,3,45,3158,F,Ship,medium,M,1
4,5,163,3,4,5863,F,Ship,high,M,0
5,5,243,2,5,4709,F,Ship,medium,F,0
3,5,228,4,7,4068,D,Ship,low,F,1
2,5,189,2,9,5245,D,Ship,low,M,0
4,1,140,2,60,1950,C,Ship,low,M,1
5,5,246,5,6,1911,A,Ship,low,F,0
3,5,225,3,1,2864,F,Ship,low,F,1
4,2,202,4,1,3602,B,Road,low,F,1
3,3,229,7,4,5075,D,Ship,high,F,1
5,5,243,5,2,1817,F,Ship,medium,M,0
5,1,161,3,47,1954,F,Ship,low,M,1
6,1,213,3,63,1548,F,Ship,low,M,1
7,1,285,4,2,1516,C,Ship,low,M,0
2,3,219,4,9,4086,C,Ship,low,F,0
5,5,246,5,6,1300,C,Flight,low,F,0
4,3,227,3,10,5782,D,Ship,medium,M,1
4,2,271,3,4,5902,A,Ship,medium,F,0
4,2,238,3,30,3423,B,Flight,low,M,1
3,4,174,2,4,4295,D,Road,low,F,1
3,4,217,2,9,5450,B,Flight,medium,F,0
2,2,152,4,6,4606,C,Ship,low,M,1
4,5,153,3,10,1183,F,Road,low,M,1
5,2,151,3,20,1395,F,Flight,medium,M,1
3,2,141,3,41,1801,F,Ship,medium,F,1
3,5,169,3,13,1934,F,Flight,medium,M,1
5,5,221,3,9,5295,F,Road,medium,M,0
5,5,176,3,8,5335,A,Road,medium,F,1
4,1,243,3,9,4277,F,Road,high,F,0
4,1,200,2,9,4808,A,Flight,low,F,1
4,1,153,7,4,5761,B,Ship,medium,F,1
6,5,302,4,7,1592,D,Flight,low,F,0
4,2,256,4,4,5469,B,Ship,medium,M,0
4,1,233,2,60,2671,B,Ship,medium,F,1
4,2,157,3,48,1393,F,Ship,low,F,1
5,2,157,3,1,1798,B,Ship,low,M,1
4,2,179,4,1,1063,F,Ship,low,M,1
3,2,141,2,7,5231,D,Ship,medium,F,0
4,3,256,3,15,3155,F,Road,low,F,1
5,5,264,3,3,5835,F,Ship,high,F,1
4,1,200,2,5,5072,D,Ship,low,M,1
3,3,271,2,8,4444,F,Ship,low,F,1
7,1,247,4,6,1297,F,Ship,medium,M,1
4,4,255,6,5,1708,F,Ship,low,M,1
5,5,237,3,5,4285,B,Road,medium,M,1
4,1,225,5,3,1488,B,Ship,low,M,0
4,4,233,2,1,5320,F,Ship,high,F,0
5,2,151,4,12,1145,F,Ship,low,M,1
3,4,149,3,1,5040,F,Flight,low,M,1
5,3,210,2,19,3920,A,Ship,low,M,1
4,1,178,3,3,5520,B,Ship,high,M,1
5,5,143,2,18,1066,C,Ship,high,F,1
3,2,273,3,2,4948,F,Flight,medium,F,0
5,4,222,3,7,5340,F,Ship,low,M,0
6,2,235,5,5,1051,C,Road,low,F,1
4,5,223,5,4,4704,A,Ship,medium,M,0
4,1,231,5,10,1144,A,Road,medium,F,0
4,2,232,3,46,2835,F,Ship,high,M,1
4,4,196,3,5,5514,F,Flight,low,M,0
5,4,262,6,1,1177,A,Road,medium,F,0
4,2,255,5,7,1378,A,Ship,low,F,0
5,2,221,6,4,1952,F,Road,medium,M,1
5,1,175,3,64,1110,A,Ship,medium,F,1
3,2,149,5,9,4310,F,Ship,medium,F,0
5,4,259,5,4,1991,D,Ship,low,F,1
4,2,157,2,15,1724,C,Ship,medium,M,1
6,5,194,5,8,4777,B,Ship,low,F,0
3,3,181,3,1,5094,D,Ship,low,F,1
6,5,113,3,35,1402,F,Ship,high,F,1
4,3,283,7,1,4216,F,Road,high,F,1
3,4,250,3,6,5565,B,Ship,low,M,0
4,3,152,2,18,1537,A,Road,medium,M,1
5,3,217,2,4,5588,C,Flight,low,F,0
3,5,209,3,8,5591,D,Ship,medium,M,0
3,3,267,2,52,2949,D,Ship,low,F,1
6,3,304,4,3,1752,F,Ship,low,M,1
3,5,270,3,5,4843,A,Ship,medium,M,1
3,5,180,4,59,1481,C,Ship,medium,F,1
5,2,237,5,6,1084,C,Ship,medium,M,0
4,1,152,3,65,1706,D,Ship,medium,F,1
3,3,237,3,57,3761,D,Ship,medium,M,1
5,4,178,6,10,5197,C,Ship,medium,M,0
4,5,216,3,26,2053,F,Ship,high,M,1
3,2,157,2,29,1115,D,Ship,low,M,1
6,4,275,4,10,1005,D,Road,low,M,0
4,2,252,3,1,4176,C,Flight,low,F,0
3,1,105,3,58,1304,A,Flight,low,M,1
3,5,230,2,27,3840,A,Ship,low,M,1
3,2,167,2,2,1010,C,Ship,low,M,1
4,2,221,2,13,3097,D,Ship,low,F,1
5,1,172,2,7,5165,F,Ship,high,F,0
3,5,220,3,9,5672,D,Ship,low,F,1
7,5,243,5,28,1100,F,Ship,medium,M,1
4,5,225,4,5,4622,D,Road,medium,M,0
4,1,254,2,10,4230,B,Flight,low,M,1
4,3,213,3,2,5722,D,Ship,low,F,0
6,4,271,4,8,1867,A,Ship,medium,M,0
5,2,140,4,58,1175,B,Ship,high,M,1
4,3,257,3,1,5843,F,Ship,low,F,0
2,1,208,2,10,4671,B,Ship,low,M,1
2,4,139,8,62,1180,C,Ship,medium,F,1
4,1,224,5,7,5738,F,Road,low,F,0
3,1,255,7,3,4477,C,Flight,low,F,0
3,5,195,2,42,3814,A,Ship,low,F,1
3,1,252,2,4,5559,F,Ship,low,M,0
3,1,206,2,56,2069,F,Ship,medium,F,1
5,5,134,3,5,5783,F,Ship,high,F,1
4,3,197,3,6,5395,F,Ship,medium,F,0
4,1,217,3,2,2692,F,Ship,medium,M,1
4,1,208,2,5,5707,F,Road,low,F,1
4,5,277,5,32,1055,A,Road,medium,F,1
5,5,253,2,2,4364,F,Ship,medium,F,0
4,4,113,3,1,5610,F,Ship,medium,F,1
7,3,247,4,5,1060,F,Flight,medium,M,0
3,1,182,3,40,3536,C,Road,medium,F,1
3,1,214,2,3,5595,F,Flight,low,F,1
5,5,232,3,33,2998,D,Ship,medium,F,1
2,2,248,2,46,3707,F,Flight,low,M,1
4,3,258,3,12,2017,C,Ship,low,F,1
4,4,231,2,4,5825,D,Road,low,F,0
6,4,206,5,10,1680,C,Ship,medium,F,0
5,2,174,4,8,5627,A,Ship,medium,M,1
4,5,210,4,3,5432,B,Road,low,M,1
3,3,207,3,7,4816,C,Ship,low,M,1
3,4,151,4,1,4587,D,Road,medium,F,1
2,1,158,3,51,1540,D,Flight,medium,F,1
3,1,154,3,5,4720,F,Ship,low,M,1
2,5,123,4,8,4042,F,Ship,medium,M,0
3,2,213,2,54,2809,F,Ship,medium,F,1
3,3,224,6,10,4221,D,Ship,medium,M,0
5,3,227,4,10,1317,F,Ship,low,F,1
2,2,173,3,10,4736,B,Ship,low,F,0
4,4,233,3,5,5421,A,Ship,low,F,0
4,2,232,5,3,1500,F,Ship,medium,F,0
4,2,183,2,8,4921,B,Ship,low,F,0
4,1,157,2,3,5801,A,Ship,medium,M,0
5,1,279,4,24,3440,D,Ship,medium,F,1
2,3,154,3,3,4478,C,Ship,medium,M,0
5,4,217,2,3,5925,C,Flight,medium,F,0
4,3,184,7,5,5920,F,Ship,medium,M,1
4,1,179,4,2,4071,D,Ship,medium,F,1
4,2,192,6,3,5173,A,Ship,high,F,0
4,4,176,4,52,1096,B,Ship,high,F,1
4,3,153,4,36,1171,D,Flight,low,M,1
5,2,139,4,9,5070,D,Ship,low,F,1
7,1,280,5,10,1199,D,Flight,low,M,1
3,1,171,3,28,1075,B,Ship,medium,M,1
4,5,259,2,4,4092,F,Ship,medium,F,1
3,4,232,3,1,4228,D,Ship,medium,F,1
6,3,305,4,3,1276,A,Ship,low,M,0
7,5,308,4,6,1165,C,Ship,medium,M,0
6,1,271,10,5,5459,B,Ship,medium,M,0
3,3,188,5,6,5713,D,Road,low,F,0
4,5,273,3,2,4374,D,Ship,medium,M,0
3,2,164,2,3,4442,D,Ship,medium,M,1
4,4,233,2,39,2291,F,Flight,medium,M,1
5,5,177,4,2,4873,B,Ship,medium,F,0
4,4,151,2,38,1001,F,Ship,low,F,1
5,2,184,3,8,4581,F,Ship,medium,F,0
6,5,154,10,14,1204,F,Ship,medium,F,1
4,5,180,2,1,4332,C,Ship,medium,F,0
4,1,192,3,15,3460,A,Ship,low,F,1
5,1,271,5,5,1869,F,Ship,low,F,1
4,3,152,3,58,1453,A,Road,low,M,1
3,3,198,3,49,2446,B,Ship,low,M,1
3,1,230,3,3,4957,B,Ship,medium,M,0
3,4,207,2,6,5852,F,Road,low,M,1
4,3,218,3,57,3311,F,Ship,high,F,1
5,5,192,3,5,4942,F,Ship,medium,M,1
6,2,106,5,9,4038,F,Flight,low,M,1
2,4,242,3,8,4898,F,Road,medium,M,0
2,2,156,3,5,5628,D,Ship,low,F,1
3,5,149,3,7,4357,F,Ship,low,F,0
3,4,164,3,4,4796,A,Ship,low,F,0
3,1,230,2,1,4970,B,Ship,low,F,1
5,1,248,2,9,5881,B,Road,low,F,1
3,1,269,2,6,5703,C,Flight,medium,M,1
3,5,150,2,10,5187,F,Ship,medium,M,0
3,4,262,3,7,2424,C,Road,low,M,1
4,1,195,3,2,4682,A,Ship,medium,M,0
3,3,268,10,2,5626,F,Ship,medium,M,1
4,3,231,3,8,5069,B,Ship,medium,F,1
6,4,242,3,9,5920,A,Ship,medium,M,0
4,3,220,3,8,3342,F,Ship,medium,M,1
5,1,227,5,6,1667,F,Ship,low,M,0
5,1,271,5,4,1353,A,Flight,low,M,0
3,2,139,3,4,1546,A,Ship,high,F,1
4,5,157,3,2,4343,B,Ship,medium,F,1
3,4,260,4,17,2666,F,Ship,high,M,1
5,2,255,2,9,5609,F,Flight,medium,M,0
4,2,151,3,3,5154,F,Ship,medium,M,1
5,5,173,3,4,5265,B,Flight,low,M,1
5,1,258,3,8,5694,A,Ship,medium,F,0
2,5,271,3,6,5471,F,Road,low,F,1
6,4,264,4,1,1711,F,Ship,low,M,1
4,4,269,5,2,1473,F,Road,medium,F,0
4,1,273,2,10,5832,F,Flight,high,F,1
7,5,253,4,6,1344,D,Ship,low,F,1
5,1,220,5,4,1156,B,Ship,low,F,1
3,5,205,4,9,4819,F,Ship,low,F,1
3,2,211,4,1,5831,B,Ship,high,M,1
5,4,256,3,43,3658,A,Road,low,F,1
4,1,216,4,4,2263,B,Ship,low,M,1
4,4,237,3,2,4760,C,Ship,medium,M,0
2,3,159,3,39,1477,D,Ship,medium,F,1
4,5,208,3,23,2056,F,Flight,medium,M,1
4,3,151,4,13,1583,D,Ship,medium,M,1
3,1,151,2,60,1925,B,Flight,low,M,1
4,3,153,3,5,5743,B,Flight,low,M,1
4,5,274,4,3,5145,B,Ship,low,M,0
3,4,243,2,1,5840,F,Ship,medium,M,1
4,2,196,2,4,5852,C,Ship,low,M,0
6,2,205,5,6,4756,F,Flight,high,M,0
5,5,163,3,54,1536,F,Ship,low,M,1
3,3,112,4,7,5716,F,Ship,low,F,1
3,4,269,2,8,5294,F,Ship,low,F,1
3,5,248,2,3,5287,B,Ship,high,M,1
3,4,175,3,3,4449,D,Road,low,F,0
5,1,134,2,7,5610,F,Ship,low,F,0
3,5,245,6,9,4793,B,Flight,high,M,0
5,5,182,3,27,3039,F,Ship,medium,F,1
4,5,241,4,58,2874,B,Ship,medium,M,1
3,2,188,3,3,3837,B,Ship,medium,M,1
6,5,298,4,3,1520,F,Ship,low,M,0
6,1,300,5,10,1787,D,Ship,low,F,0
6,3,247,4,6,1537,F,Ship,low,F,0
4,3,263,2,9,4210,F,Ship,low,M,0
4,3,264,2,38,3877,C,Ship,low,F,1
6,5,309,4,6,1463,F,Road,low,M,1
4,2,205,2,10,5580,C,Ship,low,F,0
3,4,164,3,13,1158,A,Ship,medium,M,1
5,1,195,6,29,1039,F,Ship,low,F,1
3,4,153,2,5,4023,B,Road,medium,M,1
3,3,211,3,4,4354,F,Road,high,F,1
4,1,197,3,2,4326,B,Road,low,M,0
3,3,179,2,60,1808,B,Ship,low,F,1
4,2,156,3,1,4097,D,Road,medium,M,1
5,4,187,3,1,4181,D,Ship,low,F,0
4,5,295,3,2,1693,A,Flight,low,F,0
4,2,136,4,3,4190,F,Ship,low,F,0
4,4,227,5,8,1982,C,Ship,low,M,1
6,5,249,4,8,1274,C,Ship,low,F,0
4,5,145,3,45,1059,F,Ship,medium,M,1
5,2,263,6,6,1511,D,Flight,low,F,1
5,3,119,2,8,5290,B,Flight,low,M,1
4,1,261,3,7,4314,A,Ship,medium,M,1
4,3,276,4,3,3889,A,Ship,low,F,1
5,1,247,5,10,1562,B,Flight,low,M,1
5,2,206,6,23,2016,C,Flight,medium,M,1
4,1,173,4,1,5789,B,Ship,low,F,0
2,3,247,4,5,5725,F,Ship,low,M,0
5,5,165,2,3,4005,F,Flight,low,M,1
5,3,230,3,4,4914,A,Road,medium,M,1
4,5,248,3,2,5310,F,Road,low,F,1
4,4,207,3,20,2637,F,Flight,low,M,1
3,5,228,2,3,5208,F,Ship,medium,F,0
3,3,250,3,9,4993,B,Ship,low,M,0
5,1,245,5,7,1092,F,Flight,low,F,0
3,4,202,2,6,5030,D,Ship,medium,F,0
5,2,182,3,10,4128,F,Ship,low,F,1
4,4,192,2,1,4429,C,Ship,low,M,0
4,3,178,6,6,4203,B,Ship,low,M,0
5,4,237,2,8,5600,A,Ship,low,M,1
4,5,229,4,6,4157,F,Flight,medium,F,0
4,2,248,3,2,5028,F,Ship,low,M,1
4,2,232,5,4,1783,D,Ship,medium,F,0
6,5,269,4,7,1249,B,Ship,medium,F,1
4,1,148,3,30,1731,B,Ship,low,M,1
5,4,138,2,8,5885,F,Ship,medium,F,1
4,5,242,2,4,5341,D,Ship,low,M,0
3,3,232,4,3,5828,D,Ship,medium,M,0
5,2,252,3,6,4013,C,Ship,low,M,1
4,4,221,4,14,2932,F,Flight,medium,M,1
4,3,252,2,1,2336,C,Ship,medium,M,1
6,1,245,4,10,1606,D,Ship,low,F,0
5,4,222,3,10,4663,D,Ship,medium,F,0
3,2,189,2,3,4617,C,Flight,medium,F,0
5,1,251,5,7,1924,D,Ship,low,F,1
4,5,155,4,54,1408,A,Ship,high,F,1
6,3,266,4,8,1983,C,Ship,medium,M,1
2,4,141,3,27,1628,F,Road,medium,F,1
4,4,197,3,29,2915,F,Flight,low,F,1
4,2,169,3,10,4309,C,Road,low,M,1
3,3,211,3,3,5379,D,Ship,medium,M,1
5,3,265,3,30,2293,B,Flight,medium,M,1
7,3,274,5,9,1764,F,Road,low,F,0
6,5,308,4,2,1125,D,Ship,low,M,1
5,3,141,2,10,4651,F,Ship,medium,F,0
6,2,164,4,6,5264,F,Ship,low,M,0
5,1,245,2,2,4882,F,Ship,medium,F,1
3,3,154,4,7,1915,C,Ship,medium,F,0
5,3,232,3,3,4526,F,Ship,medium,M,0
4,3,109,2,4,5407,A,Ship,medium,F,0
5,5,141,3,41,1367,C,Ship,high,M,1
5,2,171,3,3,4749,F,Flight,low,M,1
4,1,220,3,7,4552,A,Flight,medium,F,1
5,2,232,3,5,5607,B,Flight,low,M,1
5,3,252,5,2,1312,D,Ship,low,M,1
5,3,254,5,10,1501,A,Road,low,M,1
3,5,195,3,9,4224,D,Ship,medium,F,0
3,5,205,6,25,2232,C,Ship,low,F,1
3,1,186,2,7,4556,F,Road,medium,F,0
4,3,164,3,28,1880,D,Road,low,M,1
6,1,189,3,9,5316,B,Ship,medium,F,0
4,4,138,5,10,5401,F,Ship,low,M,0
4,3,243,3,1,5021,B,Ship,medium,M,0
3,1,232,2,4,5806,A,Road,medium,M,1
5,3,149,3,43,1005,D,Ship,medium,F,1
3,5,252,3,18,3701,A,Ship,low,M,1
2,1,148,2,10,5939,D,Ship,low,M,1
4,1,270,3,64,2406,D,Road,medium,F,1
3,2,223,2,64,3595,A,Ship,low,M,1
5,2,244,3,8,3571,B,Ship,low,M,1
5,3,227,5,9,4990,F,Ship,medium,F,0
3,3,182,3,5,5914,F,Ship,low,F,0
4,4,131,3,10,4625,C,Ship,medium,F,0
3,1,266,5,1,5459,B,Ship,low,M,0
3,2,150,3,29,1354,B,Road,medium,M,1
4,1,184,3,8,4667,D,Flight,low,F,0
5,2,276,6,6,1043,C,Flight,medium,F,0
4,3,205,3,44,2291,F,Ship,medium,F,1
4,2,251,3,10,3517,A,Ship,low,F,1
6,4,287,4,10,1811,F,Road,medium,F,1
4,3,183,2,32,3709,C,Ship,low,F,1
5,3,197,4,6,4184,B,Ship,low,F,0
4,3,163,5,29,1349,F,Ship,low,M,1
5,3,220,3,37,2294,D,Road,low,M,1
3,3,162,2,9,4903,F,Ship,low,F,0
4,4,146,3,3,5225,B,Ship,low,M,1
4,4,279,6,5,4898,F,Flight,medium,M,1
3,4,212,2,33,2021,A,Ship,low,M,1
3,1,146,3,9,4944,F,Ship,medium,M,1
7,2,295,4,10,1587,F,Ship,low,F,0
5,4,201,3,5,5137,F,Ship,low,F,0
3,2,153,10,2,5455,B,Flight,high,M,0
6,1,281,3,36,2536,C,Flight,medium,F,1
6,5,189,2,4,5898,F,Ship,high,M,1
3,3,217,3,6,4887,D,Ship,low,F,0
4,4,175,2,10,4927,D,Ship,medium,F,0
4,4,133,4,7,5973,D,Ship,high,F,1
4,5,198,3,33,2129,C,Ship,medium,M,1
6,3,282,4,8,1375,C,Ship,medium,F,0
4,4,162,3,41,1104,F,Ship,medium,M,1
4,4,207,10,1,4602,B,Ship,low,F,0
6,1,256,4,7,1372,F,Road,low,F,1
5,2,240,3,7,4744,F,Flight,low,M,1
6,4,279,4,1,1621,A,Ship,low,F,0
3,4,172,3,32,1943,B,Ship,low,M,1
5,5,133,2,18,1134,B,Ship,low,F,1
5,2,260,5,9,1809,D,Ship,low,M,1
4,1,213,5,10,5492,C,Road,low,M,0
3,2,180,2,8,4408,D,Road,high,F,0
4,4,223,4,1,4219,C,Ship,low,M,0
2,2,98,5,10,4368,F,Ship,medium,M,0
5,1,259,5,7,1871,F,Ship,low,F,1
3,2,286,6,5,5588,D,Flight,high,F,0
4,4,149,3,6,5508,A,Ship,medium,M,0
4,1,260,3,9,4239,B,Road,low,M,0
5,1,238,3,2,5369,F,Road,high,M,1
4,1,156,2,4,5225,C,Flight,medium,M,0
4,1,260,2,1,5001,F,Ship,low,F,1
4,5,260,3,59,3951,A,Ship,medium,M,1
3,3,148,3,8,5622,D,Ship,low,F,0
3,5,268,2,10,5895,B,Ship,medium,F,0
3,1,151,2,4,1748,B,Ship,low,F,1
2,1,147,3,3,4120,D,Ship,low,M,1
4,4,246,3,5,5029,F,Road,medium,M,1
3,3,170,3,7,5427,F,Ship,low,F,1
5,3,175,3,7,4833,A,Flight,low,M,1
5,1,230,6,60,2067,A,Ship,low,F,1
3,4,241,3,50,3074,C,Ship,low,F,1
4,2,137,2,3,4622,F,Ship,medium,M,1
5,4,223,5,2,1400,A,Ship,low,M,0
5,3,195,4,9,5577,D,Ship,low,F,0
4,5,245,3,2,5439,C,Ship,medium,F,1
6,5,249,5,26,3897,F,Ship,medium,M,1
7,2,284,4,1,1085,A,Flight,low,F,1
3,4,269,3,8,5364,B,Ship,medium,M,1
5,3,223,5,4,1817,F,Ship,medium,M,0
5,4,191,3,7,4435,B,Ship,high,F,1
2,4,173,2,1,4721,D,Ship,low,M,0
4,1,144,4,5,1294,A,Road,high,M,1
4,5,233,6,8,1176,D,Flight,low,M,0
3,3,249,2,2,5078,F,Ship,low,F,0
3,1,211,2,45,3332,B,Flight,low,F,1
5,4,137,2,2,4077,F,Ship,low,F,1
6,4,279,4,1,1246,B,Ship,low,F,1
3,4,120,4,10,5537,A,Flight,high,M,0
6,1,279,4,4,1263,C,Flight,low,F,1
3,2,264,3,8,5831,B,Ship,low,F,0
4,1,170,2,5,5182,A,Ship,medium,F,0
6,2,286,4,5,1248,C,Road,low,F,1
4,5,186,10,42,3521,B,Ship,low,F,1
3,5,240,7,9,5525,C,Ship,medium,F,1
5,4,186,2,3,4213,C,Flight,low,M,0
3,2,238,2,19,2196,F,Ship,low,M,1
4,2,145,3,7,5823,B,Ship,medium,F,0
4,3,149,6,5,5456,F,Ship,medium,M,1
4,4,154,3,7,4106,A,Ship,low,F,1
3,1,146,5,10,1737,A,Road,low,M,0
4,4,178,4,13,1614,A,Road,medium,F,1
5,2,179,3,7,5496,A,Ship,low,M,0
3,2,173,3,60,1582,A,Flight,high,M,1
6,5,185,3,1,5399,F,Ship,high,F,1
4,3,175,4,4,5685,C,Ship,medium,F,0
4,4,253,5,2,1709,C,Ship,low,F,0
4,4,282,6,52,3009,F,Flight,medium,F,1
6,3,133,5,32,1367,D,Ship,medium,M,1
4,3,140,2,2,5042,F,Ship,medium,F,0
3,4,250,3,10,5688,B,Ship,low,M,0
6,5,294,4,2,1273,F,Ship,medium,F,1
5,1,267,5,10,1818,A,Ship,medium,F,0
4,5,219,3,6,5957,F,Flight,medium,M,1
5,3,245,5,10,1112,F,Ship,low,F,0
4,1,151,3,4,5610,A,Ship,low,F,1
