s12,s13,s14,s15,s16,s21,s23,s24,s25,s26,s31,s32,s34,s35,s36,s41,s42,s43,s45,s46,s51,s52,s53,s54,s56,s61,s62,s63,s64,s65,label
-0.003363,0.003689,-0.000569,0.004092,-0.00107,-0.001665,0.000195,0.001047,-0.000843,0.000858,-0.008712,-0.00161,-0.000525,0.000335,0.001489,-0.003578,-9.6e-05,-0.001935,0.001049,-0.000188,-0.000423,0.001081,-0.000223,-0.012033,-0.001489,-0.000878,0.000913,-0.000282,0.003099,-0.001981,0
-0.003163,0.002645,-0.000136,0.003181,-3.8e-05,-0.001102,0.000183,0.000769,-0.000603,0.001243,-0.005902,-0.001343,-0.000529,0.000145,0.000184,-0.002233,0.000417,-0.001455,0.000924,0.000168,-0.000238,0.000653,0.00207,-0.008341,-0.001232,-0.000411,0.000536,-0.000191,0.001496,-0.00155,1
-0.003114,0.002986,-0.000306,0.002633,0.000218,-0.001292,2e-06,0.000467,-0.001401,0.00069,-0.005841,-0.001078,-0.000329,0.000103,0.000618,-0.002359,0.000321,-0.001105,0.001075,-9.4e-05,-0.000469,0.000443,0.001461,-0.007576,-0.001034,-0.000395,0.000547,-0.000161,0.00177,-0.001344,1
-0.003225,0.003838,-0.001232,0.002911,0.001364,-0.000847,-9.1e-05,0.001037,-0.002135,0.00045,-0.008456,-0.001391,-0.000533,-0.000106,0.001563,-0.003786,0.001284,-0.001411,0.001457,-0.000165,-0.000961,0.001262,0.001005,-0.011403,-0.00131,-0.000915,0.000938,-0.000243,0.003235,-0.002192,0
-0.003082,0.00304,-0.000253,0.004444,-0.000552,-0.001448,0.000413,0.00125,-0.000322,0.001682,-0.00848,-0.001849,-0.000625,0.000238,0.000679,-0.003506,0.000417,-0.001728,0.001326,-8.7e-05,-0.000537,0.001156,0.000988,-0.012192,-0.001638,-0.000665,0.000824,-0.000324,0.002514,-0.002057,0
-0.002334,0.002461,-0.001697,-0.002501,0.00142,-0.000778,0.000916,-0.000534,-0.001463,0.000393,-0.005834,-0.001097,-0.00034,1.1e-05,0.000838,-0.002497,0.000567,-0.000823,0.001149,2.8e-05,-0.000541,0.000591,0.001934,-0.007265,-0.000961,-0.000449,0.0006,-0.000106,0.001766,-0.001398,1
-0.002974,0.001965,-0.002517,-0.002499,0.001538,-0.000832,0.000916,-0.000694,-0.002107,0.00062,-0.005681,-0.000801,-0.000317,-2.8e-05,0.001065,-0.002451,0.000683,-0.000787,0.000984,0.000122,-0.000768,0.000593,0.001981,-0.007237,-0.000832,-0.000557,0.000549,-0.000209,0.002119,-0.001413,0
-0.003325,0.004254,-0.000662,0.0021,0.000969,-0.001069,-0.000116,0.000665,-0.001771,0.00076,-0.005961,-0.000709,-0.000418,-0.000117,0.000615,-0.002575,0.000648,-0.001049,0.001098,6.9e-05,-0.000572,0.000748,0.001847,-0.006799,-0.001181,-0.000582,0.000417,-0.000342,0.001803,-0.001386,1
-0.003457,0.003683,-0.000886,0.001957,0.000485,-3.8e-05,-8e-05,0.000893,-0.001326,0.000745,-0.005403,-0.00116,-0.000452,-0.000169,0.000745,-0.002238,0.001072,-0.001118,0.001086,-1.3e-05,-0.00055,0.000699,0.002547,-0.007453,-0.00098,-0.000476,0.000607,-0.000113,0.001675,-0.001587,1
-0.003767,0.003664,4.2e-05,0.004194,0.000108,-0.001203,0.000336,0.001271,-0.00077,0.001578,-0.008097,-0.001388,-0.000678,6.9e-05,0.000134,-0.003372,0.000794,-0.002618,0.001383,-0.000223,0.000276,0.001041,0.000224,-0.012985,-0.002049,-0.000677,0.000935,-0.000273,0.00244,-0.002366,1
-0.003246,0.004077,-0.001007,0.00185,0.000439,0.00013,-0.000176,0.000985,-0.001142,0.000863,-0.005465,-0.001113,-0.000503,-0.000146,0.000597,-0.00223,0.001011,-0.001242,0.00092,-9.2e-05,-0.000615,0.000788,0.002566,-0.00744,-0.001004,-0.000465,0.000581,-4.9e-05,0.001753,-0.001519,1
-0.003636,0.003288,-0.000911,0.002569,3.5e-05,0.000258,5e-05,0.00098,-0.001101,0.00092,-0.005257,-0.001353,-0.000379,-1.5e-05,0.000873,-0.00219,0.000781,-0.001201,0.001132,-0.000102,-0.000745,0.000612,0.002498,-0.00756,-0.001002,-0.000576,0.000541,-1.2e-05,0.001695,-0.00165,0
-0.00286,0.002477,-0.001396,0.003122,3.1e-05,-0.000718,-0.000616,0.000981,-0.000431,0.000723,-0.005049,-0.00103,-0.000264,-8.6e-05,0.000317,-0.00218,0.00086,-0.00119,0.000864,-0.000267,-0.000243,0.000543,0.002439,-0.008217,-0.001113,-0.000242,0.000671,-0.000175,0.001862,-0.001383,1
-0.001279,0.003859,-0.001412,0.002881,7e-05,-0.000118,-0.001354,0.000452,-0.001479,0.001401,-0.005768,-0.00084,-0.000305,-0.0003,0.001407,-0.001986,0.000958,-0.000841,0.000879,-0.000313,-0.001083,0.000857,0.002377,-0.00741,-0.001043,-0.000579,0.000745,-0.000101,0.001706,-0.001604,1
-0.002148,0.003528,-0.002588,-0.002603,0.000219,0.000104,0.000317,-0.000505,-0.00111,0.000854,-0.004927,-0.000955,-0.00031,0.00016,0.001257,-0.001829,0.000409,-0.000696,0.000904,-4.5e-05,-0.001078,0.000492,0.002789,-0.0075,-0.000831,-0.000688,0.000562,-1.9e-05,0.001761,-0.001469,0
-0.002438,0.003553,-0.00164,-0.002631,0.001237,-0.001219,0.000929,-0.000575,-0.001717,0.000763,-0.0059,-0.000646,-0.000537,-8.2e-05,0.000557,-0.002674,0.000542,-0.00113,0.001138,0.000115,-0.000563,0.000708,0.001919,-0.006873,-0.001148,-0.000635,0.000396,-0.000335,0.001741,-0.001344,1
-0.003448,0.003762,-0.001295,0.002328,-0.0001,0.000201,-0.000134,0.000913,-0.001125,0.001104,-0.005028,-0.001637,-0.000437,2.4e-05,0.00092,-0.001976,0.000643,-0.001141,0.001045,-7.1e-05,-0.000779,0.000648,0.002554,-0.007425,-0.000954,-0.00057,0.000568,-3.5e-05,0.001686,-0.001623,0
-0.003392,0.003964,-0.00097,0.002131,5e-05,0.000225,-0.000135,0.000957,-0.001126,0.000987,-0.005324,-0.001875,-0.000461,-0.000108,0.000844,-0.002061,0.001018,-0.001125,0.000975,-0.000163,-0.000669,0.000705,0.002642,-0.007484,-0.000987,-0.000527,0.000593,-2.9e-05,0.001733,-0.001538,1
-0.003105,0.002527,-0.001124,0.00273,-0.000518,-0.000422,-0.000526,0.001042,-0.000541,0.000801,-0.005456,-0.001079,-0.000227,-5.7e-05,0.000236,-0.002072,0.000674,-0.001378,0.000813,-0.000274,-0.000161,0.000706,0.001851,-0.008169,-0.001205,-0.000384,0.000682,-0.000309,0.001862,-0.001302,1
-0.001895,0.001537,-0.002246,-0.002882,-8.4e-05,-0.000213,0.000619,-0.00017,-0.000716,0.000748,-0.005106,-0.001048,-0.000288,-4.9e-05,0.000324,-0.002015,0.000702,-0.001359,0.000861,-0.000205,-7.2e-05,0.000722,0.00171,-0.008332,-0.001127,-0.00037,0.000661,-0.000287,0.001838,-0.00141,1
-0.002571,0.002083,-0.000942,0.003043,-0.000704,-0.000258,-0.000342,0.001235,-0.000582,0.000728,-0.005107,-0.001186,-0.000353,-5e-05,0.000369,-0.002064,0.000685,-0.001293,0.000921,-0.000141,-0.000103,0.000666,0.002137,-0.008224,-0.001105,-0.000343,0.000698,-0.000197,0.002068,-0.001417,1
-0.002273,0.001521,-0.0023,-0.002896,-6e-05,-0.000296,0.000442,-0.000213,-0.000553,0.000826,-0.005413,-0.001288,-0.000326,-1.5e-05,0.000323,-0.002069,0.000662,-0.001322,0.000928,-0.000209,-5.3e-05,0.000647,0.001977,-0.008133,-0.001061,-0.000383,0.000701,-0.000334,0.001848,-0.001224,0
-0.001721,0.002637,-0.001893,-0.003769,0.001272,-0.000201,0.000773,-0.000698,-0.001267,0.000162,-0.00562,-0.001393,-0.000458,-0.000165,0.000821,-0.002364,0.00103,-0.001076,0.000975,7.4e-05,-0.000869,0.000865,0.00266,-0.007423,-0.000923,-0.000495,0.000506,-0.000166,0.001773,-0.001559,1
-0.004581,0.004497,0.000113,0.003875,0.000438,-0.001033,0.000128,0.001292,-0.000975,0.001805,-0.008321,-0.001591,-0.000717,0.000222,0.000416,-0.003074,0.000531,-0.002478,0.001472,-0.000105,-6.5e-05,0.001302,0.00065,-0.012662,-0.001843,-0.00103,0.001,-0.000263,0.002641,-0.002162,0
-0.002253,0.00218,-0.000496,0.002342,-1.2e-05,-0.001232,-8.2e-05,0.000586,-0.001179,0.000592,-0.005649,-0.001715,-0.000237,0.000153,0.000791,-0.002383,0.000317,-0.000962,0.000939,-8.6e-05,-0.000651,0.000615,0.001894,-0.007805,-0.000923,-0.000479,0.000465,-0.000197,0.001848,-0.001296,1
-0.000417,0.003641,-0.00256,-0.003017,0.000348,-8.2e-05,-1.8e-05,-0.000113,-0.000766,0.000944,-0.005447,-0.001349,-0.000269,-1.6e-05,0.001048,-0.002163,0.000754,-0.000799,0.000914,-9.3e-05,-0.000789,0.000711,0.002701,-0.007707,-0.001003,-0.0004,0.000509,6e-06,0.001385,-0.001545,1
-0.002199,0.002239,-0.002027,-0.002466,0.000829,-0.000903,0.000243,-0.000704,-0.000411,0.000782,-0.005295,-0.001674,-0.000328,-7.4e-05,0.000556,-0.00233,0.00068,-0.000932,0.000994,-0.000239,-0.000429,0.000572,0.00296,-0.007666,-0.001013,-0.000383,0.000616,-0.000167,0.001921,-0.001468,0
-0.003423,0.004289,-0.000976,0.00279,0.00066,-0.000542,-0.000118,0.001284,-0.001775,0.000558,-0.008605,-0.001355,-0.000608,8.8e-05,0.001776,-0.003518,0.000784,-0.002186,0.001628,1.8e-05,-0.000581,0.001246,0.001284,-0.011955,-0.001261,-0.000881,0.000923,-0.000378,0.003009,-0.002187,0
-0.001595,0.001746,-0.001363,-0.00246,0.00069,-0.001173,0.000962,-0.000446,-0.000836,0.000295,-0.005483,-0.001318,-0.000319,0.000136,0.000842,-0.002474,0.000225,-0.001234,0.001082,-2.6e-05,-0.000493,0.000458,0.00219,-0.007953,-0.000916,-0.000424,0.000523,-6.7e-05,0.001742,-0.001335,1
-0.002464,0.003016,-0.001691,-0.002659,0.001502,-0.000473,0.000926,-0.000404,-0.001478,0.000481,-0.005823,-0.000751,-0.000375,-0.000139,0.000779,-0.002528,0.000807,-0.001038,0.001139,0.00016,-0.000611,0.000673,0.00222,-0.007188,-0.000985,-0.000413,0.000588,-0.00016,0.001773,-0.001511,1
-0.001035,0.006544,-0.001921,0.003501,0.000367,0.000125,-0.000542,0.001065,-0.001219,0.001171,-0.008017,-0.001359,-0.000698,2.6e-05,0.001417,-0.003177,0.000913,-0.001965,0.001145,-0.000323,-0.000982,0.001,0.001514,-0.012128,-0.001565,-0.0009,0.000887,-6.5e-05,0.002898,-0.002689,0
-0.002635,0.00286,-0.001785,-0.002439,0.00066,-0.001303,0.000923,-0.000588,-0.001647,0.00074,-0.005949,-0.000904,-0.000357,8e-05,0.000506,-0.002422,0.000401,-0.000996,0.001055,-1e-05,-0.000454,0.00053,0.001235,-0.007265,-0.001091,-0.000459,0.000445,-0.000213,0.001703,-0.001314,1
-0.002184,0.001406,-0.002098,-0.00294,0.000213,-0.000417,0.000617,-0.000363,-0.000843,0.000844,-0.005375,-0.001184,-0.000361,-2.7e-05,0.000138,-0.002049,0.00047,-0.001734,0.00102,-7.9e-05,-1.5e-05,0.000838,0.001807,-0.008474,-0.001288,-0.000425,0.000716,-0.000324,0.001714,-0.001474,1
-0.001403,0.003532,-0.002205,-0.003687,0.001873,-0.000877,0.000768,-0.000959,-0.001432,0.00065,-0.005133,-0.000664,-0.00057,-0.000151,0.001019,-0.002329,0.000455,-0.001294,0.000981,8.9e-05,-0.000588,0.000655,0.002665,-0.008053,-0.001039,-0.000544,0.000548,-0.000442,0.002009,-0.002013,0
-0.001071,0.006074,-0.001946,0.002293,0.000647,0.000249,-0.000446,0.001363,-0.001557,0.000999,-0.008064,-0.001269,-0.000896,-0.00034,0.000898,-0.003408,0.001312,-0.001615,0.001166,-0.000396,-0.000864,0.00129,0.001191,-0.011632,-0.001642,-0.00098,0.000737,-0.000268,0.003198,-0.002038,0
-0.001844,0.004582,-0.001934,0.002599,2.8e-05,-0.000317,-0.000774,0.00089,-0.000958,0.001054,-0.005253,-0.001176,-2.6e-05,-8e-06,0.001236,-0.002095,0.000661,-0.000771,0.000918,-0.000131,-0.001053,0.000626,0.00221,-0.007725,-0.000876,-0.000572,0.000592,8.1e-05,0.001498,-0.001526,1
-0.002939,0.002606,-0.001158,0.002977,-0.000206,-0.000574,-0.0007,0.000877,-0.000484,0.000987,-0.005404,-0.001843,-0.000232,-0.000128,0.000308,-0.002087,0.00074,-0.001153,0.000914,-0.000267,-0.00013,0.000523,0.002244,-0.008109,-0.001183,-0.000385,0.00064,-0.000159,0.001878,-0.001364,1
-0.002062,0.003076,-0.002373,-0.003064,0.000347,4.7e-05,0.000412,-0.000534,-0.001199,0.000798,-0.004965,-0.000968,-0.000165,2.4e-05,0.00125,-0.002119,0.000461,-0.001164,0.00092,-0.000107,-0.001026,0.000598,0.002867,-0.007453,-0.00095,-0.000694,0.000653,3.9e-05,0.001772,-0.001553,0
-0.00131,0.004225,-0.002608,-0.003326,0.000308,0.00016,0.000381,-0.000397,-0.001038,0.001118,-0.004749,-0.00115,-0.000316,0.00014,0.001042,-0.001926,0.000675,-0.000784,0.000822,-2.8e-05,-0.000938,0.000685,0.002735,-0.007615,-0.000843,-0.000538,0.00056,-3.7e-05,0.001693,-0.001535,0
-0.004156,0.002674,-0.000431,0.004144,0.000291,-0.001198,0.00018,0.001129,-0.001087,0.001684,-0.008278,-0.00157,-0.000658,0.000209,0.000372,-0.003321,0.000504,-0.002448,0.001386,-0.00018,2.8e-05,0.001199,0.000315,-0.01309,-0.00194,-0.000895,0.000827,-0.000303,0.002513,-0.00227,0
-0.004524,0.004136,-0.001164,0.003326,0.000853,-0.001777,-0.000253,0.000804,-0.002763,0.001352,-0.008929,-0.001045,-0.000469,4.4e-05,0.001352,-0.003859,0.000672,-0.001282,0.001445,-0.000219,-0.000762,0.001008,7e-06,-0.010646,-0.0014,-0.000956,0.000856,-0.000276,0.003178,-0.001864,0
-0.001923,0.001189,-0.001659,-0.00248,0.000564,-0.000903,0.001227,-1.2e-05,-0.000552,0.00113,-0.005155,-0.001133,-0.000467,-8.2e-05,0.000521,-0.001995,0.000388,-0.001145,0.000992,3.3e-05,-0.000562,0.000733,0.002494,-0.008604,-0.001067,-0.000371,0.000391,-0.000199,0.001991,-0.001348,0
-0.001668,0.006662,-0.001863,0.002538,0.000715,0.000174,-0.00029,0.001404,-0.001498,0.001245,-0.008055,-0.001168,-0.00082,-0.000282,0.000836,-0.003407,0.001303,-0.001572,0.001202,-0.000328,-0.000865,0.001345,0.001471,-0.011353,-0.001773,-0.001006,0.000799,-0.000391,0.002973,-0.00222,0
-0.000551,0.003106,-0.002244,-0.002228,0.000637,0.000354,-0.000424,-0.000587,-0.001263,0.001251,-0.005615,-0.000961,-0.000257,-0.000358,0.001316,-0.001902,0.000914,-0.000746,0.001028,-0.000297,-0.001245,0.000807,0.002316,-0.007132,-0.000894,-0.000599,0.000716,0.00016,0.001565,-0.001452,0
-0.001745,0.004509,-0.001991,0.002228,4.4e-05,-0.000227,-0.000632,0.001064,-0.000781,0.000877,-0.004917,-0.000962,-0.000349,0.000107,0.001031,-0.002027,0.000736,-0.000892,0.000967,-8e-05,-0.000753,0.000699,0.002795,-0.007602,-0.000932,-0.000468,0.000511,-1.1e-05,0.001435,-0.001526,0
-0.002356,0.003044,-0.002187,-0.003261,0.001143,0.000108,0.000645,-0.000602,-0.001517,0.000668,-0.00532,-0.000985,-0.000497,-0.000226,0.000787,-0.002293,0.000981,-0.001014,0.000959,6.6e-05,-0.000804,0.000708,0.002669,-0.007348,-0.001013,-0.000471,0.00052,-0.000168,0.001911,-0.001579,0
-0.002998,0.003017,0.000115,0.00456,-0.00039,-0.001343,0.000443,0.001283,-0.000262,0.001863,-0.008225,-0.002731,-0.00063,8.6e-05,0.000667,-0.003415,0.000346,-0.001804,0.001397,-0.00017,-0.000689,0.001163,0.000887,-0.012361,-0.001535,-0.000651,0.000924,-0.000207,0.00281,-0.002328,0
-0.002044,0.003524,-0.002387,-0.003215,0.000376,0.000298,0.000614,-0.00036,-0.000935,0.001006,-0.004874,-0.000771,-0.000488,0.000145,0.000804,-0.002035,0.00079,-0.00109,0.001,-9.8e-05,-0.000806,0.00066,0.00284,-0.007479,-0.00098,-0.000513,0.000571,-8.7e-05,0.00177,-0.001518,1
-0.002263,0.003357,-0.001687,-0.002898,0.000717,0.000318,0.000578,-0.000524,-0.001009,0.00081,-0.005134,-0.001232,-0.000455,-3e-05,0.000886,-0.002089,0.000943,-0.001067,0.000797,0.000115,-0.000955,0.000739,0.002636,-0.00745,-0.000923,-0.000478,0.00052,-0.000183,0.001928,-0.001623,0
-0.001784,0.002045,-0.002255,-0.002889,0.00102,-0.001015,0.001088,-0.000852,-0.001693,0.000456,-0.005604,-0.001062,-0.0002,8.6e-05,0.000983,-0.002396,0.000405,-0.000782,0.000944,4e-06,-0.000634,0.000567,0.001619,-0.00754,-0.000816,-0.000564,0.000571,-0.000167,0.002142,-0.001281,0
-0.003209,0.003102,-0.000299,0.002647,-0.000344,-0.001203,7e-05,0.000608,-0.001175,0.001119,-0.005911,-0.000931,-0.000403,0.000142,0.000415,-0.002287,0.000332,-0.001198,0.001029,-0.000114,-0.000594,0.000452,0.001746,-0.007708,-0.001104,-0.000363,0.000507,-0.000224,0.001694,-0.001338,1
-0.003126,0.003817,-0.001084,0.003259,0.001392,-0.001325,-0.000104,0.00088,-0.002271,0.000624,-0.008599,-0.001739,-0.000482,1.4e-05,0.001735,-0.003795,0.001034,-0.001198,0.00148,-0.000196,-0.000889,0.001169,0.00063,-0.01104,-0.001307,-0.000962,0.000947,-0.000158,0.003268,-0.002003,0
-0.002178,0.003523,-0.002384,-0.002915,0.000218,0.000139,0.000388,-0.00069,-0.000988,0.001176,-0.004766,-0.000859,-0.000301,0.000244,0.001123,-0.001893,0.000502,-0.000885,0.000771,-1.3e-05,-0.001104,0.000561,0.00281,-0.007543,-0.000876,-0.000674,0.00057,-5.3e-05,0.001855,-0.001606,0
-0.000445,0.00353,-0.002519,-0.002177,0.000529,0.000211,-0.000465,-0.000673,-0.001033,0.001047,-0.00581,-0.001205,-0.000159,-0.000361,0.001228,-0.001999,0.000871,-0.000741,0.001047,-0.000333,-0.001076,0.000792,0.002286,-0.007532,-0.000868,-0.000643,0.000665,0.000173,0.001452,-0.001531,1
-0.002661,0.003891,-0.000564,0.003367,0.000406,-0.001736,-0.000143,0.000667,-0.002124,0.000968,-0.008626,-0.001477,-0.000347,0.00017,0.001318,-0.003765,0.000519,-0.001294,0.001328,-0.000274,-0.000781,0.000974,-6e-06,-0.011211,-0.001445,-0.000878,0.000917,-0.000197,0.003275,-0.001825,0
-0.003251,0.003263,-0.000977,0.002991,3.8e-05,-0.000919,-0.000737,0.000791,-0.000518,0.000923,-0.00557,-0.001223,-0.00025,-7.8e-05,0.000437,-0.00224,0.000476,-0.001284,0.000962,-2.8e-05,-0.000292,0.000418,0.002462,-0.00805,-0.001296,-0.00043,0.000678,-0.000328,0.001761,-0.001218,1
-0.003119,0.004354,-0.001259,0.001916,0.000861,-0.000213,-0.000215,0.000913,-0.001166,0.000658,-0.005381,-0.001105,-0.000482,-0.00021,0.000594,-0.002311,0.001106,-0.00123,0.000927,-2.9e-05,-0.000653,0.000793,0.002563,-0.007173,-0.001088,-0.000422,0.000474,-0.000115,0.00167,-0.001522,1
-0.002852,0.002275,-0.000435,0.002954,-6.8e-05,-0.000619,-0.00014,0.000977,-0.000765,0.00099,-0.005221,-0.000986,-0.000389,-2e-06,0.000267,-0.002085,0.000582,-0.001676,0.001058,-4.9e-05,7.6e-05,0.000817,0.002369,-0.008586,-0.001217,-0.000425,0.000662,-0.000231,0.00179,-0.001452,1
-0.003048,0.002291,-0.000996,0.002718,-0.000642,-0.000354,-0.00054,0.001075,-0.000564,0.000851,-0.00531,-0.001082,-0.000266,-4.8e-05,0.000234,-0.002047,0.000721,-0.001283,0.000918,-0.000258,-1.8e-05,0.000642,0.001604,-0.008224,-0.001147,-0.00038,0.000725,-0.000228,0.001849,-0.001384,1
-0.002676,0.002215,-0.001483,-0.002365,-3.4e-05,-0.001152,0.000992,-0.000448,-0.000824,0.001276,-0.005787,-0.001758,-0.00039,0.000176,0.000479,-0.002223,0.00044,-0.001224,0.000989,1.3e-05,-0.000549,0.00054,0.002018,-0.007497,-0.00111,-0.000361,0.000464,-0.000235,0.001707,-0.001241,1
-0.001848,0.003074,-0.002411,-0.003497,0.000357,-1.6e-05,0.000515,-0.000704,-0.00128,0.000688,-0.004704,-0.000793,-0.00011,6.5e-05,0.001436,-0.002106,0.000412,-0.00085,0.000861,-7.3e-05,-0.001206,0.000505,0.002595,-0.007674,-0.000775,-0.000752,0.000667,-1.3e-05,0.002015,-0.001467,0
-0.002908,0.002373,-0.000591,0.003196,-0.000105,-0.000551,-8.6e-05,0.000931,-0.000568,0.000917,-0.005184,-0.001005,-0.000421,5e-06,0.000272,-0.002154,0.000426,-0.001647,0.000998,-2e-06,-1.6e-05,0.000898,0.002222,-0.008625,-0.001184,-0.000429,0.000661,-0.000218,0.001854,-0.001538,1
-0.00186,0.002367,-0.002023,-0.003673,0.000863,0.000157,0.000947,-0.000647,-0.00139,0.000457,-0.005195,-0.001565,-0.000423,-6.5e-05,0.00102,-0.00211,0.000953,-0.001069,0.000977,-2e-05,-0.000816,0.000712,0.002487,-0.007547,-0.000829,-0.00055,0.000484,-0.000125,0.002023,-0.001539,0
-0.002049,0.001642,-0.001701,-0.002924,0.000509,-0.000563,0.000883,-0.000365,-0.000757,0.00102,-0.005299,-0.001086,-0.000408,-5.5e-05,0.000217,-0.002076,0.000535,-0.001651,0.000959,-3e-05,4.2e-05,0.000846,0.002025,-0.008822,-0.001219,-0.000486,0.000642,-0.000186,0.001674,-0.001502,1
