age,fnlwgt,educationNum,capitalGain,capitalLoss,hoursPerWeek,workclass,education,maritalStatus,occupation,relationship,race,sex,nativeCountry,label
35.0,354520.0,9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-spouse-absent,Other-service,Not-in-family,White,Female,United-States,0
24.0,308239.0,13.0,0.0,0.0,4.0,Private,Bachelors,Never-married,Sales,Own-child,White,Male,United-States,0
57.0,113974.0,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
22.0,310197.0,4.0,0.0,0.0,40.0,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
46.0,102308.0,15.0,15024.0,0.0,50.0,Federal-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
43.0,147269.0,6.0,0.0,0.0,60.0,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,,0
28.0,246595.0,9.0,0.0,0.0,70.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,0
23.0,664670.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,United-States,0
26.0,180886.0,14.0,0.0,0.0,30.0,State-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
45.0,129371.0,5.0,0.0,0.0,40.0,Private,9th,Separated,Other-service,Unmarried,Other,Female,Trinadad&Tobago,0
33.0,120420.0,7.0,0.0,0.0,40.0,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
38.0,135020.0,10.0,0.0,0.0,60.0,Self-emp-not-inc,Some-college,Never-married,Craft-repair,Own-child,White,Male,United-States,0
28.0,129460.0,5.0,0.0,0.0,40.0,Private,9th,Never-married,Craft-repair,Not-in-family,White,Male,El-Salvador,0
53.0,261207.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Male,Peru,0
28.0,132686.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
53.0,23698.0,9.0,0.0,0.0,46.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
61.0,80896.0,9.0,0.0,0.0,45.0,Private,HS-grad,Separated,Transport-moving,Unmarried,Asian-Pac-Islander,Male,United-States,1
49.0,414448.0,4.0,0.0,0.0,40.0,Private,7th-8th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,,0
43.0,206139.0,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
22.0,157783.0,9.0,0.0,0.0,35.0,Private,HS-grad,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,Vietnam,0
26.0,188767.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,0
18.0,36251.0,6.0,0.0,0.0,15.0,Private,10th,Never-married,Other-service,Own-child,White,Female,United-States,0
57.0,222792.0,10.0,0.0,0.0,40.0,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,1
45.0,123219.0,3.0,0.0,0.0,40.0,Private,5th-6th,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,0
29.0,228075.0,9.0,0.0,0.0,35.0,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Male,Mexico,0
35.0,233786.0,7.0,0.0,0.0,20.0,Private,11th,Separated,Other-service,Unmarried,White,Male,United-States,0
22.0,64292.0,10.0,2176.0,0.0,25.0,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Female,United-States,0
37.0,174308.0,9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
34.0,294064.0,14.0,0.0,0.0,50.0,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,France,0
41.0,145441.0,11.0,0.0,0.0,40.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,Yugoslavia,0
55.0,26290.0,11.0,0.0,0.0,38.0,State-gov,Assoc-voc,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,United-States,0
24.0,234640.0,11.0,0.0,0.0,35.0,Private,Assoc-voc,Never-married,Other-service,Own-child,White,Female,United-States,0
53.0,281590.0,9.0,15024.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,1
38.0,158363.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
51.0,162944.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
37.0,124293.0,10.0,0.0,0.0,50.0,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,0
24.0,201799.0,13.0,0.0,0.0,84.0,Private,Bachelors,Never-married,Transport-moving,Own-child,White,Female,United-States,0
30.0,164552.0,13.0,0.0,1876.0,40.0,Federal-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
72.0,120733.0,4.0,0.0,0.0,40.0,State-gov,7th-8th,Widowed,Other-service,Unmarried,Black,Female,United-States,0
35.0,251396.0,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
24.0,230475.0,9.0,0.0,0.0,44.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
45.0,33798.0,14.0,0.0,0.0,40.0,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,0
45.0,297884.0,13.0,0.0,0.0,40.0,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,1
43.0,177905.0,9.0,3908.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
42.0,183096.0,10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Exec-managerial,Own-child,White,Female,United-States,0
32.0,44392.0,12.0,0.0,0.0,40.0,Private,Assoc-acdm,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
57.0,50791.0,11.0,0.0,0.0,20.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
31.0,109055.0,9.0,3137.0,0.0,45.0,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
54.0,119570.0,12.0,0.0,0.0,50.0,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
39.0,190987.0,11.0,0.0,0.0,50.0,Private,Assoc-voc,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
23.0,107882.0,13.0,0.0,0.0,50.0,Private,Bachelors,Never-married,Tech-support,Own-child,White,Female,United-States,0
44.0,183829.0,13.0,0.0,0.0,38.0,State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,0
48.0,440706.0,4.0,0.0,0.0,40.0,Private,7th-8th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,1
36.0,251091.0,13.0,0.0,0.0,60.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
30.0,137076.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,1
20.0,39234.0,9.0,0.0,0.0,30.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,United-States,0
23.0,139187.0,7.0,0.0,0.0,50.0,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
28.0,285897.0,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
23.0,174626.0,9.0,0.0,0.0,25.0,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
17.0,226980.0,8.0,0.0,0.0,17.0,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
19.0,183258.0,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Adm-clerical,Own-child,White,Male,United-States,0
22.0,291979.0,7.0,0.0,0.0,40.0,Private,11th,Separated,Craft-repair,Not-in-family,White,Male,United-States,0
18.0,366154.0,9.0,0.0,0.0,30.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,0
43.0,91209.0,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
50.0,31014.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
20.0,24896.0,9.0,0.0,0.0,20.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,0
33.0,94193.0,9.0,0.0,0.0,40.0,Federal-gov,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
33.0,147654.0,11.0,0.0,0.0,60.0,Local-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
17.0,143791.0,6.0,0.0,0.0,12.0,Private,10th,Never-married,Other-service,Own-child,Black,Female,United-States,0
60.0,174486.0,9.0,0.0,0.0,40.0,Private,HS-grad,Widowed,Machine-op-inspct,Not-in-family,White,Female,United-States,0
43.0,180407.0,13.0,0.0,0.0,42.0,Local-gov,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,Germany,0
33.0,59083.0,13.0,0.0,1902.0,45.0,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
27.0,243569.0,9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
57.0,125000.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
55.0,150507.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,0
21.0,212407.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,United-States,0
43.0,163108.0,10.0,0.0,0.0,99.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
48.0,248254.0,10.0,7298.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
50.0,100029.0,13.0,0.0,0.0,65.0,Self-emp-inc,Bachelors,Widowed,Sales,Unmarried,White,Male,United-States,1
32.0,222205.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,1
44.0,306440.0,9.0,0.0,0.0,40.0,Federal-gov,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,United-States,0
47.0,110669.0,13.0,0.0,0.0,50.0,Private,Bachelors,Separated,Prof-specialty,Unmarried,White,Female,United-States,0
23.0,315065.0,6.0,0.0,0.0,60.0,Private,10th,Never-married,Other-service,Unmarried,White,Male,Mexico,0
29.0,166320.0,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
21.0,25265.0,10.0,0.0,0.0,18.0,Private,Some-college,Never-married,Other-service,Own-child,White,Male,United-States,0
38.0,91857.0,10.0,0.0,0.0,41.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
26.0,377754.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,0
29.0,179681.0,9.0,0.0,0.0,37.0,Local-gov,HS-grad,Never-married,Transport-moving,Own-child,White,Female,United-States,0
30.0,396538.0,9.0,0.0,0.0,29.0,Private,HS-grad,Separated,Exec-managerial,Unmarried,White,Female,United-States,0
49.0,162264.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Male,United-States,0
24.0,149342.0,13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,United-States,0
47.0,26145.0,11.0,0.0,0.0,40.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
49.0,323798.0,10.0,3325.0,0.0,50.0,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,0
27.0,236481.0,15.0,0.0,0.0,10.0,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,India,0
71.0,210673.0,9.0,0.0,0.0,28.0,State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,0
28.0,420054.0,9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Italy,0
18.0,294253.0,9.0,0.0,0.0,27.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,0
59.0,148526.0,10.0,0.0,0.0,40.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
17.0,198146.0,7.0,0.0,0.0,16.0,Private,11th,Never-married,Sales,Own-child,White,Female,United-States,0
48.0,193188.0,11.0,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,1
42.0,99254.0,12.0,0.0,0.0,40.0,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,1
46.0,118419.0,9.0,0.0,0.0,38.0,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,Male,United-States,0
29.0,181282.0,13.0,0.0,0.0,50.0,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,0
26.0,413846.0,13.0,0.0,0.0,40.0,State-gov,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,0
26.0,196899.0,12.0,0.0,0.0,40.0,Private,Assoc-acdm,Separated,Craft-repair,Not-in-family,Other,Female,United-States,0
27.0,153589.0,5.0,0.0,0.0,40.0,Private,9th,Separated,Craft-repair,Not-in-family,White,Male,United-States,0
55.0,125147.0,9.0,0.0,0.0,45.0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
25.0,191803.0,12.0,0.0,0.0,50.0,Self-emp-not-inc,Assoc-acdm,Never-married,Sales,Not-in-family,White,Male,United-States,0
47.0,265097.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
33.0,100882.0,14.0,0.0,0.0,40.0,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,1
52.0,38973.0,13.0,0.0,0.0,40.0,Federal-gov,Bachelors,Separated,Adm-clerical,Unmarried,Black,Female,United-States,0
38.0,277022.0,10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,Columbia,0
19.0,178811.0,9.0,0.0,0.0,20.0,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,Black,Female,United-States,0
23.0,91189.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,0
33.0,69251.0,11.0,0.0,0.0,40.0,Private,Assoc-voc,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,Philippines,0
63.0,254907.0,11.0,0.0,0.0,20.0,Private,Assoc-voc,Divorced,Other-service,Not-in-family,White,Female,United-States,0
34.0,31740.0,4.0,0.0,0.0,40.0,Private,7th-8th,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,0
39.0,206190.0,9.0,0.0,0.0,45.0,Federal-gov,HS-grad,Never-married,Exec-managerial,Unmarried,White,Female,United-States,0
25.0,169124.0,13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Male,United-States,0
19.0,188864.0,9.0,0.0,0.0,20.0,Private,HS-grad,Never-married,Sales,Unmarried,Black,Female,United-States,0
32.0,159187.0,11.0,0.0,0.0,40.0,Private,Assoc-voc,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
19.0,125010.0,9.0,0.0,0.0,45.0,Private,HS-grad,Never-married,Farming-fishing,Own-child,White,Male,United-States,0
18.0,397606.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,0
52.0,210736.0,10.0,3103.0,0.0,55.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
32.0,188246.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
24.0,296045.0,4.0,2635.0,0.0,38.0,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
44.0,419134.0,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,0
46.0,178829.0,14.0,0.0,0.0,70.0,Private,Masters,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,United-States,1
63.0,162772.0,9.0,0.0,0.0,35.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,1
57.0,26716.0,13.0,0.0,0.0,45.0,Private,Bachelors,Divorced,Craft-repair,Not-in-family,White,Male,United-States,0
48.0,127738.0,5.0,0.0,0.0,40.0,Private,9th,Divorced,Transport-moving,Not-in-family,White,Male,United-States,0
64.0,209899.0,10.0,0.0,0.0,35.0,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,0
34.0,103408.0,10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Prof-specialty,Not-in-family,Black,Male,Germany,1
31.0,198513.0,10.0,0.0,0.0,40.0,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,0
19.0,188815.0,9.0,34095.0,0.0,20.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,United-States,0
23.0,60668.0,10.0,0.0,0.0,55.0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,0
37.0,340614.0,14.0,0.0,0.0,50.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
32.0,257043.0,9.0,0.0,0.0,42.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,0
50.0,187465.0,7.0,0.0,0.0,40.0,Private,11th,Divorced,Sales,Not-in-family,White,Female,United-States,0
50.0,172962.0,9.0,0.0,0.0,40.0,State-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
29.0,199499.0,11.0,0.0,0.0,40.0,Private,Assoc-voc,Never-married,Other-service,Not-in-family,Black,Male,United-States,0
47.0,244813.0,9.0,0.0,0.0,40.0,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,0
57.0,68830.0,9.0,0.0,0.0,50.0,State-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,0
25.0,109112.0,9.0,0.0,0.0,48.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,0
19.0,111232.0,10.0,0.0,0.0,30.0,Private,Some-college,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,0
33.0,181388.0,9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Other-service,Unmarried,White,Female,United-States,0
36.0,206521.0,13.0,0.0,0.0,60.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
72.0,172407.0,15.0,99999.0,0.0,50.0,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
31.0,373903.0,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,1
44.0,197033.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,0
32.0,169973.0,14.0,0.0,0.0,38.0,State-gov,Masters,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,0
40.0,458168.0,13.0,0.0,0.0,60.0,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
33.0,202153.0,14.0,0.0,0.0,40.0,Self-emp-inc,Masters,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
21.0,195532.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,United-States,0
45.0,222374.0,13.0,0.0,0.0,40.0,Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
38.0,534775.0,10.0,0.0,0.0,50.0,State-gov,Some-college,Never-married,Tech-support,Unmarried,Black,Female,United-States,0
44.0,101593.0,14.0,0.0,1876.0,42.0,Local-gov,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
18.0,227529.0,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Sales,Own-child,White,Male,United-States,0
17.0,329791.0,8.0,0.0,0.0,25.0,Private,12th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
36.0,353263.0,13.0,0.0,0.0,45.0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,1
52.0,254285.0,13.0,0.0,0.0,40.0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
54.0,32778.0,9.0,0.0,0.0,30.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Wife,White,Female,United-States,0
65.0,237024.0,2.0,0.0,0.0,35.0,Private,1st-4th,Married-civ-spouse,Other-service,Husband,White,Male,Mexico,0
28.0,39388.0,11.0,0.0,0.0,60.0,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,0
37.0,224566.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
33.0,202822.0,4.0,0.0,0.0,14.0,Private,7th-8th,Never-married,Other-service,Unmarried,Black,Female,Trinadad&Tobago,0
28.0,137898.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United-States,0
32.0,399088.0,13.0,0.0,0.0,45.0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,0
32.0,113504.0,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
33.0,223046.0,9.0,0.0,0.0,40.0,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
31.0,382368.0,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Male,Germany,0
59.0,140957.0,11.0,0.0,0.0,35.0,Self-emp-not-inc,Assoc-voc,Never-married,Exec-managerial,Not-in-family,White,Male,United-States,1
29.0,126208.0,9.0,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,0
46.0,267107.0,3.0,0.0,0.0,45.0,Private,5th-6th,Married-civ-spouse,Craft-repair,Wife,White,Female,Italy,0
60.0,142494.0,6.0,0.0,0.0,40.0,Self-emp-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
58.0,209423.0,2.0,0.0,0.0,38.0,Private,1st-4th,Married-civ-spouse,Other-service,Husband,White,Male,Cuba,0
17.0,438996.0,6.0,0.0,0.0,40.0,Private,10th,Never-married,Other-service,Other-relative,White,Male,Mexico,0
35.0,62333.0,13.0,0.0,0.0,40.0,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,0
33.0,101345.0,9.0,0.0,0.0,42.0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,Female,Canada,1
41.0,205670.0,9.0,0.0,0.0,40.0,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,Female,United-States,0
28.0,207513.0,13.0,7298.0,0.0,42.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
41.0,29213.0,10.0,0.0,0.0,45.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
68.0,192656.0,10.0,0.0,0.0,10.0,Private,Some-college,Widowed,Craft-repair,Not-in-family,White,Male,United-States,0
51.0,155963.0,10.0,0.0,0.0,55.0,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
47.0,168262.0,10.0,0.0,0.0,60.0,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
